candidate,office,district,party,county,precinct,votes,winner
Virgil Goode,President,,Constitution,Itawamba,Courthouse,0,
Gary Johnson,President,,Libertarian,Itawamba,Courthouse,0,
Barack Obama,President,,Democrat,Itawamba,Courthouse,25,
Mitt Romney,President,,Republican,Itawamba,Courthouse,154,
Jill Stein,President,,Green,Itawamba,Courthouse,0,
Barbara Dale Washer,President,,Reform,Itawamba,Courthouse,1,
Thomas Cramer,U.S. Senate,,Constitution,Itawamba,Courthouse,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Itawamba,Courthouse,24,
Shawn O'Hara,U.S. Senate,,Reform,Itawamba,Courthouse,1,
Roger F. Wicker,U.S. Senate,,Republican,Itawamba,Courthouse,152,
Danny Bedwell,U.S. House,1,Libertarian,Itawamba,Courthouse,1,
Jim R. Bourland,U.S. House,1,Constitution,Itawamba,Courthouse,1,
Brad Morris,U.S. House,1,Democrat,Itawamba,Courthouse,47,
Alan Nunnelee,U.S. House,1,Republican,Itawamba,Courthouse,128,
Chris Potts,U.S. House,1,Reform,Itawamba,Courthouse,1,
Virgil Goode,President,,Constitution,Itawamba,Banner-Pineville,4,
Gary Johnson,President,,Libertarian,Itawamba,Banner-Pineville,5,
Barack Obama,President,,Democrat,Itawamba,Banner-Pineville,71,
Mitt Romney,President,,Republican,Itawamba,Banner-Pineville,436,
Jill Stein,President,,Green,Itawamba,Banner-Pineville,0,
Barbara Dale Washer,President,,Reform,Itawamba,Banner-Pineville,1,
Thomas Cramer,U.S. Senate,,Constitution,Itawamba,Banner-Pineville,14,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Itawamba,Banner-Pineville,70,
Shawn O'Hara,U.S. Senate,,Reform,Itawamba,Banner-Pineville,7,
Roger F. Wicker,U.S. Senate,,Republican,Itawamba,Banner-Pineville,414,
Danny Bedwell,U.S. House,1,Libertarian,Itawamba,Banner-Pineville,4,
Jim R. Bourland,U.S. House,1,Constitution,Itawamba,Banner-Pineville,6,
Brad Morris,U.S. House,1,Democrat,Itawamba,Banner-Pineville,113,
Alan Nunnelee,U.S. House,1,Republican,Itawamba,Banner-Pineville,362,
Chris Potts,U.S. House,1,Reform,Itawamba,Banner-Pineville,5,
Virgil Goode,President,,Constitution,Itawamba,Ryan,3,
Gary Johnson,President,,Libertarian,Itawamba,Ryan,2,
Barack Obama,President,,Democrat,Itawamba,Ryan,57,
Mitt Romney,President,,Republican,Itawamba,Ryan,195,
Jill Stein,President,,Green,Itawamba,Ryan,0,
Barbara Dale Washer,President,,Reform,Itawamba,Ryan,0,
Thomas Cramer,U.S. Senate,,Constitution,Itawamba,Ryan,3,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Itawamba,Ryan,54,
Shawn O'Hara,U.S. Senate,,Reform,Itawamba,Ryan,3,
Roger F. Wicker,U.S. Senate,,Republican,Itawamba,Ryan,195,
Danny Bedwell,U.S. House,1,Libertarian,Itawamba,Ryan,0,
Jim R. Bourland,U.S. House,1,Constitution,Itawamba,Ryan,2,
Brad Morris,U.S. House,1,Democrat,Itawamba,Ryan,101,
Alan Nunnelee,U.S. House,1,Republican,Itawamba,Ryan,143,
Chris Potts,U.S. House,1,Reform,Itawamba,Ryan,4,
Virgil Goode,President,,Constitution,Itawamba,Salem-Copeland,5,
Gary Johnson,President,,Libertarian,Itawamba,Salem-Copeland,2,
Barack Obama,President,,Democrat,Itawamba,Salem-Copeland,55,
Mitt Romney,President,,Republican,Itawamba,Salem-Copeland,306,
Jill Stein,President,,Green,Itawamba,Salem-Copeland,0,
Barbara Dale Washer,President,,Reform,Itawamba,Salem-Copeland,1,
Thomas Cramer,U.S. Senate,,Constitution,Itawamba,Salem-Copeland,5,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Itawamba,Salem-Copeland,50,
Shawn O'Hara,U.S. Senate,,Reform,Itawamba,Salem-Copeland,7,
Roger F. Wicker,U.S. Senate,,Republican,Itawamba,Salem-Copeland,305,
Danny Bedwell,U.S. House,1,Libertarian,Itawamba,Salem-Copeland,2,
Jim R. Bourland,U.S. House,1,Constitution,Itawamba,Salem-Copeland,2,
Brad Morris,U.S. House,1,Democrat,Itawamba,Salem-Copeland,90,
Alan Nunnelee,U.S. House,1,Republican,Itawamba,Salem-Copeland,266,
Chris Potts,U.S. House,1,Reform,Itawamba,Salem-Copeland,2,
Virgil Goode,President,,Constitution,Itawamba,Fairview-Pleasanton,0,
Gary Johnson,President,,Libertarian,Itawamba,Fairview-Pleasanton,3,
Barack Obama,President,,Democrat,Itawamba,Fairview-Pleasanton,14,
Mitt Romney,President,,Republican,Itawamba,Fairview-Pleasanton,104,
Jill Stein,President,,Green,Itawamba,Fairview-Pleasanton,0,
Barbara Dale Washer,President,,Reform,Itawamba,Fairview-Pleasanton,0,
Thomas Cramer,U.S. Senate,,Constitution,Itawamba,Fairview-Pleasanton,4,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Itawamba,Fairview-Pleasanton,17,
Shawn O'Hara,U.S. Senate,,Reform,Itawamba,Fairview-Pleasanton,1,
Roger F. Wicker,U.S. Senate,,Republican,Itawamba,Fairview-Pleasanton,99,
Danny Bedwell,U.S. House,1,Libertarian,Itawamba,Fairview-Pleasanton,2,
Jim R. Bourland,U.S. House,1,Constitution,Itawamba,Fairview-Pleasanton,1,
Brad Morris,U.S. House,1,Democrat,Itawamba,Fairview-Pleasanton,32,
Alan Nunnelee,U.S. House,1,Republican,Itawamba,Fairview-Pleasanton,79,
Chris Potts,U.S. House,1,Reform,Itawamba,Fairview-Pleasanton,1,
Virgil Goode,President,,Constitution,Itawamba,Centerville,3,
Gary Johnson,President,,Libertarian,Itawamba,Centerville,7,
Barack Obama,President,,Democrat,Itawamba,Centerville,45,
Mitt Romney,President,,Republican,Itawamba,Centerville,256,
Jill Stein,President,,Green,Itawamba,Centerville,0,
Barbara Dale Washer,President,,Reform,Itawamba,Centerville,1,
Thomas Cramer,U.S. Senate,,Constitution,Itawamba,Centerville,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Itawamba,Centerville,48,
Shawn O'Hara,U.S. Senate,,Reform,Itawamba,Centerville,4,
Roger F. Wicker,U.S. Senate,,Republican,Itawamba,Centerville,252,
Danny Bedwell,U.S. House,1,Libertarian,Itawamba,Centerville,3,
Jim R. Bourland,U.S. House,1,Constitution,Itawamba,Centerville,0,
Brad Morris,U.S. House,1,Democrat,Itawamba,Centerville,89,
Alan Nunnelee,U.S. House,1,Republican,Itawamba,Centerville,205,
Chris Potts,U.S. House,1,Reform,Itawamba,Centerville,3,
Virgil Goode,President,,Constitution,Itawamba,Ozark,1,
Gary Johnson,President,,Libertarian,Itawamba,Ozark,1,
Barack Obama,President,,Democrat,Itawamba,Ozark,12,
Mitt Romney,President,,Republican,Itawamba,Ozark,76,
Jill Stein,President,,Green,Itawamba,Ozark,0,
Barbara Dale Washer,President,,Reform,Itawamba,Ozark,0,
Thomas Cramer,U.S. Senate,,Constitution,Itawamba,Ozark,3,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Itawamba,Ozark,14,
Shawn O'Hara,U.S. Senate,,Reform,Itawamba,Ozark,4,
Roger F. Wicker,U.S. Senate,,Republican,Itawamba,Ozark,69,
Danny Bedwell,U.S. House,1,Libertarian,Itawamba,Ozark,0,
Jim R. Bourland,U.S. House,1,Constitution,Itawamba,Ozark,1,
Brad Morris,U.S. House,1,Democrat,Itawamba,Ozark,31,
Alan Nunnelee,U.S. House,1,Republican,Itawamba,Ozark,54,
Chris Potts,U.S. House,1,Reform,Itawamba,Ozark,2,
