candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Scott,Beat 1/North Forest,655,
Mitt Romney,President,,Republican,Scott,Beat 1/North Forest,164,
Virgil Goode,President,,Constitution,Scott,Beat 1/North Forest,1,
Gary Johnson,President,,Libertarian,Scott,Beat 1/North Forest,2,
Jill Stein,President,,Green,Scott,Beat 1/North Forest,0,
Barbara Dale Washer,President,,Reform,Scott,Beat 1/North Forest,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Scott,Beat 1/North Forest,580,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 1/North Forest,199,
Thomas Cramer,U.S. Senate,,Constitution,Scott,Beat 1/North Forest,4,
Shawn O'Hara,U.S. Senate,,Reform,Scott,Beat 1/North Forest,11,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 1/North Forest,305,
"John ""Luke"" Pannell",U.S. House,3,Reform,Scott,Beat 1/North Forest,260,
Barack Obama,President,,Democrat,Scott,Beat 1/Harperville,458,
Mitt Romney,President,,Republican,Scott,Beat 1/Harperville,261,
Virgil Goode,President,,Constitution,Scott,Beat 1/Harperville,0,
Gary Johnson,President,,Libertarian,Scott,Beat 1/Harperville,2,
Jill Stein,President,,Green,Scott,Beat 1/Harperville,0,
Barbara Dale Washer,President,,Reform,Scott,Beat 1/Harperville,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Scott,Beat 1/Harperville,395,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 1/Harperville,288,
Thomas Cramer,U.S. Senate,,Constitution,Scott,Beat 1/Harperville,5,
Shawn O'Hara,U.S. Senate,,Reform,Scott,Beat 1/Harperville,9,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 1/Harperville,379,
"John ""Luke"" Pannell",U.S. House,3,Reform,Scott,Beat 1/Harperville,180,
Barack Obama,President,,Democrat,Scott,Beat 1/Hillsboro,489,
Mitt Romney,President,,Republican,Scott,Beat 1/Hillsboro,211,
Virgil Goode,President,,Constitution,Scott,Beat 1/Hillsboro,2,
Gary Johnson,President,,Libertarian,Scott,Beat 1/Hillsboro,6,
Jill Stein,President,,Green,Scott,Beat 1/Hillsboro,0,
Barbara Dale Washer,President,,Reform,Scott,Beat 1/Hillsboro,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Scott,Beat 1/Hillsboro,414,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 1/Hillsboro,240,
Thomas Cramer,U.S. Senate,,Constitution,Scott,Beat 1/Hillsboro,7,
Shawn O'Hara,U.S. Senate,,Reform,Scott,Beat 1/Hillsboro,10,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 1/Hillsboro,307,
"John ""Luke"" Pannell",U.S. House,3,Reform,Scott,Beat 1/Hillsboro,233,
Barack Obama,President,,Democrat,Scott,Beat 2/South Forest,626,
Mitt Romney,President,,Republican,Scott,Beat 2/South Forest,245,
Virgil Goode,President,,Constitution,Scott,Beat 2/South Forest,3,
Gary Johnson,President,,Libertarian,Scott,Beat 2/South Forest,2,
Jill Stein,President,,Green,Scott,Beat 2/South Forest,0,
Barbara Dale Washer,President,,Reform,Scott,Beat 2/South Forest,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Scott,Beat 2/South Forest,538,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 2/South Forest,271,
Thomas Cramer,U.S. Senate,,Constitution,Scott,Beat 2/South Forest,9,
Shawn O'Hara,U.S. Senate,,Reform,Scott,Beat 2/South Forest,14,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/South Forest,426,
"John ""Luke"" Pannell",U.S. House,3,Reform,Scott,Beat 2/South Forest,272,
Barack Obama,President,,Democrat,Scott,Beat 2/Homewood,63,
Mitt Romney,President,,Republican,Scott,Beat 2/Homewood,189,
Virgil Goode,President,,Constitution,Scott,Beat 2/Homewood,0,
Gary Johnson,President,,Libertarian,Scott,Beat 2/Homewood,1,
Jill Stein,President,,Green,Scott,Beat 2/Homewood,0,
Barbara Dale Washer,President,,Reform,Scott,Beat 2/Homewood,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Scott,Beat 2/Homewood,50,
Roger F. Wicker,U.S. Senate,,Republican,Scott,Beat 2/Homewood,197,
Thomas Cramer,U.S. Senate,,Constitution,Scott,Beat 2/Homewood,1,
Shawn O'Hara,U.S. Senate,,Reform,Scott,Beat 2/Homewood,3,
Gregg Harper,U.S. House,3,Republican,Scott,Beat 2/Homewood,214,
