candidate,office,district,county,votes
Kevin Blackwell,State Senate,19,DeSoto,8059
Pat Nelson,State Senate,19,DeSoto,8307
David Parker,State Senate,19,DeSoto,10396
"Michael ""Mike"" Smith",State Senate,19,DeSoto,3504
