candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Oktibbeha,Bell Schoolhouse,49,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,Bell Schoolhouse,39,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,Bell Schoolhouse,1,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,Bell Schoolhouse,7,
Brad Morris,U.S. House,1,Democrat,Oktibbeha,Bell Schoolhouse,34,
Barack Obama,President,,Democrat,Oktibbeha,Central Starkville,85,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,Central Starkville,61,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,Central Starkville,7,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,Central Starkville,15,
Crystal C. Biggs,U.S. House,3,Democrat,Oktibbeha,Central Starkville,72,
Barack Obama,President,,Democrat,Oktibbeha,East Starkville,7,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,East Starkville,5,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,East Starkville,0,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,East Starkville,1,
Crystal C. Biggs,U.S. House,3,Democrat,Oktibbeha,East Starkville,7,
Barack Obama,President,,Democrat,Oktibbeha,Gillespie,91,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,Gillespie,60,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,Gillespie,7,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,Gillespie,21,
Crystal C. Biggs,U.S. House,3,Democrat,Oktibbeha,Gillespie,79,
Barack Obama,President,,Democrat,Oktibbeha,Maben,36,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,Maben,29,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,Maben,2,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,Maben,5,
Brad Morris,U.S. House,1,Democrat,Oktibbeha,Maben,29,
Barack Obama,President,,Democrat,Oktibbeha,North Starkville District 2,87,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,North Starkville District 2,69,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,North Starkville District 2,3,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,North Starkville District 2,13,
Crystal C. Biggs,U.S. House,3,Democrat,Oktibbeha,North Starkville District 2,72,
Barack Obama,President,,Democrat,Oktibbeha,North Starkville District 3,55,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,North Starkville District 3,35,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,North Starkville District 3,5,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,North Starkville District 3,15,
Crystal C. Biggs,U.S. House,3,Democrat,Oktibbeha,North Starkville District 3,49,
Barack Obama,President,,Democrat,Oktibbeha,Northeast Starkville,7,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,Northeast Starkville,6,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,Northeast Starkville,0,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,Northeast Starkville,1,
Crystal C. Biggs,U.S. House,3,Democrat,Oktibbeha,Northeast Starkville,4,
Barack Obama,President,,Democrat,Oktibbeha,North Longview,34,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,North Longview,26,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,North Longview,1,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,North Longview,5,
Crystal C. Biggs,U.S. House,3,Democrat,Oktibbeha,North Longview,29,
Barack Obama,President,,Democrat,Oktibbeha,Oktoc,80,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,Oktoc,65,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,Oktoc,5,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,Oktoc,7,
Crystal C. Biggs,U.S. House,3,Democrat,Oktibbeha,Oktoc,71,
Barack Obama,President,,Democrat,Oktibbeha,Osborn,109,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,Osborn,71,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,Osborn,8,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,Osborn,17,
Crystal C. Biggs,U.S. House,3,Democrat,Oktibbeha,Osborn,74,
Barack Obama,President,,Democrat,Oktibbeha,South Adaton,22,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Oktibbeha,South Adaton,22,
Will Oatis,U.S. Senate,,Democrat,Oktibbeha,South Adaton,0,
Roger Weiner,U.S. Senate,,Democrat,Oktibbeha,South Adaton,3,
