candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Choctaw,District 5,203,
Mitt Romney,President,,Republican,Choctaw,District 5,793,
Virgil Goode,President,,Constitution,Choctaw,District 5,2,
Gary Johnson,President,,Libertarian,Choctaw,District 5,5,
Jill Stein,President,,Green,Choctaw,District 5,1,
Barbara Dale Washer,President,,Reform,Choctaw,District 5,2,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Choctaw,District 5,171,
Roger F. Wicker,U.S. Senate,,Republican,Choctaw,District 5,799,
Thomas Cramer,U.S. Senate,,Constitution,Choctaw,District 5,8,
Shawn O'Hara,U.S. Senate,,Reform,Choctaw,District 5,4,
Brad Morris,U.S. House,1,Democrat,Choctaw,District 5,168,
Alan Nunnelee,U.S. House,1,Republican,Choctaw,District 5,774,
Danny Bedwell,U.S. House,1,Libertarian,Choctaw,District 5,12,
Jim R. Bourland,U.S. House,1,Constitution,Choctaw,District 5,4,
Chris Potts,U.S. House,1,Reform,Choctaw,District 5,10,
Barack Obama,President,,Democrat,Choctaw,Chester,99,
Mitt Romney,President,,Republican,Choctaw,Chester,170,
Virgil Goode,President,,Constitution,Choctaw,Chester,0,
Gary Johnson,President,,Libertarian,Choctaw,Chester,1,
Jill Stein,President,,Green,Choctaw,Chester,0,
Barbara Dale Washer,President,,Reform,Choctaw,Chester,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Choctaw,Chester,82,
Roger F. Wicker,U.S. Senate,,Republican,Choctaw,Chester,179,
Thomas Cramer,U.S. Senate,,Constitution,Choctaw,Chester,1,
Shawn O'Hara,U.S. Senate,,Reform,Choctaw,Chester,1,
Brad Morris,U.S. House,1,Democrat,Choctaw,Chester,80,
Alan Nunnelee,U.S. House,1,Republican,Choctaw,Chester,163,
Danny Bedwell,U.S. House,1,Libertarian,Choctaw,Chester,0,
Jim R. Bourland,U.S. House,1,Constitution,Choctaw,Chester,1,
Chris Potts,U.S. House,1,Reform,Choctaw,Chester,2,
Barack Obama,President,,Democrat,Choctaw,East Weir,251,
Mitt Romney,President,,Republican,Choctaw,East Weir,75,
Virgil Goode,President,,Constitution,Choctaw,East Weir,1,
Gary Johnson,President,,Libertarian,Choctaw,East Weir,2,
Jill Stein,President,,Green,Choctaw,East Weir,0,
Barbara Dale Washer,President,,Reform,Choctaw,East Weir,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Choctaw,East Weir,220,
Roger F. Wicker,U.S. Senate,,Republican,Choctaw,East Weir,95,
Thomas Cramer,U.S. Senate,,Constitution,Choctaw,East Weir,3,
Shawn O'Hara,U.S. Senate,,Reform,Choctaw,East Weir,4,
Brad Morris,U.S. House,1,Democrat,Choctaw,East Weir,225,
Alan Nunnelee,U.S. House,1,Republican,Choctaw,East Weir,80,
Danny Bedwell,U.S. House,1,Libertarian,Choctaw,East Weir,3,
Jim R. Bourland,U.S. House,1,Constitution,Choctaw,East Weir,3,
Chris Potts,U.S. House,1,Reform,Choctaw,East Weir,6,
Barack Obama,President,,Democrat,Choctaw,French Camp,76,
Mitt Romney,President,,Republican,Choctaw,French Camp,222,
Virgil Goode,President,,Constitution,Choctaw,French Camp,3,
Gary Johnson,President,,Libertarian,Choctaw,French Camp,2,
Jill Stein,President,,Green,Choctaw,French Camp,0,
Barbara Dale Washer,President,,Reform,Choctaw,French Camp,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Choctaw,French Camp,63,
Roger F. Wicker,U.S. Senate,,Republican,Choctaw,French Camp,222,
