candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Pearl River,Whitesand Bt. 1,259,
Mitt Romney,President,,Republican,Pearl River,Whitesand Bt. 1,98,
Virgil Goode,President,,Constitution,Pearl River,Whitesand Bt. 1,2,
Gary Johnson,President,,Libertarian,Pearl River,Whitesand Bt. 1,4,
Jill Stein,President,,Green,Pearl River,Whitesand Bt. 1,0,
Barbara Dale Washer,President,,Reform,Pearl River,Whitesand Bt. 1,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pearl River,Whitesand Bt. 1,220,
Roger F. Wicker,U.S. Senate,,Republican,Pearl River,Whitesand Bt. 1,115,
Thomas Cramer,U.S. Senate,,Constitution,Pearl River,Whitesand Bt. 1,5,
Shawn O'Hara,U.S. Senate,,Reform,Pearl River,Whitesand Bt. 1,3,
Matt Moore,U.S. House,4,Democrat,Pearl River,Whitesand Bt. 1,218,
Steven M. Palazzo,U.S. House,4,Republican,Pearl River,Whitesand Bt. 1,97,
Robert W. Claunch,U.S. House,4,Reform,Pearl River,Whitesand Bt. 1,3,
Ron Williams,U.S. House,4,Libertarian,Pearl River,Whitesand Bt. 1,14,
Barack Obama,President,,Democrat,Pearl River,Derby Bt. 1,87,
Mitt Romney,President,,Republican,Pearl River,Derby Bt. 1,367,
Virgil Goode,President,,Constitution,Pearl River,Derby Bt. 1,2,
Gary Johnson,President,,Libertarian,Pearl River,Derby Bt. 1,4,
Jill Stein,President,,Green,Pearl River,Derby Bt. 1,1,
Barbara Dale Washer,President,,Reform,Pearl River,Derby Bt. 1,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pearl River,Derby Bt. 1,102,
Roger F. Wicker,U.S. Senate,,Republican,Pearl River,Derby Bt. 1,323,
Thomas Cramer,U.S. Senate,,Constitution,Pearl River,Derby Bt. 1,11,
Shawn O'Hara,U.S. Senate,,Reform,Pearl River,Derby Bt. 1,6,
Matt Moore,U.S. House,4,Democrat,Pearl River,Derby Bt. 1,88,
Steven M. Palazzo,U.S. House,4,Republican,Pearl River,Derby Bt. 1,317,
Robert W. Claunch,U.S. House,4,Reform,Pearl River,Derby Bt. 1,4,
Ron Williams,U.S. House,4,Libertarian,Pearl River,Derby Bt. 1,35,
Barack Obama,President,,Democrat,Pearl River,Picayune Bt. 1 Eastside Annex,425,
Mitt Romney,President,,Republican,Pearl River,Picayune Bt. 1 Eastside Annex,271,
Virgil Goode,President,,Constitution,Pearl River,Picayune Bt. 1 Eastside Annex,1,
Gary Johnson,President,,Libertarian,Pearl River,Picayune Bt. 1 Eastside Annex,4,
Jill Stein,President,,Green,Pearl River,Picayune Bt. 1 Eastside Annex,0,
Barbara Dale Washer,President,,Reform,Pearl River,Picayune Bt. 1 Eastside Annex,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pearl River,Picayune Bt. 1 Eastside Annex,405,
Roger F. Wicker,U.S. Senate,,Republican,Pearl River,Picayune Bt. 1 Eastside Annex,255,
Thomas Cramer,U.S. Senate,,Constitution,Pearl River,Picayune Bt. 1 Eastside Annex,13,
Shawn O'Hara,U.S. Senate,,Reform,Pearl River,Picayune Bt. 1 Eastside Annex,9,
Matt Moore,U.S. House,4,Democrat,Pearl River,Picayune Bt. 1 Eastside Annex,373,
Steven M. Palazzo,U.S. House,4,Republican,Pearl River,Picayune Bt. 1 Eastside Annex,259,
Robert W. Claunch,U.S. House,4,Reform,Pearl River,Picayune Bt. 1 Eastside Annex,5,
Ron Williams,U.S. House,4,Libertarian,Pearl River,Picayune Bt. 1 Eastside Annex,21,
Barack Obama,President,,Democrat,Pearl River,Poplarville Beat 1,249,
Mitt Romney,President,,Republican,Pearl River,Poplarville Beat 1,341,
Virgil Goode,President,,Constitution,Pearl River,Poplarville Beat 1,1,
Gary Johnson,President,,Libertarian,Pearl River,Poplarville Beat 1,6,
Jill Stein,President,,Green,Pearl River,Poplarville Beat 1,1,
Barbara Dale Washer,President,,Reform,Pearl River,Poplarville Beat 1,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pearl River,Poplarville Beat 1,230,
Roger F. Wicker,U.S. Senate,,Republican,Pearl River,Poplarville Beat 1,328,
Thomas Cramer,U.S. Senate,,Constitution,Pearl River,Poplarville Beat 1,12,
Shawn O'Hara,U.S. Senate,,Reform,Pearl River,Poplarville Beat 1,8,
Matt Moore,U.S. House,4,Democrat,Pearl River,Poplarville Beat 1,209,
Steven M. Palazzo,U.S. House,4,Republican,Pearl River,Poplarville Beat 1,319,
Robert W. Claunch,U.S. House,4,Reform,Pearl River,Poplarville Beat 1,2,
Ron Williams,U.S. House,4,Libertarian,Pearl River,Poplarville Beat 1,34,
Barack Obama,President,,Democrat,Pearl River,Picayune Beat 1 Southside,1152,
Mitt Romney,President,,Republican,Pearl River,Picayune Beat 1 Southside,289,
Virgil Goode,President,,Constitution,Pearl River,Picayune Beat 1 Southside,3,
Gary Johnson,President,,Libertarian,Pearl River,Picayune Beat 1 Southside,3,
Jill Stein,President,,Green,Pearl River,Picayune Beat 1 Southside,1,
Barbara Dale Washer,President,,Reform,Pearl River,Picayune Beat 1 Southside,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Pearl River,Picayune Beat 1 Southside,1035,
Roger F. Wicker,U.S. Senate,,Republican,Pearl River,Picayune Beat 1 Southside,280,
Thomas Cramer,U.S. Senate,,Constitution,Pearl River,Picayune Beat 1 Southside,17,
Shawn O'Hara,U.S. Senate,,Reform,Pearl River,Picayune Beat 1 Southside,17,
Matt Moore,U.S. House,4,Democrat,Pearl River,Picayune Beat 1 Southside,969,
Steven M. Palazzo,U.S. House,4,Republican,Pearl River,Picayune Beat 1 Southside,300,
Robert W. Claunch,U.S. House,4,Reform,Pearl River,Picayune Beat 1 Southside,9,
Ron Williams,U.S. House,4,Libertarian,Pearl River,Picayune Beat 1 Southside,29,
Barack Obama,President,,Democrat,Pearl River,Mill Creek Beat 2,49,
