candidate,office,district,county,votes,winner
Jeremy Bryan,State House,52,DeSoto,876,
Bill Kinkade,State House,52,DeSoto,1348,
Jeremy Bryan,State House,52,Marshall,154,
Bill Kinkade,State House,52,Marshall,223,
Jeremy Bryan,State House,52,,1030,
Bill Kinkade,State House,52,,1571,TRUE
