candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Copiah,Beauregard,156,
Mitt Romney,President,,Republican,Copiah,Beauregard,512,
Virgil Goode,President,,Constitution,Copiah,Beauregard,1,
Gary Johnson,President,,Libertarian,Copiah,Beauregard,4,
Jill Stein,President,,Green,Copiah,Beauregard,1,
Barbara Dale Washer,President,,Reform,Copiah,Beauregard,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Copiah,Beauregard,148,
Roger F. Wicker,U.S. Senate,,Republican,Copiah,Beauregard,499,
Thomas Cramer,U.S. Senate,,Constitution,Copiah,Beauregard,5,
Shawn O'Hara,U.S. Senate,,Reform,Copiah,Beauregard,5,
Bill Marcy,U.S. House,2,Republican,Copiah,Beauregard,445,
Bennie G. Thompson,U.S. House,2,Democrat,Copiah,Beauregard,201,
Cobby Mondale Williams,U.S. House,2,Independent,Copiah,Beauregard,5,
Lajena Williams,U.S. House,2,Reform,Copiah,Beauregard,2,
Barack Obama,President,,Democrat,Copiah,Centerpoint,354,
Mitt Romney,President,,Republican,Copiah,Centerpoint,472,
Virgil Goode,President,,Constitution,Copiah,Centerpoint,7,
Gary Johnson,President,,Libertarian,Copiah,Centerpoint,3,
Jill Stein,President,,Green,Copiah,Centerpoint,2,
Barbara Dale Washer,President,,Reform,Copiah,Centerpoint,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Copiah,Centerpoint,305,
Roger F. Wicker,U.S. Senate,,Republican,Copiah,Centerpoint,463,
Thomas Cramer,U.S. Senate,,Constitution,Copiah,Centerpoint,7,
Shawn O'Hara,U.S. Senate,,Reform,Copiah,Centerpoint,8,
Bill Marcy,U.S. House,2,Republican,Copiah,Centerpoint,398,
Bennie G. Thompson,U.S. House,2,Democrat,Copiah,Centerpoint,390,
Cobby Mondale Williams,U.S. House,2,Independent,Copiah,Centerpoint,10,
Lajena Williams,U.S. House,2,Reform,Copiah,Centerpoint,1,
Barack Obama,President,,Democrat,Copiah,Carpenter,142,
Mitt Romney,President,,Republican,Copiah,Carpenter,58,
Virgil Goode,President,,Constitution,Copiah,Carpenter,0,
Gary Johnson,President,,Libertarian,Copiah,Carpenter,0,
Jill Stein,President,,Green,Copiah,Carpenter,0,
Barbara Dale Washer,President,,Reform,Copiah,Carpenter,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Copiah,Carpenter,126,
Roger F. Wicker,U.S. Senate,,Republican,Copiah,Carpenter,60,
Thomas Cramer,U.S. Senate,,Constitution,Copiah,Carpenter,1,
Shawn O'Hara,U.S. Senate,,Reform,Copiah,Carpenter,7,
Bill Marcy,U.S. House,2,Republican,Copiah,Carpenter,52,
Bennie G. Thompson,U.S. House,2,Democrat,Copiah,Carpenter,139,
Cobby Mondale Williams,U.S. House,2,Independent,Copiah,Carpenter,2,
Lajena Williams,U.S. House,2,Reform,Copiah,Carpenter,0,
Barack Obama,President,,Democrat,Copiah,Crystal Springs East,774,
Mitt Romney,President,,Republican,Copiah,Crystal Springs East,1117,
Virgil Goode,President,,Constitution,Copiah,Crystal Springs East,1,
