candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Franklin,Knoxville,79,
Mitt Romney,President,,Republican,Franklin,Knoxville,94,
Virgil Goode,President,,Constitution,Franklin,Knoxville,0,
Gary Johnson,President,,Libertarian,Franklin,Knoxville,0,
Jill Stein,President,,Green,Franklin,Knoxville,0,
Barbara Dale Washer,President,,Reform,Franklin,Knoxville,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Franklin,Knoxville,82,
Roger F. Wicker,U.S. Senate,,Republican,Franklin,Knoxville,90,
Thomas Cramer,U.S. Senate,,Constitution,Franklin,Knoxville,2,
Shawn O'Hara,U.S. Senate,,Reform,Franklin,Knoxville,0,
Gregg Harper,U.S. House,3,Republican,Franklin,Knoxville,102,
"John ""Luke"" Pannell",U.S. House,3,Reform,Franklin,Knoxville,33,
Barack Obama,President,,Democrat,Franklin,Roxie,314,
Mitt Romney,President,,Republican,Franklin,Roxie,159,
Virgil Goode,President,,Constitution,Franklin,Roxie,0,
Gary Johnson,President,,Libertarian,Franklin,Roxie,0,
Jill Stein,President,,Green,Franklin,Roxie,0,
Barbara Dale Washer,President,,Reform,Franklin,Roxie,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Franklin,Roxie,273,
Roger F. Wicker,U.S. Senate,,Republican,Franklin,Roxie,161,
Thomas Cramer,U.S. Senate,,Constitution,Franklin,Roxie,7,
Shawn O'Hara,U.S. Senate,,Reform,Franklin,Roxie,0,
Gregg Harper,U.S. House,3,Republican,Franklin,Roxie,229,
"John ""Luke"" Pannell",U.S. House,3,Reform,Franklin,Roxie,103,
Barack Obama,President,,Democrat,Franklin,Antioch,227,
Mitt Romney,President,,Republican,Franklin,Antioch,175,
Virgil Goode,President,,Constitution,Franklin,Antioch,0,
Gary Johnson,President,,Libertarian,Franklin,Antioch,1,
Jill Stein,President,,Green,Franklin,Antioch,0,
Barbara Dale Washer,President,,Reform,Franklin,Antioch,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Franklin,Antioch,201,
Roger F. Wicker,U.S. Senate,,Republican,Franklin,Antioch,178,
Thomas Cramer,U.S. Senate,,Constitution,Franklin,Antioch,7,
Shawn O'Hara,U.S. Senate,,Reform,Franklin,Antioch,6,
Gregg Harper,U.S. House,3,Republican,Franklin,Antioch,233,
"John ""Luke"" Pannell",U.S. House,3,Reform,Franklin,Antioch,100,
Barack Obama,President,,Democrat,Franklin,Hamburg,209,
Mitt Romney,President,,Republican,Franklin,Hamburg,65,
