candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democrat,Forrest,Sigler Center,750,
Mitt Romney,President,,Republican,Forrest,Sigler Center,293,
Virgil Goode,President,,Constitution,Forrest,Sigler Center,1,
Gary Johnson,President,,Libertarian,Forrest,Sigler Center,15,
Jill Stein,President,,Green,Forrest,Sigler Center,6,
Barbara Dale Washer,President,,Reform,Forrest,Sigler Center,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Forrest,Sigler Center,674,
Roger F. Wicker,U.S. Senate,,Republican,Forrest,Sigler Center,330,
Thomas Cramer,U.S. Senate,,Constitution,Forrest,Sigler Center,17,
Shawn O'Hara,U.S. Senate,,Reform,Forrest,Sigler Center,20,
Matt Moore,U.S. House,4,Democrat,Forrest,Sigler Center,662,
Steven M. Palazzo,U.S. House,4,Republican,Forrest,Sigler Center,307,
Robert W. Claunch,U.S. House,4,Reform,Forrest,Sigler Center,5,
Ron Williams,U.S. House,4,Libertarian,Forrest,Sigler Center,43,
Barack Obama,President,,Democrat,Forrest,Dantzler,25,
Mitt Romney,President,,Republican,Forrest,Dantzler,427,
Virgil Goode,President,,Constitution,Forrest,Dantzler,1,
Gary Johnson,President,,Libertarian,Forrest,Dantzler,9,
Jill Stein,President,,Green,Forrest,Dantzler,2,
Barbara Dale Washer,President,,Reform,Forrest,Dantzler,2,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Forrest,Dantzler,42,
Roger F. Wicker,U.S. Senate,,Republican,Forrest,Dantzler,399,
Thomas Cramer,U.S. Senate,,Constitution,Forrest,Dantzler,13,
Shawn O'Hara,U.S. Senate,,Reform,Forrest,Dantzler,6,
Matt Moore,U.S. House,4,Democrat,Forrest,Dantzler,24,
Steven M. Palazzo,U.S. House,4,Republican,Forrest,Dantzler,389,
Robert W. Claunch,U.S. House,4,Reform,Forrest,Dantzler,5,
Ron Williams,U.S. House,4,Libertarian,Forrest,Dantzler,39,
Barack Obama,President,,Democrat,Forrest,Dixie,215,
Mitt Romney,President,,Republican,Forrest,Dixie,1414,
Virgil Goode,President,,Constitution,Forrest,Dixie,1,
Gary Johnson,President,,Libertarian,Forrest,Dixie,15,
Jill Stein,President,,Green,Forrest,Dixie,4,
Barbara Dale Washer,President,,Reform,Forrest,Dixie,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Forrest,Dixie,206,
Roger F. Wicker,U.S. Senate,,Republican,Forrest,Dixie,1351,
Thomas Cramer,U.S. Senate,,Constitution,Forrest,Dixie,36,
Shawn O'Hara,U.S. Senate,,Reform,Forrest,Dixie,24,
Matt Moore,U.S. House,4,Democrat,Forrest,Dixie,197,
Steven M. Palazzo,U.S. House,4,Republican,Forrest,Dixie,1304,
Robert W. Claunch,U.S. House,4,Reform,Forrest,Dixie,10,
Ron Williams,U.S. House,4,Libertarian,Forrest,Dixie,99,
Barack Obama,President,,Democrat,Forrest,Kamper Park,530,
