candidate,office,district,county,votes
Jeremy Bryan,State House,52,DeSoto,2605
Bill Kinkade,State House,52,DeSoto,4313
Van Wicker,State House,52,DeSoto,2423
Jeremy Bryan,State House,52,Marshall,404
Bill Kinkade,State House,52,Marshall,971
Van Wicker,State House,52,Marshall,243
