candidate,office,district,party,county,precinct,votes,winner
Michele Bachmann,President,,Republican,Lauderdale,101 - One,2,
Newt Gingrich,President,,Republican,Lauderdale,101 - One,153,
Jon Huntsman,President,,Republican,Lauderdale,101 - One,1,
Gary Johnson,President,,Republican,Lauderdale,101 - One,0,
Ron Paul,President,,Republican,Lauderdale,101 - One,38,
Rick Perry,President,,Republican,Lauderdale,101 - One,2,
Mitt Romney,President,,Republican,Lauderdale,101 - One,232,
Rick Santorum,President,,Republican,Lauderdale,101 - One,189,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,101 - One,12,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,101 - One,17,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,101 - One,571,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,101 - One,30,
Gregg Harper,U.S. House,3,Republican,Lauderdale,101 - One,572,
Michele Bachmann,President,,Republican,Lauderdale,105 - Five,0,
Newt Gingrich,President,,Republican,Lauderdale,105 - Five,132,
Jon Huntsman,President,,Republican,Lauderdale,105 - Five,1,
Gary Johnson,President,,Republican,Lauderdale,105 - Five,0,
Ron Paul,President,,Republican,Lauderdale,105 - Five,11,
Rick Perry,President,,Republican,Lauderdale,105 - Five,2,
Mitt Romney,President,,Republican,Lauderdale,105 - Five,259,
Rick Santorum,President,,Republican,Lauderdale,105 - Five,110,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,105 - Five,4,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,105 - Five,14,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,105 - Five,491,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,105 - Five,23,
Gregg Harper,U.S. House,3,Republican,Lauderdale,105 - Five,476,
Michele Bachmann,President,,Republican,Lauderdale,126 - Andrews Chapel,0,
Newt Gingrich,President,,Republican,Lauderdale,126 - Andrews Chapel,73,
Jon Huntsman,President,,Republican,Lauderdale,126 - Andrews Chapel,0,
Gary Johnson,President,,Republican,Lauderdale,126 - Andrews Chapel,0,
Ron Paul,President,,Republican,Lauderdale,126 - Andrews Chapel,17,
Rick Perry,President,,Republican,Lauderdale,126 - Andrews Chapel,0,
Mitt Romney,President,,Republican,Lauderdale,126 - Andrews Chapel,78,
Rick Santorum,President,,Republican,Lauderdale,126 - Andrews Chapel,94,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,126 - Andrews Chapel,4,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,126 - Andrews Chapel,12,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,126 - Andrews Chapel,243,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,126 - Andrews Chapel,15,
Gregg Harper,U.S. House,3,Republican,Lauderdale,126 - Andrews Chapel,246,
Michele Bachmann,President,,Republican,Lauderdale,127 - Balley,0,
Newt Gingrich,President,,Republican,Lauderdale,127 - Balley,111,
Jon Huntsman,President,,Republican,Lauderdale,127 - Balley,0,
Gary Johnson,President,,Republican,Lauderdale,127 - Balley,0,
Ron Paul,President,,Republican,Lauderdale,127 - Balley,19,
Rick Perry,President,,Republican,Lauderdale,127 - Balley,0,
Mitt Romney,President,,Republican,Lauderdale,127 - Balley,128,
Rick Santorum,President,,Republican,Lauderdale,127 - Balley,163,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,127 - Balley,9,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,127 - Balley,16,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,127 - Balley,385,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,127 - Balley,21,
Gregg Harper,U.S. House,3,Republican,Lauderdale,127 - Balley,384,
Michele Bachmann,President,,Republican,Lauderdale,146 - New Lauderdale,1,
Newt Gingrich,President,,Republican,Lauderdale,146 - New Lauderdale,125,
Jon Huntsman,President,,Republican,Lauderdale,146 - New Lauderdale,0,
Gary Johnson,President,,Republican,Lauderdale,146 - New Lauderdale,0,
Ron Paul,President,,Republican,Lauderdale,146 - New Lauderdale,31,
Rick Perry,President,,Republican,Lauderdale,146 - New Lauderdale,5,
Mitt Romney,President,,Republican,Lauderdale,146 - New Lauderdale,178,
Rick Santorum,President,,Republican,Lauderdale,146 - New Lauderdale,174,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,146 - New Lauderdale,11,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,146 - New Lauderdale,27,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,146 - New Lauderdale,462,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,146 - New Lauderdale,28,
Gregg Harper,U.S. House,3,Republican,Lauderdale,146 - New Lauderdale,468,
Michele Bachmann,President,,Republican,Lauderdale,153 - Prospect,0,
Newt Gingrich,President,,Republican,Lauderdale,153 - Prospect,53,
Jon Huntsman,President,,Republican,Lauderdale,153 - Prospect,0,
Gary Johnson,President,,Republican,Lauderdale,153 - Prospect,0,
Ron Paul,President,,Republican,Lauderdale,153 - Prospect,3,
Rick Perry,President,,Republican,Lauderdale,153 - Prospect,1,
Mitt Romney,President,,Republican,Lauderdale,153 - Prospect,49,
Rick Santorum,President,,Republican,Lauderdale,153 - Prospect,53,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,153 - Prospect,2,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,153 - Prospect,6,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,153 - Prospect,146,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,153 - Prospect,8,
Gregg Harper,U.S. House,3,Republican,Lauderdale,153 - Prospect,148,
Michele Bachmann,President,,Republican,Lauderdale,175 - West Dalewood,0,
Newt Gingrich,President,,Republican,Lauderdale,175 - West Dalewood,25,
Jon Huntsman,President,,Republican,Lauderdale,175 - West Dalewood,0,
Gary Johnson,President,,Republican,Lauderdale,175 - West Dalewood,0,
Ron Paul,President,,Republican,Lauderdale,175 - West Dalewood,3,
Rick Perry,President,,Republican,Lauderdale,175 - West Dalewood,0,
Mitt Romney,President,,Republican,Lauderdale,175 - West Dalewood,22,
Rick Santorum,President,,Republican,Lauderdale,175 - West Dalewood,20,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,175 - West Dalewood,2,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,175 - West Dalewood,1,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,175 - West Dalewood,66,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,175 - West Dalewood,2,
Gregg Harper,U.S. House,3,Republican,Lauderdale,175 - West Dalewood,67,
Michele Bachmann,President,,Republican,Lauderdale,202 - Two,0,
Newt Gingrich,President,,Republican,Lauderdale,202 - Two,22,
Jon Huntsman,President,,Republican,Lauderdale,202 - Two,1,
Gary Johnson,President,,Republican,Lauderdale,202 - Two,0,
Ron Paul,President,,Republican,Lauderdale,202 - Two,1,
Rick Perry,President,,Republican,Lauderdale,202 - Two,0,
Mitt Romney,President,,Republican,Lauderdale,202 - Two,40,
Rick Santorum,President,,Republican,Lauderdale,202 - Two,24,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,202 - Two,3,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,202 - Two,5,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,202 - Two,75,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,202 - Two,3,
Gregg Harper,U.S. House,3,Republican,Lauderdale,202 - Two,81,
Michele Bachmann,President,,Republican,Lauderdale,204 - Four,0,
Newt Gingrich,President,,Republican,Lauderdale,204 - Four,5,
Jon Huntsman,President,,Republican,Lauderdale,204 - Four,0,
Gary Johnson,President,,Republican,Lauderdale,204 - Four,0,
Ron Paul,President,,Republican,Lauderdale,204 - Four,0,
Rick Perry,President,,Republican,Lauderdale,204 - Four,0,
Mitt Romney,President,,Republican,Lauderdale,204 - Four,13,
Rick Santorum,President,,Republican,Lauderdale,204 - Four,11,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,204 - Four,0,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,204 - Four,5,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,204 - Four,24,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,204 - Four,3,
Gregg Harper,U.S. House,3,Republican,Lauderdale,204 - Four,25,
Michele Bachmann,President,,Republican,Lauderdale,206 - Six,1,
Newt Gingrich,President,,Republican,Lauderdale,206 - Six,27,
Jon Huntsman,President,,Republican,Lauderdale,206 - Six,0,
Gary Johnson,President,,Republican,Lauderdale,206 - Six,0,
Ron Paul,President,,Republican,Lauderdale,206 - Six,1,
Rick Perry,President,,Republican,Lauderdale,206 - Six,0,
Mitt Romney,President,,Republican,Lauderdale,206 - Six,25,
Rick Santorum,President,,Republican,Lauderdale,206 - Six,43,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,206 - Six,8,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,206 - Six,4,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,206 - Six,84,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,206 - Six,8,
Gregg Harper,U.S. House,3,Republican,Lauderdale,206 - Six,86,
Michele Bachmann,President,,Republican,Lauderdale,214 - Fourteen,0,
Newt Gingrich,President,,Republican,Lauderdale,214 - Fourteen,6,
Jon Huntsman,President,,Republican,Lauderdale,214 - Fourteen,0,
Gary Johnson,President,,Republican,Lauderdale,214 - Fourteen,0,
Ron Paul,President,,Republican,Lauderdale,214 - Fourteen,1,
Rick Perry,President,,Republican,Lauderdale,214 - Fourteen,0,
Mitt Romney,President,,Republican,Lauderdale,214 - Fourteen,10,
Rick Santorum,President,,Republican,Lauderdale,214 - Fourteen,8,
E. Allen Hathcock,U.S. Senate,,Republican,Lauderdale,214 - Fourteen,1,
Robert Maloney,U.S. Senate,,Republican,Lauderdale,214 - Fourteen,2,
Roger F. Wicker,U.S. Senate,,Republican,Lauderdale,214 - Fourteen,22,
Robert J. Allen,U.S. House,3,Republican,Lauderdale,214 - Fourteen,2,
Gregg Harper,U.S. House,3,Republican,Lauderdale,214 - Fourteen,22,
Michele Bachmann,President,,Republican,Lauderdale,235 - Daleville,0,
Newt Gingrich,President,,Republican,Lauderdale,235 - Daleville,16,
Jon Huntsman,President,,Republican,Lauderdale,235 - Daleville,0,
Gary Johnson,President,,Republican,Lauderdale,235 - Daleville,0,
Ron Paul,President,,Republican,Lauderdale,235 - Daleville,1,
Rick Perry,President,,Republican,Lauderdale,235 - Daleville,0,
Mitt Romney,President,,Republican,Lauderdale,235 - Daleville,7,
