candidate,office,district,party,county,precinct,votes,winner
Barack Obama,President,,Democratic,Lowndes,Caledonia,29,
Albert N. Gore Jr.,U.S. Senate,,Democratic,Lowndes,Caledonia,19,
Will Oatis,U.S. Senate,,Democratic,Lowndes,Caledonia,3,
Roger Weiner,U.S. Senate,,Democratic,Lowndes,Caledonia,9,
Brad Morris,U.S. House,1,Democratic,Lowndes,Caledonia,29,
Barack Obama,President,,Democratic,Lowndes,Columbus High School,79,
Albert N. Gore Jr.,U.S. Senate,,Democratic,Lowndes,Columbus High School,52,
Will Oatis,U.S. Senate,,Democratic,Lowndes,Columbus High School,11,
Roger Weiner,U.S. Senate,,Democratic,Lowndes,Columbus High School,9,
Brad Morris,U.S. House,1,Democratic,Lowndes,Columbus High School,69,
Barack Obama,President,,Democratic,Lowndes,Steens,15,
Albert N. Gore Jr.,U.S. Senate,,Democratic,Lowndes,Steens,8,
Will Oatis,U.S. Senate,,Democratic,Lowndes,Steens,1,
Roger Weiner,U.S. Senate,,Democratic,Lowndes,Steens,2,
Brad Morris,U.S. House,1,Democratic,Lowndes,Steens,12,
Barack Obama,President,,Democratic,Lowndes,Trinity,51,
Albert N. Gore Jr.,U.S. Senate,,Democratic,Lowndes,Trinity,32,
Will Oatis,U.S. Senate,,Democratic,Lowndes,Trinity,6,
Roger Weiner,U.S. Senate,,Democratic,Lowndes,Trinity,6,
Brad Morris,U.S. House,1,Democratic,Lowndes,Trinity,39,
Barack Obama,President,,Democratic,Lowndes,Immanuel School,21,
Albert N. Gore Jr.,U.S. Senate,,Democratic,Lowndes,Immanuel School,18,
Will Oatis,U.S. Senate,,Democratic,Lowndes,Immanuel School,2,
Roger Weiner,U.S. Senate,,Democratic,Lowndes,Immanuel School,2,
Brad Morris,U.S. House,1,Democratic,Lowndes,Immanuel School,20,
Barack Obama,President,,Democratic,Lowndes,Airbase,54,
Albert N. Gore Jr.,U.S. Senate,,Democratic,Lowndes,Airbase,30,
Will Oatis,U.S. Senate,,Democratic,Lowndes,Airbase,5,
