candidate,office,district,party,county,precinct,votes,
Barack Obama,President,,Democrat,Madison,New Life,139,
Mitt Romney,President,,Republican,Madison,New Life,1107,
Virgil Goode,President,,Constitution,Madison,New Life,5,
Gary Johnson,President,,Libertarian,Madison,New Life,7,
Jill Stein,President,,Green,Madison,New Life,3,
Barbara Dale Washer,President,,Reform,Madison,New Life,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,New Life,122,
Roger F. Wicker,U.S. Senate,,Republican,Madison,New Life,1083,
Thomas Cramer,U.S. Senate,,Constitution,Madison,New Life,18,
Shawn O'Hara,U.S. Senate,,Reform,Madison,New Life,11,
Gregg Harper,U.S. House,3,Republican,Madison,New Life,1139,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,New Life,72,
Barack Obama,President,,Democrat,Madison,Ridgeland Recreation Center,1059,
Mitt Romney,President,,Republican,Madison,Ridgeland Recreation Center,959,
Virgil Goode,President,,Constitution,Madison,Ridgeland Recreation Center,3,
Gary Johnson,President,,Libertarian,Madison,Ridgeland Recreation Center,13,
Jill Stein,President,,Green,Madison,Ridgeland Recreation Center,3,
Barbara Dale Washer,President,,Reform,Madison,Ridgeland Recreation Center,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Ridgeland Recreation Center,954,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Ridgeland Recreation Center,1013,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Ridgeland Recreation Center,16,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Ridgeland Recreation Center,18,
Gregg Harper,U.S. House,3,Republican,Madison,Ridgeland Recreation Center,1236,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Ridgeland Recreation Center,520,
Barack Obama,President,,Democrat,Madison,Victory Baptist,182,
Mitt Romney,President,,Republican,Madison,Victory Baptist,995,
Virgil Goode,President,,Constitution,Madison,Victory Baptist,2,
Gary Johnson,President,,Libertarian,Madison,Victory Baptist,3,
Jill Stein,President,,Green,Madison,Victory Baptist,2,
Barbara Dale Washer,President,,Reform,Madison,Victory Baptist,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Victory Baptist,151,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Victory Baptist,1003,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Victory Baptist,10,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Victory Baptist,6,
Gregg Harper,U.S. House,3,Republican,Madison,Victory Baptist,1072,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Victory Baptist,68,
Barack Obama,President,,Democrat,Madison,Ridgeland Precinct 4,418,
Mitt Romney,President,,Republican,Madison,Ridgeland Precinct 4,304,
Virgil Goode,President,,Constitution,Madison,Ridgeland Precinct 4,2,
Gary Johnson,President,,Libertarian,Madison,Ridgeland Precinct 4,7,
Jill Stein,President,,Green,Madison,Ridgeland Precinct 4,0,
Barbara Dale Washer,President,,Reform,Madison,Ridgeland Precinct 4,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Ridgeland Precinct 4,393,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Ridgeland Precinct 4,321,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Ridgeland Precinct 4,5,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Ridgeland Precinct 4,1,
Gregg Harper,U.S. House,3,Republican,Madison,Ridgeland Precinct 4,431,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Ridgeland Precinct 4,198,
Barack Obama,President,,Democrat,Madison,FBC Madison Campus,401,
Mitt Romney,President,,Republican,Madison,FBC Madison Campus,1412,
Virgil Goode,President,,Constitution,Madison,FBC Madison Campus,2,
Gary Johnson,President,,Libertarian,Madison,FBC Madison Campus,13,
Jill Stein,President,,Green,Madison,FBC Madison Campus,1,
Barbara Dale Washer,President,,Reform,Madison,FBC Madison Campus,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,FBC Madison Campus,363,
Roger F. Wicker,U.S. Senate,,Republican,Madison,FBC Madison Campus,1426,
Thomas Cramer,U.S. Senate,,Constitution,Madison,FBC Madison Campus,14,
Shawn O'Hara,U.S. Senate,,Reform,Madison,FBC Madison Campus,7,
Gregg Harper,U.S. House,3,Republican,Madison,FBC Madison Campus,1540,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,FBC Madison Campus,189,
Barack Obama,President,,Democrat,Madison,Sunnybrook,74,
Mitt Romney,President,,Republican,Madison,Sunnybrook,372,
Virgil Goode,President,,Constitution,Madison,Sunnybrook,0,
Gary Johnson,President,,Libertarian,Madison,Sunnybrook,3,
Jill Stein,President,,Green,Madison,Sunnybrook,0,
Barbara Dale Washer,President,,Reform,Madison,Sunnybrook,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Sunnybrook,55,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Sunnybrook,378,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Sunnybrook,3,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Sunnybrook,4,
Gregg Harper,U.S. House,3,Republican,Madison,Sunnybrook,386,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Sunnybrook,38,
Barack Obama,President,,Democrat,Madison,Madison Methodist,542,
Mitt Romney,President,,Republican,Madison,Madison Methodist,1953,
Virgil Goode,President,,Constitution,Madison,Madison Methodist,1,
Gary Johnson,President,,Libertarian,Madison,Madison Methodist,19,
Jill Stein,President,,Green,Madison,Madison Methodist,3,
Barbara Dale Washer,President,,Reform,Madison,Madison Methodist,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Madison Methodist,442,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Madison Methodist,2001,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Madison Methodist,11,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Madison Methodist,26,
Gregg Harper,U.S. House,3,Republican,Madison,Madison Methodist,2152,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Madison Methodist,229,
Barack Obama,President,,Democrat,Madison,Trace Ridge Baptist Church,847,
Mitt Romney,President,,Republican,Madison,Trace Ridge Baptist Church,1722,
Virgil Goode,President,,Constitution,Madison,Trace Ridge Baptist Church,6,
