candidate,office,district,party,county,precinct,votes,winner
Michele Bachmann,President,,Republican,Jasper,Bay Springs Beat 3,0,
Newt Gingrich,President,,Republican,Jasper,Bay Springs Beat 3,49,
Jon Huntsman,President,,Republican,Jasper,Bay Springs Beat 3,1,
Gary Johnson,President,,Republican,Jasper,Bay Springs Beat 3,0,
Ron Paul,President,,Republican,Jasper,Bay Springs Beat 3,8,
Rick Perry,President,,Republican,Jasper,Bay Springs Beat 3,1,
Mitt Romney,President,,Republican,Jasper,Bay Springs Beat 3,59,
Rick Santorum,President,,Republican,Jasper,Bay Springs Beat 3,39,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Bay Springs Beat 3,11,
Robert Maloney,U.S. Senate,,Republican,Jasper,Bay Springs Beat 3,10,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Bay Springs Beat 3,133,
Robert J. Allen,U.S. House,3,Republican,Jasper,Bay Springs Beat 3,17,
Gregg Harper,U.S. House,3,Republican,Jasper,Bay Springs Beat 3,132,
Michele Bachmann,President,,Republican,Jasper,Bay Springs Beat 4,0,
Newt Gingrich,President,,Republican,Jasper,Bay Springs Beat 4,50,
Jon Huntsman,President,,Republican,Jasper,Bay Springs Beat 4,0,
Gary Johnson,President,,Republican,Jasper,Bay Springs Beat 4,0,
Ron Paul,President,,Republican,Jasper,Bay Springs Beat 4,7,
Rick Perry,President,,Republican,Jasper,Bay Springs Beat 4,1,
Mitt Romney,President,,Republican,Jasper,Bay Springs Beat 4,19,
Rick Santorum,President,,Republican,Jasper,Bay Springs Beat 4,37,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Bay Springs Beat 4,13,
Robert Maloney,U.S. Senate,,Republican,Jasper,Bay Springs Beat 4,2,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Bay Springs Beat 4,99,
Robert J. Allen,U.S. House,3,Republican,Jasper,Bay Springs Beat 4,18,
Gregg Harper,U.S. House,3,Republican,Jasper,Bay Springs Beat 4,95,
Michele Bachmann,President,,Republican,Jasper,Beat 1 Antioch 2 Judicial,2,
Newt Gingrich,President,,Republican,Jasper,Beat 1 Antioch 2 Judicial,39,
Jon Huntsman,President,,Republican,Jasper,Beat 1 Antioch 2 Judicial,0,
Gary Johnson,President,,Republican,Jasper,Beat 1 Antioch 2 Judicial,1,
Ron Paul,President,,Republican,Jasper,Beat 1 Antioch 2 Judicial,5,
Rick Perry,President,,Republican,Jasper,Beat 1 Antioch 2 Judicial,0,
Mitt Romney,President,,Republican,Jasper,Beat 1 Antioch 2 Judicial,28,
Rick Santorum,President,,Republican,Jasper,Beat 1 Antioch 2 Judicial,26,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Beat 1 Antioch 2 Judicial,6,
Robert Maloney,U.S. Senate,,Republican,Jasper,Beat 1 Antioch 2 Judicial,3,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Beat 1 Antioch 2 Judicial,92,
Robert J. Allen,U.S. House,3,Republican,Jasper,Beat 1 Antioch 2 Judicial,14,
Gregg Harper,U.S. House,3,Republican,Jasper,Beat 1 Antioch 2 Judicial,83,
Michele Bachmann,President,,Republican,Jasper,Beat 1 Holders-Waldrup 1,0,
Newt Gingrich,President,,Republican,Jasper,Beat 1 Holders-Waldrup 1,3,
Jon Huntsman,President,,Republican,Jasper,Beat 1 Holders-Waldrup 1,0,
Gary Johnson,President,,Republican,Jasper,Beat 1 Holders-Waldrup 1,0,
Ron Paul,President,,Republican,Jasper,Beat 1 Holders-Waldrup 1,0,
Rick Perry,President,,Republican,Jasper,Beat 1 Holders-Waldrup 1,0,
Mitt Romney,President,,Republican,Jasper,Beat 1 Holders-Waldrup 1,2,
Rick Santorum,President,,Republican,Jasper,Beat 1 Holders-Waldrup 1,1,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Beat 1 Holders-Waldrup 1,0,
Robert Maloney,U.S. Senate,,Republican,Jasper,Beat 1 Holders-Waldrup 1,0,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Beat 1 Holders-Waldrup 1,6,
Robert J. Allen,U.S. House,3,Republican,Jasper,Beat 1 Holders-Waldrup 1,0,
Gregg Harper,U.S. House,3,Republican,Jasper,Beat 1 Holders-Waldrup 1,6,
Michele Bachmann,President,,Republican,Jasper,Beat 1 Holders-Waldrup 2,1,
Newt Gingrich,President,,Republican,Jasper,Beat 1 Holders-Waldrup 2,35,
Jon Huntsman,President,,Republican,Jasper,Beat 1 Holders-Waldrup 2,0,
Gary Johnson,President,,Republican,Jasper,Beat 1 Holders-Waldrup 2,1,
Ron Paul,President,,Republican,Jasper,Beat 1 Holders-Waldrup 2,2,
Rick Perry,President,,Republican,Jasper,Beat 1 Holders-Waldrup 2,0,
Mitt Romney,President,,Republican,Jasper,Beat 1 Holders-Waldrup 2,19,
Rick Santorum,President,,Republican,Jasper,Beat 1 Holders-Waldrup 2,40,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Beat 1 Holders-Waldrup 2,2,
Robert Maloney,U.S. Senate,,Republican,Jasper,Beat 1 Holders-Waldrup 2,8,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Beat 1 Holders-Waldrup 2,88,
Robert J. Allen,U.S. House,3,Republican,Jasper,Beat 1 Holders-Waldrup 2,4,
Gregg Harper,U.S. House,3,Republican,Jasper,Beat 1 Holders-Waldrup 2,88,
Michele Bachmann,President,,Republican,Jasper,Claiborne,0,
Newt Gingrich,President,,Republican,Jasper,Claiborne,18,
Jon Huntsman,President,,Republican,Jasper,Claiborne,0,
Gary Johnson,President,,Republican,Jasper,Claiborne,0,
Ron Paul,President,,Republican,Jasper,Claiborne,2,
Rick Perry,President,,Republican,Jasper,Claiborne,0,
Mitt Romney,President,,Republican,Jasper,Claiborne,8,
Rick Santorum,President,,Republican,Jasper,Claiborne,12,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Claiborne,3,
Robert Maloney,U.S. Senate,,Republican,Jasper,Claiborne,2,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Claiborne,35,
Robert J. Allen,U.S. House,3,Republican,Jasper,Claiborne,14,
Gregg Harper,U.S. House,3,Republican,Jasper,Claiborne,24,
Michele Bachmann,President,,Republican,Jasper,Fellowship,2,
Newt Gingrich,President,,Republican,Jasper,Fellowship,10,
Jon Huntsman,President,,Republican,Jasper,Fellowship,0,
Gary Johnson,President,,Republican,Jasper,Fellowship,0,
Ron Paul,President,,Republican,Jasper,Fellowship,1,
Rick Perry,President,,Republican,Jasper,Fellowship,0,
Mitt Romney,President,,Republican,Jasper,Fellowship,7,
Rick Santorum,President,,Republican,Jasper,Fellowship,7,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Fellowship,2,
Robert Maloney,U.S. Senate,,Republican,Jasper,Fellowship,2,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Fellowship,21,
Robert J. Allen,U.S. House,3,Republican,Jasper,Fellowship,6,
Gregg Harper,U.S. House,3,Republican,Jasper,Fellowship,20,
Michele Bachmann,President,,Republican,Jasper,Heidelberg Beat 5,0,
Newt Gingrich,President,,Republican,Jasper,Heidelberg Beat 5,24,
Jon Huntsman,President,,Republican,Jasper,Heidelberg Beat 5,0,
Gary Johnson,President,,Republican,Jasper,Heidelberg Beat 5,0,
Ron Paul,President,,Republican,Jasper,Heidelberg Beat 5,3,
Rick Perry,President,,Republican,Jasper,Heidelberg Beat 5,2,
Mitt Romney,President,,Republican,Jasper,Heidelberg Beat 5,17,
Rick Santorum,President,,Republican,Jasper,Heidelberg Beat 5,16,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Heidelberg Beat 5,4,
Robert Maloney,U.S. Senate,,Republican,Jasper,Heidelberg Beat 5,2,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Heidelberg Beat 5,56,
Robert J. Allen,U.S. House,3,Republican,Jasper,Heidelberg Beat 5,13,
Gregg Harper,U.S. House,3,Republican,Jasper,Heidelberg Beat 5,48,
Michele Bachmann,President,,Republican,Jasper,Louin,0,
Newt Gingrich,President,,Republican,Jasper,Louin,49,
Jon Huntsman,President,,Republican,Jasper,Louin,0,
Gary Johnson,President,,Republican,Jasper,Louin,0,
Ron Paul,President,,Republican,Jasper,Louin,5,
Rick Perry,President,,Republican,Jasper,Louin,3,
Mitt Romney,President,,Republican,Jasper,Louin,27,
Rick Santorum,President,,Republican,Jasper,Louin,37,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Louin,5,
Robert Maloney,U.S. Senate,,Republican,Jasper,Louin,8,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Louin,106,
Robert J. Allen,U.S. House,3,Republican,Jasper,Louin,7,
Gregg Harper,U.S. House,3,Republican,Jasper,Louin,110,
Michele Bachmann,President,,Republican,Jasper,Midway,1,
Newt Gingrich,President,,Republican,Jasper,Midway,9,
Jon Huntsman,President,,Republican,Jasper,Midway,0,
Gary Johnson,President,,Republican,Jasper,Midway,0,
Ron Paul,President,,Republican,Jasper,Midway,1,
Rick Perry,President,,Republican,Jasper,Midway,1,
Mitt Romney,President,,Republican,Jasper,Midway,9,
Rick Santorum,President,,Republican,Jasper,Midway,12,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Midway,0,
Robert Maloney,U.S. Senate,,Republican,Jasper,Midway,4,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Midway,29,
Robert J. Allen,U.S. House,3,Republican,Jasper,Midway,1,
Gregg Harper,U.S. House,3,Republican,Jasper,Midway,31,
Michele Bachmann,President,,Republican,Jasper,Montrose,0,
Newt Gingrich,President,,Republican,Jasper,Montrose,36,
Jon Huntsman,President,,Republican,Jasper,Montrose,0,
Gary Johnson,President,,Republican,Jasper,Montrose,0,
Ron Paul,President,,Republican,Jasper,Montrose,2,
Rick Perry,President,,Republican,Jasper,Montrose,0,
Mitt Romney,President,,Republican,Jasper,Montrose,9,
Rick Santorum,President,,Republican,Jasper,Montrose,27,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Montrose,3,
Robert Maloney,U.S. Senate,,Republican,Jasper,Montrose,2,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Montrose,69,
Robert J. Allen,U.S. House,3,Republican,Jasper,Montrose,7,
Gregg Harper,U.S. House,3,Republican,Jasper,Montrose,67,
Michele Bachmann,President,,Republican,Jasper,Moss First,0,
Newt Gingrich,President,,Republican,Jasper,Moss First,3,
Jon Huntsman,President,,Republican,Jasper,Moss First,0,
Gary Johnson,President,,Republican,Jasper,Moss First,0,
Ron Paul,President,,Republican,Jasper,Moss First,1,
Rick Perry,President,,Republican,Jasper,Moss First,0,
Mitt Romney,President,,Republican,Jasper,Moss First,2,
Rick Santorum,President,,Republican,Jasper,Moss First,0,
E. Allen Hathcock,U.S. Senate,,Republican,Jasper,Moss First,0,
Robert Maloney,U.S. Senate,,Republican,Jasper,Moss First,0,
Roger F. Wicker,U.S. Senate,,Republican,Jasper,Moss First,6,
Robert J. Allen,U.S. House,3,Republican,Jasper,Moss First,3,
Gregg Harper,U.S. House,3,Republican,Jasper,Moss First,3,
Michele Bachmann,President,,Republican,Jasper,Moss Second,0,
