page,candidate,office,district,party,county,precinct,votes
2,David Baria,US Senate ,,Democrat ,Leake,Conway,169
2,Roger F. Wicker,US Senate ,,Republican ,Leake,Conway,81
2,Danny Bedwell,US Senate ,,Libertarian,Leake,Conway,4
2,Shawn O'Hara,US Senate ,,Reform,Leake,Conway,5
2,Tobey Bernard Bartee,US Senate Special,,,Leake,Conway,4
2,Mike Espy,US Senate Special,,,Leake,Conway,199
2,Cindy Hyde-Smith,US Senate Special,,,Leake,Conway,61
2,Chris McDaniel,US Senate Special,,,Leake,Conway,23
2,Bennie G. Thompson,US House,2,Democrat ,Leake,Conway,214
2,Irving Harris,US House,2,Reform,Leake,Conway,7
2,Troy Ray,US House,2,Independent,Leake,Conway,55
2,David Baria,US Senate ,,Democrat ,Leake,East Carthage,102
2,Roger F. Wicker,US Senate ,,Republican ,Leake,East Carthage,385
2,Danny Bedwell,US Senate ,,Libertarian,Leake,East Carthage,7
2,Shawn O'Hara,US Senate ,,Reform,Leake,East Carthage,3
2,Tobey Bernard Bartee,US Senate Special,,,Leake,East Carthage,7
2,Mike Espy,US Senate Special,,,Leake,East Carthage,111
2,Cindy Hyde-Smith,US Senate Special,,,Leake,East Carthage,301
2,Chris McDaniel,US Senate Special,,,Leake,East Carthage,94
2,Bennie G. Thompson,US House,2,Democrat ,Leake,East Carthage,170
2,Irving Harris,US House,2,Reform,Leake,East Carthage,65
2,Troy Ray,US House,2,Independent,Leake,East Carthage,226
2,David Baria,US Senate ,,Democrat ,Leake,Edinburg,16
2,Roger F. Wicker,US Senate ,,Republican ,Leake,Edinburg,280
2,Danny Bedwell,US Senate ,,Libertarian,Leake,Edinburg,3
2,Shawn O'Hara,US Senate ,,Reform,Leake,Edinburg,1
2,Tobey Bernard Bartee,US Senate Special,,,Leake,Edinburg,1
2,Mike Espy,US Senate Special,,,Leake,Edinburg,16
2,Cindy Hyde-Smith,US Senate Special,,,Leake,Edinburg,200
2,Chris McDaniel,US Senate Special,,,Leake,Edinburg,85
2,Bennie G. Thompson,US House,2,Democrat ,Leake,Edinburg,37
2,Irving Harris,US House,2,Reform,Leake,Edinburg,42
2,Troy Ray,US House,2,Independent,Leake,Edinburg,172
2,David Baria,US Senate ,,Democrat ,Leake,Freeny,65
2,Roger F. Wicker,US Senate ,,Republican ,Leake,Freeny,282
2,Danny Bedwell,US Senate ,,Libertarian,Leake,Freeny,5
2,Shawn O'Hara,US Senate ,,Reform,Leake,Freeny,2
2,Tobey Bernard Bartee,US Senate Special,,,Leake,Freeny,2
2,Mike Espy,US Senate Special,,,Leake,Freeny,70
2,Cindy Hyde-Smith,US Senate Special,,,Leake,Freeny,220
2,Chris McDaniel,US Senate Special,,,Leake,Freeny,73
2,Bennie G. Thompson,US House,2,Democrat ,Leake,Freeny,94
2,Irving Harris,US House,2,Reform,Leake,Freeny,63
2,Troy Ray,US House,2,Independent,Leake,Freeny,168
