candidate,office,district,party,county,votes
Richard Warren Boyanton,US Senate,,REP,Adams,308
Roger F. Wicker,US Senate,,REP,Adams,1634
Sally Doty,US House,3,REP,Adams,201
Morgan Dunn,US House,3,REP,Adams,126
Michael Guest,US House,3,REP,Adams,459
Whit Hughes,US House,3,REP,Adams,810
Perry Parker,US House,3,REP,Adams,305
"K. ""Bitzi"" Tate",US House,3,REP,Adams,26
Richard Warren Boyanton,US Senate,,REP,Alcorn,200
Roger F. Wicker,US Senate,,REP,Alcorn,1014
Trent Kelly,US House,1,REP,Alcorn,1138
Richard Warren Boyanton,US Senate,,REP,Amite,251
Roger F. Wicker,US Senate,,REP,Amite,926
Sally Doty,US House,3,REP,Amite,148
Morgan Dunn,US House,3,REP,Amite,99
Michael Guest,US House,3,REP,Amite,367
Whit Hughes,US House,3,REP,Amite,351
Perry Parker,US House,3,REP,Amite,215
"K. ""Bitzi"" Tate",US House,3,REP,Amite,12
Richard Warren Boyanton,US Senate,,REP,Attala,82
Roger F. Wicker,US Senate,,REP,Attala,801
Richard Warren Boyanton,US Senate,,REP,Benton,44
Roger F. Wicker,US Senate,,REP,Benton,302
Trent Kelly,US House,1,REP,Benton,318
Richard Warren Boyanton,US Senate,,REP,Bolivar,48
Roger F. Wicker,US Senate,,REP,Bolivar,696
Richard Warren Boyanton,US Senate,,REP,Calhoun,88
Roger F. Wicker,US Senate,,REP,Calhoun,653
Trent Kelly,US House,1,REP,Calhoun,710
Richard Warren Boyanton,US Senate,,REP,Carroll,111
Roger F. Wicker,US Senate,,REP,Carroll,626
Richard Warren Boyanton,US Senate,,REP,Chickasaw,87
Roger F. Wicker,US Senate,,REP,Chickasaw,594
Trent Kelly,US House,1,REP,Chickasaw,653
Richard Warren Boyanton,US Senate,,REP,Choctaw,97
Roger F. Wicker,US Senate,,REP,Choctaw,514
Trent Kelly,US House,1,REP,Choctaw,590
Richard Warren Boyanton,US Senate,,REP,Claiborne,9
Roger F. Wicker,US Senate,,REP,Claiborne,77
Richard Warren Boyanton,US Senate,,REP,Clarke,262
Roger F. Wicker,US Senate,,REP,Clarke,1257
Sally Doty,US House,3,REP,Clarke,45
Morgan Dunn,US House,3,REP,Clarke,285
Michael Guest,US House,3,REP,Clarke,486
Whit Hughes,US House,3,REP,Clarke,357
Perry Parker,US House,3,REP,Clarke,237
"K. ""Bitzi"" Tate",US House,3,REP,Clarke,13
Steven Palazzo,US House,4,REP,Clarke,100
E. Brian Rose,US House,4,REP,Clarke,15
Richard Warren Boyanton,US Senate,,REP,Clay,60
Roger F. Wicker,US Senate,,REP,Clay,772
Trent Kelly,US House,1,REP,Clay,809
Richard Warren Boyanton,US Senate,,REP,Coahoma,24
Roger F. Wicker,US Senate,,REP,Coahoma,298
Richard Warren Boyanton,US Senate,,REP,Copiah,129
Roger F. Wicker,US Senate,,REP,Copiah,1068
Richard Warren Boyanton,US Senate,,REP,Covington,286
Roger F. Wicker,US Senate,,REP,Covington,1393
Sally Doty,US House,3,REP,Covington,84
Morgan Dunn,US House,3,REP,Covington,58
Michael Guest,US House,3,REP,Covington,98
Whit Hughes,US House,3,REP,Covington,118
Perry Parker,US House,3,REP,Covington,1339
"K. ""Bitzi"" Tate",US House,3,REP,Covington,11
Richard Warren Boyanton,US Senate,,REP,Desoto,1444
Roger F. Wicker,US Senate,,REP,Desoto,4183
Trent Kelly,US House,1,REP,Desoto,5184
Richard Warren Boyanton,US Senate,,REP,Forrest,871
Roger F. Wicker,US Senate,,REP,Forrest,3173
Steven Palazzo,US House,4,REP,Forrest,3009
E. Brian Rose,US House,4,REP,Forrest,1047
Richard Warren Boyanton,US Senate,,REP,Franklin,132
Roger F. Wicker,US Senate,,REP,Franklin,725
Sally Doty,US House,3,REP,Franklin,206
Morgan Dunn,US House,3,REP,Franklin,105
Michael Guest,US House,3,REP,Franklin,207
Whit Hughes,US House,3,REP,Franklin,150
Perry Parker,US House,3,REP,Franklin,202
"K. ""Bitzi"" Tate",US House,3,REP,Franklin,3
Richard Warren Boyanton,US Senate,,REP,George,382
Roger F. Wicker,US Senate,,REP,George,1044
Steven Palazzo,US House,4,REP,George,1077
E. Brian Rose,US House,4,REP,George,361
Richard Warren Boyanton,US Senate,,REP,Greene,208
Roger F. Wicker,US Senate,,REP,Greene,462
Steven Palazzo,US House,4,REP,Greene,514
E. Brian Rose,US House,4,REP,Greene,170
Richard Warren Boyanton,US Senate,,REP,Grenada,138
Roger F. Wicker,US Senate,,REP,Grenada,802
Richard Warren Boyanton,US Senate,,REP,Hancock,768
Roger F. Wicker,US Senate,,REP,Hancock,1944
Steven Palazzo,US House,4,REP,Hancock,1810
E. Brian Rose,US House,4,REP,Hancock,908
Richard Warren Boyanton,US Senate,,REP,Harrison,1939
Roger F. Wicker,US Senate,,REP,Harrison,7121
Steven Palazzo,US House,4,REP,Harrison,5555
E. Brian Rose,US House,4,REP,Harrison,3515
Richard Warren Boyanton,US Senate,,REP,Hinds,778
Roger F. Wicker,US Senate,,REP,Hinds,5721
Sally Doty,US House,3,REP,Hinds,192
Morgan Dunn,US House,3,REP,Hinds,47
Michael Guest,US House,3,REP,Hinds,886
Whit Hughes,US House,3,REP,Hinds,1154
Perry Parker,US House,3,REP,Hinds,389
"K. ""Bitzi"" Tate",US House,3,REP,Hinds,20
Richard Warren Boyanton,US Senate,,REP,Holmes,19
Roger F. Wicker,US Senate,,REP,Holmes,170
Richard Warren Boyanton,US Senate,,REP,Humphreys,6
Roger F. Wicker,US Senate,,REP,Humphreys,199
Richard Warren Boyanton,US Senate,,REP,Issaquena,3
Roger F. Wicker,US Senate,,REP,Issaquena,56
Richard Warren Boyanton,US Senate,,REP,Itawamba,242
Roger F. Wicker,US Senate,,REP,Itawamba,1065
Trent Kelly,US House,1,REP,Itawamba,1263
Richard Warren Boyanton,US Senate,,REP,Jackson,1505
Roger F. Wicker,US Senate,,REP,Jackson,6038
Steven Palazzo,US House,4,REP,Jackson,5038
E. Brian Rose,US House,4,REP,Jackson,2531
Richard Warren Boyanton,US Senate,,REP,Jasper,259
Roger F. Wicker,US Senate,,REP,Jasper,666
Sally Doty,US House,3,REP,Jasper,65
Morgan Dunn,US House,3,REP,Jasper,98
Michael Guest,US House,3,REP,Jasper,165
Whit Hughes,US House,3,REP,Jasper,153
Perry Parker,US House,3,REP,Jasper,425
"K. ""Bitzi"" Tate",US House,3,REP,Jasper,18
Richard Warren Boyanton,US Senate,,REP,Jefferson,4
Roger F. Wicker,US Senate,,REP,Jefferson,112
Richard Warren Boyanton,US Senate,,REP,Jefferson Davis,115
Roger F. Wicker,US Senate,,REP,Jefferson Davis,541
Sally Doty,US House,3,REP,Jefferson Davis,51
Morgan Dunn,US House,3,REP,Jefferson Davis,34
Michael Guest,US House,3,REP,Jefferson Davis,233
Whit Hughes,US House,3,REP,Jefferson Davis,93
Perry Parker,US House,3,REP,Jefferson Davis,253
"K. ""Bitzi"" Tate",US House,3,REP,Jefferson Davis,7
Richard Warren Boyanton,US Senate,,REP,Jones,1705
Roger F. Wicker,US Senate,,REP,Jones,2885
Steven Palazzo,US House,4,REP,Jones,3181
E. Brian Rose,US House,4,REP,Jones,1470
Richard Warren Boyanton,US Senate,,REP,Kemper,53
Roger F. Wicker,US Senate,,REP,Kemper,399
Sally Doty,US House,3,REP,Kemper,45
Morgan Dunn,US House,3,REP,Kemper,70
Michael Guest,US House,3,REP,Kemper,124
Whit Hughes,US House,3,REP,Kemper,109
Perry Parker,US House,3,REP,Kemper,106
"K. ""Bitzi"" Tate",US House,3,REP,Kemper,4
Richard Warren Boyanton,US Senate,,REP,Lafayette,252
Roger F. Wicker,US Senate,,REP,Lafayette,1360
Trent Kelly,US House,1,REP,Lafayette,1527
Richard Warren Boyanton,US Senate,,REP,Lamar,822
Roger F. Wicker,US Senate,,REP,Lamar,3441
Steven Palazzo,US House,4,REP,Lamar,3382
E. Brian Rose,US House,4,REP,Lamar,897
Richard Warren Boyanton,US Senate,,REP,Lauderdale,847
Roger F. Wicker,US Senate,,REP,Lauderdale,4982
Sally Doty,US House,3,REP,Lauderdale,493
Morgan Dunn,US House,3,REP,Lauderdale,1069
Michael Guest,US House,3,REP,Lauderdale,1743
Whit Hughes,US House,3,REP,Lauderdale,1580
Perry Parker,US House,3,REP,Lauderdale,923
"K. ""Bitzi"" Tate",US House,3,REP,Lauderdale,59
Richard Warren Boyanton,US Senate,,REP,Lawrence,145
Roger F. Wicker,US Senate,,REP,Lawrence,1008
Sally Doty,US House,3,REP,Lawrence,396
Morgan Dunn,US House,3,REP,Lawrence,38
Michael Guest,US House,3,REP,Lawrence,419
Whit Hughes,US House,3,REP,Lawrence,119
Perry Parker,US House,3,REP,Lawrence,197
"K. ""Bitzi"" Tate",US House,3,REP,Lawrence,3
Richard Warren Boyanton,US Senate,,REP,Leake,104
Roger F. Wicker,US Senate,,REP,Leake,760
Richard Warren Boyanton,US Senate,,REP,Lee,725
Roger F. Wicker,US Senate,,REP,Lee,3043
Trent Kelly,US House,1,REP,Lee,3647
Richard Warren Boyanton,US Senate,,REP,Leflore,58
Roger F. Wicker,US Senate,,REP,Leflore,420
Richard Warren Boyanton,US Senate,,REP,Lincoln,384
Roger F. Wicker,US Senate,,REP,Lincoln,3036
Sally Doty,US House,3,REP,Lincoln,1944
Morgan Dunn,US House,3,REP,Lincoln,54
Michael Guest,US House,3,REP,Lincoln,731
Whit Hughes,US House,3,REP,Lincoln,410
Perry Parker,US House,3,REP,Lincoln,367
"K. ""Bitzi"" Tate",US House,3,REP,Lincoln,11
Richard Warren Boyanton,US Senate,,REP,Lowndes,279
Roger F. Wicker,US Senate,,REP,Lowndes,2235
Trent Kelly,US House,1,REP,Lowndes,2415
Richard Warren Boyanton,US Senate,,REP,Madison,1113
Roger F. Wicker,US Senate,,REP,Madison,8827
Sally Doty,US House,3,REP,Madison,638
Morgan Dunn,US House,3,REP,Madison,156
Michael Guest,US House,3,REP,Madison,4664
Whit Hughes,US House,3,REP,Madison,3110
Perry Parker,US House,3,REP,Madison,851
"K. ""Bitzi"" Tate",US House,3,REP,Madison,44
Richard Warren Boyanton,US Senate,,REP,Marion,350
Roger F. Wicker,US Senate,,REP,Marion,1513
Steven Palazzo,US House,4,REP,Marion,1625
E. Brian Rose,US House,4,REP,Marion,247
Richard Warren Boyanton,US Senate,,REP,Marshall,195
Roger F. Wicker,US Senate,,REP,Marshall,895
Trent Kelly,US House,1,REP,Marshall,1003
Richard Warren Boyanton,US Senate,,REP,Monroe,161
Roger F. Wicker,US Senate,,REP,Monroe,1346
Trent Kelly,US House,1,REP,Monroe,1451
Richard Warren Boyanton,US Senate,,REP,Montgomery,60
Roger F. Wicker,US Senate,,REP,Montgomery,490
Richard Warren Boyanton,US Senate,,REP,Neshoba,279
Roger F. Wicker,US Senate,,REP,Neshoba,1625
Sally Doty,US House,3,REP,Neshoba,119
Morgan Dunn,US House,3,REP,Neshoba,258
Michael Guest,US House,3,REP,Neshoba,612
Whit Hughes,US House,3,REP,Neshoba,518
Perry Parker,US House,3,REP,Neshoba,380
"K. ""Bitzi"" Tate",US House,3,REP,Neshoba,24
Richard Warren Boyanton,US Senate,,REP,Newton,350
Roger F. Wicker,US Senate,,REP,Newton,1440
Sally Doty,US House,3,REP,Newton,151
Morgan Dunn,US House,3,REP,Newton,212
Michael Guest,US House,3,REP,Newton,654
Whit Hughes,US House,3,REP,Newton,444
Perry Parker,US House,3,REP,Newton,346
"K. ""Bitzi"" Tate",US House,3,REP,Newton,17
Richard Warren Boyanton,US Senate,,REP,Noxubee,23
Roger F. Wicker,US Senate,,REP,Noxubee,272
Sally Doty,US House,3,REP,Noxubee,19
Morgan Dunn,US House,3,REP,Noxubee,10
Michael Guest,US House,3,REP,Noxubee,67
Whit Hughes,US House,3,REP,Noxubee,117
Perry Parker,US House,3,REP,Noxubee,67
"K. ""Bitzi"" Tate",US House,3,REP,Noxubee,6
Richard Warren Boyanton,US Senate,,REP,Oktibbeha,303
Roger F. Wicker,US Senate,,REP,Oktibbeha,2254
Trent Kelly,US House,1,REP,Oktibbeha,208
Sally Doty,US House,3,REP,Oktibbeha,168
Morgan Dunn,US House,3,REP,Oktibbeha,34
Michael Guest,US House,3,REP,Oktibbeha,659
Whit Hughes,US House,3,REP,Oktibbeha,1017
Perry Parker,US House,3,REP,Oktibbeha,445
"K. ""Bitzi"" Tate",US House,3,REP,Oktibbeha,15
Richard Warren Boyanton,US Senate,,REP,Panola,169
Roger F. Wicker,US Senate,,REP,Panola,898
Richard Warren Boyanton,US Senate,,REP,Pearl River,815
Roger F. Wicker,US Senate,,REP,Pearl River,2140
