county,precinct,office,district,Candidate,party,Votes,
Pike,New Hope Baptist Church,U.S. Senate,,David Baria,Democrat,401,
Pike,S MCCOMB BAPTIST CHURCH,U.S. Senate,,David Baria,Democrat,153,
Pike,"Fiest Bapt. Church, Summit",U.S. Senate,,David Baria,Democrat,199,
Pike,Mlk Center,U.S. Senate,,David Baria,Democrat,449,
Pike,North McComb Baptist Church,U.S. Senate,,David Baria,Democrat,130,
Pike,Lifepointe Nazarene Church,U.S. Senate,,David Baria,Democrat,202,
Pike,St Mary Free Will Bapt. Ch.,U.S. Senate,,David Baria,Democrat,239,
Pike,Fernwood Baptist Church,U.S. Senate,,David Baria,Democrat,333,
Pike,Magnolia Comm Ctr.,U.S. Senate,,David Baria,Democrat,369,
Pike,Braswell Education Complex,U.S. Senate,,David Baria,Democrat,374,
Pike,Leggett Community,U.S. Senate,,David Baria,Democrat,157,
Pike,Navilla Baptist Church Fellowship,U.S. Senate,,David Baria,Democrat,339,
Pike,Holmesville,U.S. Senate,,David Baria,Democrat,186,
Pike,Calvary Baptist Church,U.S. Senate,,David Baria,Democrat,168,
Pike,Old Jones School,U.S. Senate,,David Baria,Democrat,83,
Pike,Summit City Hall,U.S. Senate,,David Baria,Democrat,272,
Pike,SMCC Work Force Training Ctr,U.S. Senate,,David Baria,Democrat,181,
Pike,Johnston Chapel Meth. Church,U.S. Senate,,David Baria,Democrat,101,
Pike,Pisgah Methodist Church,U.S. Senate,,David Baria,Democrat,141,
Pike,Pike Co. Nat. Bank,U.S. Senate,,David Baria,Democrat,216,
Pike,Old Progress Volunteer Fire,U.S. Senate,,David Baria,Democrat,345,
Pike,Church of Christ,U.S. Senate,,David Baria,Democrat,291,
Pike,West McComb Bapt. Church,U.S. Senate,,David Baria,Democrat,184,
Pike,St. Mary of the Pines,U.S. Senate,,David Baria,Democrat,265,
Pike,Osyka City Hall,U.S. Senate,,David Baria,Democrat,79,
Pike,TOTAL,U.S. Senate,,David Baria,Democrat,5857,
Pike,New Hope Baptist Church,U.S. Senate,,Roger F. Wicker,Republican,45,
Pike,S MCCOMB BAPTIST CHURCH,U.S. Senate,,Roger F. Wicker,Republican,57,
Pike,"Fiest Bapt. Church, Summit",U.S. Senate,,Roger F. Wicker,Republican,62,
Pike,Mlk Center,U.S. Senate,,Roger F. Wicker,Republican,17,
Pike,North McComb Baptist Church,U.S. Senate,,Roger F. Wicker,Republican,300,
Pike,Lifepointe Nazarene Church,U.S. Senate,,Roger F. Wicker,Republican,9,
Pike,St Mary Free Will Bapt. Ch.,U.S. Senate,,Roger F. Wicker,Republican,77,
Pike,Fernwood Baptist Church,U.S. Senate,,Roger F. Wicker,Republican,175,
Pike,Magnolia Comm Ctr.,U.S. Senate,,Roger F. Wicker,Republican,210,
Pike,Braswell Education Complex,U.S. Senate,,Roger F. Wicker,Republican,253,
Pike,Leggett Community,U.S. Senate,,Roger F. Wicker,Republican,112,
Pike,Navilla Baptist Church Fellowship,U.S. Senate,,Roger F. Wicker,Republican,509,
Pike,Holmesville,U.S. Senate,,Roger F. Wicker,Republican,283,
Pike,Calvary Baptist Church,U.S. Senate,,Roger F. Wicker,Republican,350,
Pike,Old Jones School,U.S. Senate,,Roger F. Wicker,Republican,409,
Pike,Summit City Hall,U.S. Senate,,Roger F. Wicker,Republican,279,
Pike,SMCC Work Force Training Ctr,U.S. Senate,,Roger F. Wicker,Republican,444,
Pike,Johnston Chapel Meth. Church,U.S. Senate,,Roger F. Wicker,Republican,593,
Pike,Pisgah Methodist Church,U.S. Senate,,Roger F. Wicker,Republican,633,
Pike,Pike Co. Nat. Bank,U.S. Senate,,Roger F. Wicker,Republican,222,
Pike,Old Progress Volunteer Fire,U.S. Senate,,Roger F. Wicker,Republican,285,
Pike,Church of Christ,U.S. Senate,,Roger F. Wicker,Republican,269,
Pike,West McComb Bapt. Church,U.S. Senate,,Roger F. Wicker,Republican,334,
Pike,St. Mary of the Pines,U.S. Senate,,Roger F. Wicker,Republican,398,
Pike,Osyka City Hall,U.S. Senate,,Roger F. Wicker,Republican,177,
Pike,TOTAL,U.S. Senate,,Roger F. Wicker,Republican,6502,
Pike,New Hope Baptist Church,U.S. Senate,,Danny Bedwell,Libertarian,3,
Pike,S MCCOMB BAPTIST CHURCH,U.S. Senate,,Danny Bedwell,Libertarian,6,
Pike,"Fiest Bapt. Church, Summit",U.S. Senate,,Danny Bedwell,Libertarian,3,
Pike,Mlk Center,U.S. Senate,,Danny Bedwell,Libertarian,2,
Pike,North McComb Baptist Church,U.S. Senate,,Danny Bedwell,Libertarian,2,
Pike,Lifepointe Nazarene Church,U.S. Senate,,Danny Bedwell,Libertarian,2,
Pike,St Mary Free Will Bapt. Ch.,U.S. Senate,,Danny Bedwell,Libertarian,3,
Pike,Fernwood Baptist Church,U.S. Senate,,Danny Bedwell,Libertarian,2,
Pike,Magnolia Comm Ctr.,U.S. Senate,,Danny Bedwell,Libertarian,4,
Pike,Braswell Education Complex,U.S. Senate,,Danny Bedwell,Libertarian,5,
Pike,Leggett Community,U.S. Senate,,Danny Bedwell,Libertarian,1,
Pike,Navilla Baptist Church Fellowship,U.S. Senate,,Danny Bedwell,Libertarian,21,
