page,candidate,office,district,party,county,precinct,votes
2,David Baria,US Senate ,,Democrat ,Pearl River ,Amackertown 2,13
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Amackertown 2,173
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Amackertown 2,1
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Amackertown 2,0
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Amackertown 2,1
2,Mike Espy,US Senate Special,,,Pearl River ,Amackertown 2,18
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Amackertown 2,108
2,Chris McDaniel,US Senate Special,,,Pearl River ,Amackertown 2,61
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Amackertown 2,16
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Amackertown 2,172
2,Lajena Sheets,US House,4,Reform,Pearl River ,Amackertown 2,1
2,David Baria,US Senate ,,Democrat ,Pearl River ,Carriere 3,106
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Carriere 3,542
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Carriere 3,16
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Carriere 3,6
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Carriere 3,17
2,Mike Espy,US Senate Special,,,Pearl River ,Carriere 3,113
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Carriere 3,280
2,Chris McDaniel,US Senate Special,,,Pearl River ,Carriere 3,244
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Carriere 3,112
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Carriere 3,564
2,Lajena Sheets,US House,4,Reform,Pearl River ,Carriere 3,1
2,David Baria,US Senate ,,Democrat ,Pearl River ,Carriere 5,153
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Carriere 5,990
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Carriere 5,29
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Carriere 5,18
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Carriere 5,17
2,Mike Espy,US Senate Special,,,Pearl River ,Carriere 5,149
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Carriere 5,534
2,Chris McDaniel,US Senate Special,,,Pearl River ,Carriere 5,467
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Carriere 5,160
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Carriere 5,1032
2,Lajena Sheets,US House,4,Reform,Pearl River ,Carriere 5,14
2,David Baria,US Senate ,,Democrat ,Pearl River ,Ceasar 3,10
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Ceasar 3,128
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Ceasar 3,2
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Ceasar 3,0
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Ceasar 3,2
2,Mike Espy,US Senate Special,,,Pearl River ,Ceasar 3,12
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Ceasar 3,63
2,Chris McDaniel,US Senate Special,,,Pearl River ,Ceasar 3,64
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Ceasar 3,10
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Ceasar 3,132
2,Lajena Sheets,US House,4,Reform,Pearl River ,Ceasar 3,0
2,David Baria,US Senate ,,Democrat ,Pearl River ,Crossroads 2,50
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Crossroads 2,383
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Crossroads 2,8
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Crossroads 2,5
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Crossroads 2,10
2,Mike Espy,US Senate Special,,,Pearl River ,Crossroads 2,40
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Crossroads 2,212
2,Chris McDaniel,US Senate Special,,,Pearl River ,Crossroads 2,173
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Crossroads 2,46
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Crossroads 2,397
2,Lajena Sheets,US House,4,Reform,Pearl River ,Crossroads 2,3
2,David Baria,US Senate ,,Democrat ,Pearl River ,Derby 1,70
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Derby 1,232
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Derby 1,7
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Derby 1,1
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Derby 1,8
2,Mike Espy,US Senate Special,,,Pearl River ,Derby 1,53
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Derby 1,146
2,Chris McDaniel,US Senate Special,,,Pearl River ,Derby 1,95
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Derby 1,69
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Derby 1,246
2,Lajena Sheets,US House,4,Reform,Pearl River ,Derby 1,2
2,David Baria,US Senate ,,Democrat ,Pearl River ,F Z Goss 4,117
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,F Z Goss 4,1015
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,F Z Goss 4,31
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,F Z Goss 4,7
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,F Z Goss 4,29
2,Mike Espy,US Senate Special,,,Pearl River ,F Z Goss 4,133
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,F Z Goss 4,527
2,Chris McDaniel,US Senate Special,,,Pearl River ,F Z Goss 4,461
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,F Z Goss 4,119
2,Steven Palazzo,US House,4,Republican ,Pearl River ,F Z Goss 4,1053
2,Lajena Sheets,US House,4,Reform,Pearl River ,F Z Goss 4,16
2,David Baria,US Senate ,,Democrat ,Pearl River ,Gumpond/Hickory Grove 3,66
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Gumpond/Hickory Grove 3,514
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Gumpond/Hickory Grove 3,13
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Gumpond/Hickory Grove 3,6
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Gumpond/Hickory Grove 3,2
2,Mike Espy,US Senate Special,,,Pearl River ,Gumpond/Hickory Grove 3,59
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Gumpond/Hickory Grove 3,302
2,Chris McDaniel,US Senate Special,,,Pearl River ,Gumpond/Hickory Grove 3,247
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Gumpond/Hickory Grove 3,61
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Gumpond/Hickory Grove 3,543
2,Lajena Sheets,US House,4,Reform,Pearl River ,Gumpond/Hickory Grove 3,6
2,David Baria,US Senate ,,Democrat ,Pearl River ,Henleyfield 2,53
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Henleyfield 2,496
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Henleyfield 2,6
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Henleyfield 2,4
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Henleyfield 2,9
2,Mike Espy,US Senate Special,,,Pearl River ,Henleyfield 2,47
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Henleyfield 2,261
2,Chris McDaniel,US Senate Special,,,Pearl River ,Henleyfield 2,230
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Henleyfield 2,54
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Henleyfield 2,515
2,Lajena Sheets,US House,4,Reform,Pearl River ,Henleyfield 2,4
2,David Baria,US Senate ,,Democrat ,Pearl River ,Mcneill 3,34
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Mcneill 3,426
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Mcneill 3,5
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Mcneill 3,6
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Mcneill 3,6
2,Mike Espy,US Senate Special,,,Pearl River ,Mcneill 3,46
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Mcneill 3,229
2,Chris McDaniel,US Senate Special,,,Pearl River ,Mcneill 3,183
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Mcneill 3,40
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Mcneill 3,441
2,Lajena Sheets,US House,4,Reform,Pearl River ,Mcneill 3,3
2,David Baria,US Senate ,,Democrat ,Pearl River ,Mill Creek 2,39
2,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Mill Creek 2,352
2,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Mill Creek 2,7
2,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Mill Creek 2,2
2,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Mill Creek 2,9
2,Mike Espy,US Senate Special,,,Pearl River ,Mill Creek 2,47
2,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Mill Creek 2,152
2,Chris McDaniel,US Senate Special,,,Pearl River ,Mill Creek 2,188
2,Jeramey Anderson,US House,4,Democrat ,Pearl River ,Mill Creek 2,36
2,Steven Palazzo,US House,4,Republican ,Pearl River ,Mill Creek 2,367
2,Lajena Sheets,US House,4,Reform,Pearl River ,Mill Creek 2,4
3,David Baria,US Senate ,,Democrat ,Pearl River ,Nicholson 4,65
3,Roger F. Wicker,US Senate ,,Republican ,Pearl River ,Nicholson 4,342
3,Danny Bedwell,US Senate ,,Libertarian,Pearl River ,Nicholson 4,13
3,Shawn O'Hara,US Senate ,,Reform,Pearl River ,Nicholson 4,4
3,Tobey Bernard Bartee,US Senate Special,,,Pearl River ,Nicholson 4,9
3,Mike Espy,US Senate Special,,,Pearl River ,Nicholson 4,74
3,Cindy Hyde-Smith,US Senate Special,,,Pearl River ,Nicholson 4,160
