page,candidate,office,district,party,county,precinct,votes,
2,Micheal Guest,US House,3,Republican ,Lincoln,Bogue Chitto,152,
2,Matthew Holland,US House,3,Reform,Lincoln,Bogue Chitto,3,
2,David Baria,US Senate ,,Democrat ,Lincoln,Brignal/Rogers Circle,338,
2,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Brignal/Rogers Circle,171,
2,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Brignal/Rogers Circle,4,
2,Shawn O'Hara,US Senate ,,Reform,Lincoln,Brignal/Rogers Circle,6,
2,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Brignal/Rogers Circle,9,
2,Mike Espy,US Senate Special,,,Lincoln,Brignal/Rogers Circle,346,
2,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Brignal/Rogers Circle,151,
2,Chris McDaniel,US Senate Special,,,Lincoln,Brignal/Rogers Circle,26,
2,Michael Ted Evans,US House,3,Democrat ,Lincoln,Brignal/Rogers Circle,356,
2,Micheal Guest,US House,3,Republican ,Lincoln,Brignal/Rogers Circle,172,
2,Matthew Holland,US House,3,Reform,Lincoln,Brignal/Rogers Circle,3,
2,David Baria,US Senate ,,Democrat ,Lincoln,Caseyville,67,
2,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Caseyville,290,
2,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Caseyville,6,
2,Shawn O'Hara,US Senate ,,Reform,Lincoln,Caseyville,0,
2,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Caseyville,0,
2,Mike Espy,US Senate Special,,,Lincoln,Caseyville,78,
2,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Caseyville,264,
2,Chris McDaniel,US Senate Special,,,Lincoln,Caseyville,35,
2,Michael Ted Evans,US House,3,Democrat ,Lincoln,Caseyville,75,
2,Micheal Guest,US House,3,Republican ,Lincoln,Caseyville,300,
2,Matthew Holland,US House,3,Reform,Lincoln,Caseyville,3,
2,David Baria,US Senate ,,Democrat ,Lincoln,City Hall,75,
2,Roger F. Wicker,US Senate ,,Republican ,Lincoln,City Hall,143,
2,Danny Bedwell,US Senate ,,Libertarian,Lincoln,City Hall,2,
2,Shawn O'Hara,US Senate ,,Reform,Lincoln,City Hall,2,
2,Tobey Bernard Bartee,US Senate Special,,,Lincoln,City Hall,1,
2,Mike Espy,US Senate Special,,,Lincoln,City Hall,77,
2,Cindy Hyde-Smith,US Senate Special,,,Lincoln,City Hall,141,
2,Chris McDaniel,US Senate Special,,,Lincoln,City Hall,5,
2,Michael Ted Evans,US House,3,Democrat ,Lincoln,City Hall,76,
2,Micheal Guest,US House,3,Republican ,Lincoln,City Hall,147,
2,Matthew Holland,US House,3,Reform,Lincoln,City Hall,3,
2,David Baria,US Senate ,,Democrat ,Lincoln,East Lincoln,2,
2,Roger F. Wicker,US Senate ,,Republican ,Lincoln,East Lincoln,199,
2,Danny Bedwell,US Senate ,,Libertarian,Lincoln,East Lincoln,3,
2,Shawn O'Hara,US Senate ,,Reform,Lincoln,East Lincoln,1,
2,Tobey Bernard Bartee,US Senate Special,,,Lincoln,East Lincoln,0,
2,Mike Espy,US Senate Special,,,Lincoln,East Lincoln,4,
2,Cindy Hyde-Smith,US Senate Special,,,Lincoln,East Lincoln,193,
2,Chris McDaniel,US Senate Special,,,Lincoln,East Lincoln,18,
2,Michael Ted Evans,US House,3,Democrat ,Lincoln,East Lincoln,7,
2,Micheal Guest,US House,3,Republican ,Lincoln,East Lincoln,205,
2,Matthew Holland,US House,3,Reform,Lincoln,East Lincoln,2,
2,David Baria,US Senate ,,Democrat ,Lincoln,Enterprise,46,
2,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Enterprise,658,
2,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Enterprise,5,
2,Shawn O'Hara,US Senate ,,Reform,Lincoln,Enterprise,4,
2,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Enterprise,2,
2,Mike Espy,US Senate Special,,,Lincoln,Enterprise,45,
2,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Enterprise,590,
2,Chris McDaniel,US Senate Special,,,Lincoln,Enterprise,96,
2,Michael Ted Evans,US House,3,Democrat ,Lincoln,Enterprise,55,
2,Micheal Guest,US House,3,Republican ,Lincoln,Enterprise,663,
2,Matthew Holland,US House,3,Reform,Lincoln,Enterprise,5,
2,David Baria,US Senate ,,Democrat ,Lincoln,Fair River,13,
2,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Fair River,152,
2,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Fair River,1,
2,Shawn O'Hara,US Senate ,,Reform,Lincoln,Fair River,0,
2,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Fair River,0,
2,Mike Espy,US Senate Special,,,Lincoln,Fair River,9,
2,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Fair River,149,
2,Chris McDaniel,US Senate Special,,,Lincoln,Fair River,10,
2,Michael Ted Evans,US House,3,Democrat ,Lincoln,Fair River,6,
2,Micheal Guest,US House,3,Republican ,Lincoln,Fair River,160,
2,Matthew Holland,US House,3,Reform,Lincoln,Fair River,1,
2,David Baria,US Senate ,,Democrat ,Lincoln,Forrestry,165,
2,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Forrestry,245,
2,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Forrestry,4,
2,Shawn O'Hara,US Senate ,,Reform,Lincoln,Forrestry,2,
2,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Forrestry,1,
2,Mike Espy,US Senate Special,,,Lincoln,Forrestry,171,
2,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Forrestry,231,
2,Chris McDaniel,US Senate Special,,,Lincoln,Forrestry,24,
2,Michael Ted Evans,US House,3,Democrat ,Lincoln,Forrestry,165,
2,Micheal Guest,US House,3,Republican ,Lincoln,Forrestry,257,
2,Matthew Holland,US House,3,Reform,Lincoln,Forrestry,2,
3,David Baria,US Senate ,,Democrat ,Lincoln,Governmental Complex,326,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Governmental Complex,24,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Governmental Complex,4,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,Governmental Complex,5,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Governmental Complex,4,
3,Mike Espy,US Senate Special,,,Lincoln,Governmental Complex,340,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Governmental Complex,22,
3,Chris McDaniel,US Senate Special,,,Lincoln,Governmental Complex,7,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,Governmental Complex,343,
3,Micheal Guest,US House,3,Republican ,Lincoln,Governmental Complex,25,
3,Matthew Holland,US House,3,Reform,Lincoln,Governmental Complex,4,
3,David Baria,US Senate ,,Democrat ,Lincoln,Halbert Heights,167,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Halbert Heights,885,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Halbert Heights,9,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,Halbert Heights,3,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Halbert Heights,8,
3,Mike Espy,US Senate Special,,,Lincoln,Halbert Heights,159,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Halbert Heights,841,
3,Chris McDaniel,US Senate Special,,,Lincoln,Halbert Heights,79,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,Halbert Heights,172,
3,Micheal Guest,US House,3,Republican ,Lincoln,Halbert Heights,889,
3,Matthew Holland,US House,3,Reform,Lincoln,Halbert Heights,7,
3,David Baria,US Senate ,,Democrat ,Lincoln,Heucks Retreat ,82,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Heucks Retreat ,359,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Heucks Retreat ,4,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,Heucks Retreat ,5,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Heucks Retreat ,4,
3,Mike Espy,US Senate Special,,,Lincoln,Heucks Retreat ,78,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Heucks Retreat ,346,
3,Chris McDaniel,US Senate Special,,,Lincoln,Heucks Retreat ,37,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,Heucks Retreat ,79,
3,Micheal Guest,US House,3,Republican ,Lincoln,Heucks Retreat ,373,
3,Matthew Holland,US House,3,Reform,Lincoln,Heucks Retreat ,5,
3,David Baria,US Senate ,,Democrat ,Lincoln,High School,255,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,High School,31,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,High School,3,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,High School,1,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,High School,0,
3,Mike Espy,US Senate Special,,,Lincoln,High School,275,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,High School,20,
3,Chris McDaniel,US Senate Special,,,Lincoln,High School,8,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,High School,270,
3,Micheal Guest,US House,3,Republican ,Lincoln,High School,30,
3,Matthew Holland,US House,3,Reform,Lincoln,High School,2,
3,David Baria,US Senate ,,Democrat ,Lincoln,Johnson,48,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Johnson,286,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Johnson,9,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,Johnson,1,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Johnson,2,
3,Mike Espy,US Senate Special,,,Lincoln,Johnson,49,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Johnson,244,
3,Chris McDaniel,US Senate Special,,,Lincoln,Johnson,66,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,Johnson,52,
3,Micheal Guest,US House,3,Republican ,Lincoln,Johnson,305,
3,Matthew Holland,US House,3,Reform,Lincoln,Johnson,4,
3,David Baria,US Senate ,,Democrat ,Lincoln,Johnson Grove,59,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Johnson Grove,357,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Johnson Grove,4,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,Johnson Grove,3,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Johnson Grove,4,
3,Mike Espy,US Senate Special,,,Lincoln,Johnson Grove,70,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Johnson Grove,300,
3,Chris McDaniel,US Senate Special,,,Lincoln,Johnson Grove,61,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,Johnson Grove,74,
3,Micheal Guest,US House,3,Republican ,Lincoln,Johnson Grove,350,
3,Matthew Holland,US House,3,Reform,Lincoln,Johnson Grove,5,
3,David Baria,US Senate ,,Democrat ,Lincoln,Lipsey,168,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Lipsey,285,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Lipsey,5,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,Lipsey,1,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Lipsey,5,
3,Mike Espy,US Senate Special,,,Lincoln,Lipsey,177,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Lipsey,261,
3,Chris McDaniel,US Senate Special,,,Lincoln,Lipsey,31,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,Lipsey,182,
3,Micheal Guest,US House,3,Republican ,Lincoln,Lipsey,288,
3,Matthew Holland,US House,3,Reform,Lincoln,Lipsey,3,
3,David Baria,US Senate ,,Democrat ,Lincoln,Little Bahala,57,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Little Bahala,104,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Little Bahala,1,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,Little Bahala,0,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Little Bahala,2,
3,Mike Espy,US Senate Special,,,Lincoln,Little Bahala,66,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Little Bahala,95,
3,Chris McDaniel,US Senate Special,,,Lincoln,Little Bahala,14,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,Little Bahala,64,
3,Micheal Guest,US House,3,Republican ,Lincoln,Little Bahala,107,
3,Matthew Holland,US House,3,Reform,Lincoln,Little Bahala,1,
3,David Baria,US Senate ,,Democrat ,Lincoln,Loyd Star,111,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Loyd Star,579,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Loyd Star,6,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,Loyd Star,2,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Loyd Star,2,
3,Mike Espy,US Senate Special,,,Lincoln,Loyd Star,122,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Loyd Star,534,
3,Chris McDaniel,US Senate Special,,,Lincoln,Loyd Star,69,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,Loyd Star,116,
3,Micheal Guest,US House,3,Republican ,Lincoln,Loyd Star,586,
3,Matthew Holland,US House,3,Reform,Lincoln,Loyd Star,7,
3,David Baria,US Senate ,,Democrat ,Lincoln,Montgomery,85,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Montgomery,169,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Montgomery,4,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,Montgomery,2,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Montgomery,5,
3,Mike Espy,US Senate Special,,,Lincoln,Montgomery,85,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Montgomery,155,
3,Chris McDaniel,US Senate Special,,,Lincoln,Montgomery,15,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,Montgomery,92,
3,Micheal Guest,US House,3,Republican ,Lincoln,Montgomery,167,
3,Matthew Holland,US House,3,Reform,Lincoln,Montgomery,3,
3,David Baria,US Senate ,,Democrat ,Lincoln,New Sight,217,
3,Roger F. Wicker,US Senate ,,Republican ,Lincoln,New Sight,484,
3,Danny Bedwell,US Senate ,,Libertarian,Lincoln,New Sight,14,
3,Shawn O'Hara,US Senate ,,Reform,Lincoln,New Sight,3,
3,Tobey Bernard Bartee,US Senate Special,,,Lincoln,New Sight,5,
3,Mike Espy,US Senate Special,,,Lincoln,New Sight,214,
3,Cindy Hyde-Smith,US Senate Special,,,Lincoln,New Sight,473,
3,Chris McDaniel,US Senate Special,,,Lincoln,New Sight,49,
3,Michael Ted Evans,US House,3,Democrat ,Lincoln,New Sight,228,
3,Micheal Guest,US House,3,Republican ,Lincoln,New Sight,496,
3,Matthew Holland,US House,3,Reform,Lincoln,New Sight,5,
4,David Baria,US Senate ,,Democrat ,Lincoln,Norfield,37,
4,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Norfield,129,
4,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Norfield,4,
4,Shawn O'Hara,US Senate ,,Reform,Lincoln,Norfield,1,
4,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Norfield,1,
4,Mike Espy,US Senate Special,,,Lincoln,Norfield,40,
4,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Norfield,114,
4,Chris McDaniel,US Senate Special,,,Lincoln,Norfield,22,
4,Michael Ted Evans,US House,3,Democrat ,Lincoln,Norfield,42,
4,Micheal Guest,US House,3,Republican ,Lincoln,Norfield,126,
4,Matthew Holland,US House,3,Reform,Lincoln,Norfield,3,
4,David Baria,US Senate ,,Democrat ,Lincoln,Old Brook,99,
4,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Old Brook,580,
4,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Old Brook,3,
4,Shawn O'Hara,US Senate ,,Reform,Lincoln,Old Brook,0,
4,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Old Brook,3,
4,Mike Espy,US Senate Special,,,Lincoln,Old Brook,94,
4,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Old Brook,564,
