page,candidate,office,district,party,county,precinct,votes,winner
5,Richard Warren Boyanton,States Senate,,R,Lauderdale,564-Vimville,28,
5,Roger F. Wicker,States Senate,,R,Lauderdale,564-Vimville,174,
5,Richard Warren Boyanton,States Senate,,R,Lauderdale,565-Whynot,19,
5,Roger F. Wicker,States Senate,,R,Lauderdale,565-Whynot,110,
5,Richard Warren Boyanton,States Senate,,R,Lauderdale,567-Zero,30,
5,Roger F. Wicker,States Senate,,R,Lauderdale,567-Zero,165,
5,Richard Warren Boyanton,States Senate,,R,Lauderdale,583-Mt Gilead,28,
5,Roger F. Wicker,States Senate,,R,Lauderdale,583-Mt Gilead,105,
5,Richard Warren Boyanton,States Senate,,R,Lauderdale,TOTAL ,847,
5,Roger F. Wicker,States Senate,,R,Lauderdale,TOTAL ,4982,
2,Sally Doty,US House,03,R,Lauderdale,101-One,42,
2,Morgan Dunn,US House,03,R,Lauderdale,101-One,54,
2,Michael Guest,US House,03,R,Lauderdale,101-One,144,
2,Whit Hughes,US House,03,R,Lauderdale,101-One,141,
2,Perry Parker,US House,03,R,Lauderdale,101-One,54,
2,Katherine 'Bitzi' Tate,US House,03,R,Lauderdale,101-One,1,
2,Sally Doty,US House,03,R,Lauderdale,105-Five,13,
2,Morgan Dunn,US House,03,R,Lauderdale,105-Five,49,
2,Michael Guest,US House,03,R,Lauderdale,105-Five,114,
2,Whit Hughes,US House,03,R,Lauderdale,105-Five,155,
2,Perry Parker,US House,03,R,Lauderdale,105-Five,66,
2,Katherine 'Bitzi' Tate,US House,03,R,Lauderdale,105-Five,2,
2,Sally Doty,US House,03,R,Lauderdale,126-Andrews Chapel,21,
2,Morgan Dunn,US House,03,R,Lauderdale,126-Andrews Chapel,26,
2,Michael Guest,US House,03,R,Lauderdale,126-Andrews Chapel,47,
2,Whit Hughes,US House,03,R,Lauderdale,126-Andrews Chapel,43,
2,Perry Parker,US House,03,R,Lauderdale,126-Andrews Chapel,33,
2,Katherine 'Bitzi' Tate,US House,03,R,Lauderdale,126-Andrews Chapel,0,
2,Sally Doty,US House,03,R,Lauderdale,127-Bailey,39,
2,Morgan Dunn,US House,03,R,Lauderdale,127-Bailey,35,
2,Michael Guest,US House,03,R,Lauderdale,127-Bailey,99,
2,Whit Hughes,US House,03,R,Lauderdale,127-Bailey,88,
2,Perry Parker,US House,03,R,Lauderdale,127-Bailey,52,
2,Katherine 'Bitzi' Tate,US House,03,R,Lauderdale,127-Bailey,3,
2,Sally Doty,US House,03,R,Lauderdale,146-New Lauderdale,42,
2,Morgan Dunn,US House,03,R,Lauderdale,146-New Lauderdale,35,
2,Michael Guest,US House,03,R,Lauderdale,146-New Lauderdale,122,
2,Whit Hughes,US House,03,R,Lauderdale,146-New Lauderdale,92,
2,Perry Parker,US House,03,R,Lauderdale,146-New Lauderdale,48,
2,Katherine 'Bitzi' Tate,US House,03,R,Lauderdale,146-New Lauderdale,5,
2,Sally Doty,US House,03,R,Lauderdale,153-Prospect,9,
2,Morgan Dunn,US House,03,R,Lauderdale,153-Prospect,17,
2,Michael Guest,US House,03,R,Lauderdale,153-Prospect,34,
2,Whit Hughes,US House,03,R,Lauderdale,153-Prospect,48,
2,Perry Parker,US House,03,R,Lauderdale,153-Prospect,21,
2,Katherine 'Bitzi' Tate,US House,03,R,Lauderdale,153-Prospect,1,
2,Sally Doty,US House,03,R,Lauderdale,175-West Dalewood,3,
