candidate,office,district,party,county,precinct,votes
Michael Guest,U.S. House,3,REP,Neshoba,Arlington,170
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Arlington,7
Michael Guest,U.S. House,3,REP,Neshoba,Burnside,90
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Burnside,128
Michael Guest,U.S. House,3,REP,Neshoba,Center,171
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Center,20
Michael Guest,U.S. House,3,REP,Neshoba,County Line,217
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,County Line,9
Michael Guest,U.S. House,3,REP,Neshoba,Deemer,151
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Deemer,11
Michael Guest,U.S. House,3,REP,Neshoba,Dixon,168
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Dixon,70
Michael Guest,U.S. House,3,REP,Neshoba,East Neshoba,67
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,East Neshoba,129
Michael Guest,U.S. House,3,REP,Neshoba,Fairview,54
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Fairview,14
Michael Guest,U.S. House,3,REP,Neshoba,Forestdale,202
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Forestdale,43
Michael Guest,U.S. House,3,REP,Neshoba,Fork,139
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Fork,2
Michael Guest,U.S. House,3,REP,Neshoba,Fusky,163
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Fusky,3
Michael Guest,U.S. House,3,REP,Neshoba,Hays,151
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Hays,22
Michael Guest,U.S. House,3,REP,Neshoba,Herbert,153
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Herbert,4
Michael Guest,U.S. House,3,REP,Neshoba,Hope,144
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Hope,23
Michael Guest,U.S. House,3,REP,Neshoba,House,273
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,House,14
Michael Guest,U.S. House,3,REP,Neshoba,Mcdonald,478
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Mcdonald,32
Michael Guest,U.S. House,3,REP,Neshoba,North Bend,262
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,North Bend,8
Michael Guest,U.S. House,3,REP,Neshoba,Northeast Philadelphia,666
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Northeast Philadelphia,80
Michael Guest,U.S. House,3,REP,Neshoba,Northwest Philadelphia,136
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Northwest Philadelphia,399
Michael Guest,U.S. House,3,REP,Neshoba,Pearl River,65
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Pearl River,62
Michael Guest,U.S. House,3,REP,Neshoba,Southeast Philadelphia,509
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Southeast Philadelphia,63
Michael Guest,U.S. House,3,REP,Neshoba,Tucker-District Three,285
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Tucker-District Three,20
Michael Guest,U.S. House,3,REP,Neshoba,Zephyrhill,118
Shuwaski A. Young,U.S. House,3,DEM,Neshoba,Zephyrhill,28
