county,precinct,office,district,candidate,party,votes
Simpson,Bowie,U.S. House,3,Michael Guest,REP,126
Simpson,Braxton,U.S. House,3,Michael Guest,REP,357
Simpson,Bridgeport,U.S. House,3,Michael Guest,REP,108
Simpson,D'Lo,U.S. House,3,Michael Guest,REP,183
Simpson,Dry Creek,U.S. House,3,Michael Guest,REP,363
Simpson,Fork Church,U.S. House,3,Michael Guest,REP,73
Simpson,Harrisville,U.S. House,3,Michael Guest,REP,380
Simpson,Jupiter,U.S. House,3,Michael Guest,REP,197
Simpson,Magee 1,U.S. House,3,Michael Guest,REP,57
Simpson,Magee 2,U.S. House,3,Michael Guest,REP,497
Simpson,Magee 4 South,U.S. House,3,Michael Guest,REP,695
Simpson,Mendenhall 1,U.S. House,3,Michael Guest,REP,61
Simpson,Mendenhall 3,U.S. House,3,Michael Guest,REP,475
Simpson,Merit,U.S. House,3,Michael Guest,REP,372
Simpson,New Hope,U.S. House,3,Michael Guest,REP,82
Simpson,Oak Grove,U.S. House,3,Michael Guest,REP,206
Simpson,Pearl,U.S. House,3,Michael Guest,REP,256
Simpson,Pinola,U.S. House,3,Michael Guest,REP,157
Simpson,Saratoga,U.S. House,3,Michael Guest,REP,85
Simpson,Shivers,U.S. House,3,Michael Guest,REP,135
Simpson,Sumrall,U.S. House,3,Michael Guest,REP,241
Simpson,Weathersby,U.S. House,3,Michael Guest,REP,111
Simpson,Bowie,U.S. House,3,Shuwaski A. Young,DEM,54
Simpson,Braxton,U.S. House,3,Shuwaski A. Young,DEM,25
Simpson,Bridgeport,U.S. House,3,Shuwaski A. Young,DEM,104
Simpson,D'Lo,U.S. House,3,Shuwaski A. Young,DEM,19
Simpson,Dry Creek,U.S. House,3,Shuwaski A. Young,DEM,38
Simpson,Fork Church,U.S. House,3,Shuwaski A. Young,DEM,103
Simpson,Harrisville,U.S. House,3,Shuwaski A. Young,DEM,40
Simpson,Jupiter,U.S. House,3,Shuwaski A. Young,DEM,181
Simpson,Magee 1,U.S. House,3,Shuwaski A. Young,DEM,206
Simpson,Magee 2,U.S. House,3,Shuwaski A. Young,DEM,109
Simpson,Magee 4 South,U.S. House,3,Shuwaski A. Young,DEM,98
Simpson,Mendenhall 1,U.S. House,3,Shuwaski A. Young,DEM,70
Simpson,Mendenhall 3,U.S. House,3,Shuwaski A. Young,DEM,64
Simpson,Merit,U.S. House,3,Shuwaski A. Young,DEM,24
Simpson,New Hope,U.S. House,3,Shuwaski A. Young,DEM,62
Simpson,Oak Grove,U.S. House,3,Shuwaski A. Young,DEM,159
Simpson,Pearl,U.S. House,3,Shuwaski A. Young,DEM,53
Simpson,Pinola,U.S. House,3,Shuwaski A. Young,DEM,36
Simpson,Saratoga,U.S. House,3,Shuwaski A. Young,DEM,73
Simpson,Shivers,U.S. House,3,Shuwaski A. Young,DEM,66
Simpson,Sumrall,U.S. House,3,Shuwaski A. Young,DEM,36
Simpson,Weathersby,U.S. House,3,Shuwaski A. Young,DEM,277
