candidate,office,district,party,county,votes
Haley Barbour ,Governor,,Rep,Adams,4487
John A. Eaves ,Governor,,Dem,Adams,3698
Haley Barbour ,Governor,,Rep,Alcorn,5363
John A. Eaves ,Governor,,Dem,Alcorn,3695
Haley Barbour ,Governor,,Rep,Amite,2589
John A. Eaves ,Governor,,Dem,Amite,2339
Haley Barbour ,Governor,,Rep,Attala,3148
John A. Eaves ,Governor,,Dem,Attala,2315
Haley Barbour ,Governor,,Rep,Benton,1103
John A. Eaves ,Governor,,Dem,Benton,1190
Haley Barbour ,Governor,,Rep,Bolivar,3620
John A. Eaves ,Governor,,Dem,Bolivar,5010
Haley Barbour ,Governor,,Rep,Calhoun,2732
John A. Eaves ,Governor,,Dem,Calhoun,2457
Haley Barbour ,Governor,,Rep,Carroll,2550
John A. Eaves ,Governor,,Dem,Carroll,1489
Haley Barbour ,Governor,,Rep,Chickasaw,2340
John A. Eaves ,Governor,,Dem,Chickasaw,3085
Haley Barbour ,Governor,,Rep,Choctaw,1788
John A. Eaves ,Governor,,Dem,Choctaw,1207
Haley Barbour ,Governor,,Rep,Claiborne,823
John A. Eaves ,Governor,,Dem,Claiborne,2556
Haley Barbour ,Governor,,Rep,Clarke,3149
John A. Eaves ,Governor,,Dem,Clarke,2508
Haley Barbour ,Governor,,Rep,Clay,3427
John A. Eaves ,Governor,,Dem,Clay,4085
Haley Barbour ,Governor,,Rep,Coahoma,2359
John A. Eaves ,Governor,,Dem,Coahoma,2466
Haley Barbour ,Governor,,Rep,Copiah,3862
John A. Eaves ,Governor,,Dem,Copiah,3917
Haley Barbour ,Governor,,Rep,Covington,3651
John A. Eaves ,Governor,,Dem,Covington,3398
Haley Barbour ,Governor,,Rep,Desoto,14206
John A. Eaves ,Governor,,Dem,Desoto,4337
Haley Barbour ,Governor,,Rep,Forrest,9839
John A. Eaves ,Governor,,Dem,Forrest,6232
Haley Barbour ,Governor,,Rep,Franklin,1472
John A. Eaves ,Governor,,Dem,Franklin,1157
Haley Barbour ,Governor,,Rep,George,3093
John A. Eaves ,Governor,,Dem,George,2195
Haley Barbour ,Governor,,Rep,Greene,1907
