page,candidate,office,district,party,county,precinct,votes
1,"John Arthur Eaves, Jr.",Governor,,D,Amite,New Zion - BS 2,69
1,Haley Barbour,Governor,,R,Amite,New Zion - BS 2,71
1,"James R 'Jamie' Franks, Jr",Lieutenant Governor,,D,Amite,New Zion - BS 2,51
1,Phil Bryant,Lieutenant Governor,,R,Amite,New Zion - BS 2,86
1,Robert H. 'Rob' Smith,Secretary of State,,D,Amite,New Zion - BS 2,56
1,Delbert Hosemann,Secretary of State,,R,Amite,New Zion - BS 2,82
2,Jim Hood,Attorney General,,D,Amite,New Zion - BS 2,70
2,Al Hopkins,Attorney General,,R,Amite,New Zion - BS 2,67
2,Mike Sumrall,State Auditor,,D,Amite,New Zion - BS 2,55
2,Stacey E Pickering,State Auditor,,R,Amite,New Zion - BS 2,84
2,Shawn O'Hara,State Treasurer,,D,Amite,New Zion - BS 2,53
2,Tate Reeves,State Treasurer,,R,Amite,New Zion - BS 2,85
3,Rickey L. Cole,Commissioner of Agriculture & Commerce,,D,Amite,New Zion - BS 2,40
3,Lester Spell,Commissioner of Agriculture & Commerce,,R,Amite,New Zion - BS 2,92
3,Paul Leslie Riley,Commissioner of Agriculture & Commerce,,Cns,Amite,New Zion - BS 2,7
5,Bob M Dearing,State Senate,37,D,Amite,New Zion - BS 2,131
5,Kelvin E Butler,State Senate,38,D,Amite,New Zion - BS 2,
5,Bobby Moak,State House,53,D,Amite,New Zion - BS 2,97
5,Carl Mason,State House,53,Cns,Amite,New Zion - BS 2,41
6,Angela Cockerham,State House,96,D,Amite,New Zion - BS 2,
6,Sam C. V. Mims,State House,97,R,Amite,New Zion - BS 2,
1,"John Arthur Eaves, Jr.",Governor,,D,Amite,New Zion - BS 16,73
1,Haley Barbour,Governor,,R,Amite,New Zion - BS 16,77
1,"James R 'Jamie' Franks, Jr",Lieutenant Governor,,D,Amite,New Zion - BS 16,68
1,Phil Bryant,Lieutenant Governor,,R,Amite,New Zion - BS 16,78
1,Robert H. 'Rob' Smith,Secretary of State,,D,Amite,New Zion - BS 16,80
1,Delbert Hosemann,Secretary of State,,R,Amite,New Zion - BS 16,64
2,Jim Hood,Attorney General,,D,Amite,New Zion - BS 16,90
2,Al Hopkins,Attorney General,,R,Amite,New Zion - BS 16,57
2,Mike Sumrall,State Auditor,,D,Amite,New Zion - BS 16,69
2,Stacey E Pickering,State Auditor,,R,Amite,New Zion - BS 16,75
2,Shawn O'Hara,State Treasurer,,D,Amite,New Zion - BS 16,72
2,Tate Reeves,State Treasurer,,R,Amite,New Zion - BS 16,72
3,Rickey L. Cole,Commissioner of Agriculture & Commerce,,D,Amite,New Zion - BS 16,76
3,Lester Spell,Commissioner of Agriculture & Commerce,,R,Amite,New Zion - BS 16,65
3,Paul Leslie Riley,Commissioner of Agriculture & Commerce,,Cns,Amite,New Zion - BS 16,6
5,Bob M Dearing,State Senate,37,D,Amite,New Zion - BS 16,124
5,Kelvin E Butler,State Senate,38,D,Amite,New Zion - BS 16,
5,Bobby Moak,State House,53,D,Amite,New Zion - BS 16,
5,Carl Mason,State House,53,Cns,Amite,New Zion - BS 16,
6,Angela Cockerham,State House,96,D,Amite,New Zion - BS 16,
6,Sam C. V. Mims,State House,97,R,Amite,New Zion - BS 16,102
1,"John Arthur Eaves, Jr.",Governor,,D,Amite,Berwick - BS 5,130
1,Haley Barbour,Governor,,R,Amite,Berwick - BS 5,30
1,"James R 'Jamie' Franks, Jr",Lieutenant Governor,,D,Amite,Berwick - BS 5,133
1,Phil Bryant,Lieutenant Governor,,R,Amite,Berwick - BS 5,25
1,Robert H. 'Rob' Smith,Secretary of State,,D,Amite,Berwick - BS 5,135
1,Delbert Hosemann,Secretary of State,,R,Amite,Berwick - BS 5,22
2,Jim Hood,Attorney General,,D,Amite,Berwick - BS 5,133
2,Al Hopkins,Attorney General,,R,Amite,Berwick - BS 5,24
2,Mike Sumrall,State Auditor,,D,Amite,Berwick - BS 5,136
2,Stacey E Pickering,State Auditor,,R,Amite,Berwick - BS 5,22
2,Shawn O'Hara,State Treasurer,,D,Amite,Berwick - BS 5,138
2,Tate Reeves,State Treasurer,,R,Amite,Berwick - BS 5,20
3,Rickey L. Cole,Commissioner of Agriculture & Commerce,,D,Amite,Berwick - BS 5,126
3,Lester Spell,Commissioner of Agriculture & Commerce,,R,Amite,Berwick - BS 5,28
3,Paul Leslie Riley,Commissioner of Agriculture & Commerce,,Cns,Amite,Berwick - BS 5,3
5,Bob M Dearing,State Senate,37,D,Amite,Berwick - BS 5,
5,Kelvin E Butler,State Senate,38,D,Amite,Berwick - BS 5,110
5,Bobby Moak,State House,53,D,Amite,Berwick - BS 5,
5,Carl Mason,State House,53,Cns,Amite,Berwick - BS 5,
6,Angela Cockerham,State House,96,D,Amite,Berwick - BS 5,108
6,Sam C. V. Mims,State House,97,R,Amite,Berwick - BS 5,
1,"John Arthur Eaves, Jr.",Governor,,D,Amite,Berwick - BS 12,8
1,Haley Barbour,Governor,,R,Amite,Berwick - BS 12,1
1,"James R 'Jamie' Franks, Jr",Lieutenant Governor,,D,Amite,Berwick - BS 12,7
1,Phil Bryant,Lieutenant Governor,,R,Amite,Berwick - BS 12,2
1,Robert H. 'Rob' Smith,Secretary of State,,D,Amite,Berwick - BS 12,7
1,Delbert Hosemann,Secretary of State,,R,Amite,Berwick - BS 12,2
2,Jim Hood,Attorney General,,D,Amite,Berwick - BS 12,9
2,Al Hopkins,Attorney General,,R,Amite,Berwick - BS 12,0
2,Mike Sumrall,State Auditor,,D,Amite,Berwick - BS 12,7
2,Stacey E Pickering,State Auditor,,R,Amite,Berwick - BS 12,2
2,Shawn O'Hara,State Treasurer,,D,Amite,Berwick - BS 12,8
2,Tate Reeves,State Treasurer,,R,Amite,Berwick - BS 12,1
3,Rickey L. Cole,Commissioner of Agriculture & Commerce,,D,Amite,Berwick - BS 12,7
3,Lester Spell,Commissioner of Agriculture & Commerce,,R,Amite,Berwick - BS 12,2
3,Paul Leslie Riley,Commissioner of Agriculture & Commerce,,Cns,Amite,Berwick - BS 12,0
5,Bob M Dearing,State Senate,37,D,Amite,Berwick - BS 12,6
5,Kelvin E Butler,State Senate,38,D,Amite,Berwick - BS 12,
5,Bobby Moak,State House,53,D,Amite,Berwick - BS 12,
5,Carl Mason,State House,53,Cns,Amite,Berwick - BS 12,
6,Angela Cockerham,State House,96,D,Amite,Berwick - BS 12,
6,Sam C. V. Mims,State House,97,R,Amite,Berwick - BS 12,3
1,"John Arthur Eaves, Jr.",Governor,,D,Amite,Crosby - BS 7,44
1,Haley Barbour,Governor,,R,Amite,Crosby - BS 7,24
1,"James R 'Jamie' Franks, Jr",Lieutenant Governor,,D,Amite,Crosby - BS 7,42
1,Phil Bryant,Lieutenant Governor,,R,Amite,Crosby - BS 7,23
1,Robert H. 'Rob' Smith,Secretary of State,,D,Amite,Crosby - BS 7,44
1,Delbert Hosemann,Secretary of State,,R,Amite,Crosby - BS 7,21
2,Jim Hood,Attorney General,,D,Amite,Crosby - BS 7,51
2,Al Hopkins,Attorney General,,R,Amite,Crosby - BS 7,14
2,Mike Sumrall,State Auditor,,D,Amite,Crosby - BS 7,45
2,Stacey E Pickering,State Auditor,,R,Amite,Crosby - BS 7,19
2,Shawn O'Hara,State Treasurer,,D,Amite,Crosby - BS 7,47
2,Tate Reeves,State Treasurer,,R,Amite,Crosby - BS 7,18
3,Rickey L. Cole,Commissioner of Agriculture & Commerce,,D,Amite,Crosby - BS 7,42
3,Lester Spell,Commissioner of Agriculture & Commerce,,R,Amite,Crosby - BS 7,20
3,Paul Leslie Riley,Commissioner of Agriculture & Commerce,,Cns,Amite,Crosby - BS 7,3
5,Bob M Dearing,State Senate,37,D,Amite,Crosby - BS 7,61
5,Kelvin E Butler,State Senate,38,D,Amite,Crosby - BS 7,
5,Bobby Moak,State House,53,D,Amite,Crosby - BS 7,
5,Carl Mason,State House,53,Cns,Amite,Crosby - BS 7,
6,Angela Cockerham,State House,96,D,Amite,Crosby - BS 7,58
6,Sam C. V. Mims,State House,97,R,Amite,Crosby - BS 7,
1,"John Arthur Eaves, Jr.",Governor,,D,Amite,Crosby - BS 15,20
1,Haley Barbour,Governor,,R,Amite,Crosby - BS 15,35
1,"James R 'Jamie' Franks, Jr",Lieutenant Governor,,D,Amite,Crosby - BS 15,17
1,Phil Bryant,Lieutenant Governor,,R,Amite,Crosby - BS 15,36
1,Robert H. 'Rob' Smith,Secretary of State,,D,Amite,Crosby - BS 15,17
1,Delbert Hosemann,Secretary of State,,R,Amite,Crosby - BS 15,35
2,Jim Hood,Attorney General,,D,Amite,Crosby - BS 15,26
2,Al Hopkins,Attorney General,,R,Amite,Crosby - BS 15,28
2,Mike Sumrall,State Auditor,,D,Amite,Crosby - BS 15,18
2,Stacey E Pickering,State Auditor,,R,Amite,Crosby - BS 15,35
2,Shawn O'Hara,State Treasurer,,D,Amite,Crosby - BS 15,23
2,Tate Reeves,State Treasurer,,R,Amite,Crosby - BS 15,31
3,Rickey L. Cole,Commissioner of Agriculture & Commerce,,D,Amite,Crosby - BS 15,14
3,Lester Spell,Commissioner of Agriculture & Commerce,,R,Amite,Crosby - BS 15,35
3,Paul Leslie Riley,Commissioner of Agriculture & Commerce,,Cns,Amite,Crosby - BS 15,4
5,Bob M Dearing,State Senate,37,D,Amite,Crosby - BS 15,38
5,Kelvin E Butler,State Senate,38,D,Amite,Crosby - BS 15,
5,Bobby Moak,State House,53,D,Amite,Crosby - BS 15,
5,Carl Mason,State House,53,Cns,Amite,Crosby - BS 15,
6,Angela Cockerham,State House,96,D,Amite,Crosby - BS 15,
6,Sam C. V. Mims,State House,97,R,Amite,Crosby - BS 15,45
1,"John Arthur Eaves, Jr.",Governor,,D,Amite,East Fork BS 10,89
1,Haley Barbour,Governor,,R,Amite,East Fork BS 10,98
1,"James R 'Jamie' Franks, Jr",Lieutenant Governor,,D,Amite,East Fork BS 10,85
1,Phil Bryant,Lieutenant Governor,,R,Amite,East Fork BS 10,104
1,Robert H. 'Rob' Smith,Secretary of State,,D,Amite,East Fork BS 10,98
1,Delbert Hosemann,Secretary of State,,R,Amite,East Fork BS 10,92
2,Jim Hood,Attorney General,,D,Amite,East Fork BS 10,120
2,Al Hopkins,Attorney General,,R,Amite,East Fork BS 10,68
