candidate,office,district,party,county,precinct,votes
Robert Foster,Governor ,,R,Lafayette,Abbeville,21
Tate Reeves,Governor ,,R,Lafayette,Abbeville,104
Bill Waller Jr.,Governor ,,R,Lafayette,Abbeville,99
Delbert Hosemann,Lieutenant Governor,,R,Lafayette,Abbeville,148
Shane Quick,Lieutenant Governor,,R,Lafayette,Abbeville,43
Sam Britton,Secretary of State,,R,Lafayette,Abbeville,68
Michael Watson,Secretary of State,,R,Lafayette,Abbeville,127
Mark Baker,Attorney General,,R,Lafayette,Abbeville,82
Lynn Fitch,Attorney General,,R,Lafayette,Abbeville,61
Andy Taggart,Attorney General,,R,Lafayette,Abbeville,62
Shad White,State Auditor,,R,Lafayette,Abbeville,183
Eugene S. 'Buck' Clarke,State Treasurer,,R,Lafayette,Abbeville,66
David McRae,State Treasurer,,R,Lafayette,Abbeville,130
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lafayette,Abbeville,190
Mike Chaney,Commissioner of Insurance,,R,Lafayette,Abbeville,198
Nicole Akins Boyd,State Senate,9,R,Lafayette,Abbeville,187
Trey Lamar,State House,8,R,Lafayette,Abbeville,x
Robert 'Robby' Gray Jr.,State House,10,R,Lafayette,Abbeville,x
Kelly Morris,State House,10,R,Lafayette,Abbeville,x
Brady Williamson,State House,10,R,Lafayette,Abbeville,x
Clay Deweese,State House,12,R,Lafayette,Abbeville,x
Steve Massengill,State House,13,R,Lafayette,Abbeville,147
Charles Jim Beckett,State House,23,R,Lafayette,Abbeville,x
Michael Brown,Governor ,,D,Lafayette,Abbeville,57
William Bond Compton Jr.,Governor ,,D,Lafayette,Abbeville,6
Jim Hood,Governor ,,D,Lafayette,Abbeville,259
Robert J. Ray,Governor ,,D,Lafayette,Abbeville,6
Robert Shuler Smith,Governor ,,D,Lafayette,Abbeville,16
Gregory Wash,Governor ,,D,Lafayette,Abbeville,5
Velesha P Williams,Governor ,,D,Lafayette,Abbeville,29
Albert Wilson,Governor ,,D,Lafayette,Abbeville,3
Jay Hughes,Lieutenant Governor,,D,Lafayette,Abbeville,351
Johnny DuPree,Secretary of State,,D,Lafayette,Abbeville,242
Maryra Hodges Hunt,Secretary of State,,D,Lafayette,Abbeville,99
Jennifer Riley Collins,Attorney General,,D,Lafayette,Abbeville,321
