page,candidate,office,district,party,county,precinct,votes
2,Jim Hood,Governor,,D,Issaquena ,Addie Voting Precinct,87
2,Tate Reeves,Governor,,R,Issaquena ,Addie Voting Precinct,42
2,Bob Hickingbottom,Governor,,C,Issaquena ,Addie Voting Precinct,0
2,David R Singletary,Governor,,IND,Issaquena ,Addie Voting Precinct,0
2,Delbert Hosemann,Lieutenant Governor,,R,Issaquena ,Addie Voting Precinct,55
2,Jay Hughes,Lieutenant Governor,,D,Issaquena ,Addie Voting Precinct,62
2,Johnny DuPree,Secretary of State,,D,Issaquena ,Addie Voting Precinct,71
2,Michael Watson,Secretary of State,,R,Issaquena ,Addie Voting Precinct,42
2,Jennifer Riley Collins,Attorney General,,D,Issaquena ,Addie Voting Precinct,77
2,Lynn Fitch,Attorney General,,R,Issaquena ,Addie Voting Precinct,49
2,Shad White,State Auditor,,R,Issaquena ,Addie Voting Precinct,76
3,Addie Lee Green,State Treasurer,,D,Issaquena ,Addie Voting Precinct,65
3,David McRae,State Treasurer,,R,Issaquena ,Addie Voting Precinct,53
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Issaquena ,Addie Voting Precinct,63
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Issaquena ,Addie Voting Precinct,52
4,Briggs Hopson,State Senate,23,R,Issaquena ,Addie Voting Precinct,82
4,John W Hines Sr.,State House,50,D,Issaquena ,Addie Voting Precinct,85
4,Kevin Ford ,State House,54,R,Issaquena ,Addie Voting Precinct,X
2,Jim Hood,Governor,,D,Issaquena ,Grace Voting Precinct,35
2,Tate Reeves,Governor,,R,Issaquena ,Grace Voting Precinct,51
2,Bob Hickingbottom,Governor,,C,Issaquena ,Grace Voting Precinct,0
2,David R Singletary,Governor,,IND,Issaquena ,Grace Voting Precinct,0
2,Delbert Hosemann,Lieutenant Governor,,R,Issaquena ,Grace Voting Precinct,65
2,Jay Hughes,Lieutenant Governor,,D,Issaquena ,Grace Voting Precinct,16
2,Johnny DuPree,Secretary of State,,D,Issaquena ,Grace Voting Precinct,27
2,Michael Watson,Secretary of State,,R,Issaquena ,Grace Voting Precinct,52
2,Jennifer Riley Collins,Attorney General,,D,Issaquena ,Grace Voting Precinct,25
2,Lynn Fitch,Attorney General,,R,Issaquena ,Grace Voting Precinct,63
2,Shad White,State Auditor,,R,Issaquena ,Grace Voting Precinct,66
3,Addie Lee Green,State Treasurer,,D,Issaquena ,Grace Voting Precinct,16
3,David McRae,State Treasurer,,R,Issaquena ,Grace Voting Precinct,66
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Issaquena ,Grace Voting Precinct,22
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Issaquena ,Grace Voting Precinct,58
4,Briggs Hopson,State Senate,23,R,Issaquena ,Grace Voting Precinct,67
4,John W Hines Sr.,State House,50,D,Issaquena ,Grace Voting Precinct,61
4,Kevin Ford ,State House,54,R,Issaquena ,Grace Voting Precinct,0
2,Jim Hood,Governor,,D,Issaquena ,Mayersville Courthouse,96
2,Tate Reeves,Governor,,R,Issaquena ,Mayersville Courthouse,8
2,Bob Hickingbottom,Governor,,C,Issaquena ,Mayersville Courthouse,2
2,David R Singletary,Governor,,IND,Issaquena ,Mayersville Courthouse,2
2,Delbert Hosemann,Lieutenant Governor,,R,Issaquena ,Mayersville Courthouse,20
2,Jay Hughes,Lieutenant Governor,,D,Issaquena ,Mayersville Courthouse,76
2,Johnny DuPree,Secretary of State,,D,Issaquena ,Mayersville Courthouse,85
2,Michael Watson,Secretary of State,,R,Issaquena ,Mayersville Courthouse,11
2,Jennifer Riley Collins,Attorney General,,D,Issaquena ,Mayersville Courthouse,94
2,Lynn Fitch,Attorney General,,R,Issaquena ,Mayersville Courthouse,9
2,Shad White,State Auditor,,R,Issaquena ,Mayersville Courthouse,40
3,Addie Lee Green,State Treasurer,,D,Issaquena ,Mayersville Courthouse,81
3,David McRae,State Treasurer,,R,Issaquena ,Mayersville Courthouse,12
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Issaquena ,Mayersville Courthouse,83
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Issaquena ,Mayersville Courthouse,12
4,Briggs Hopson,State Senate,23,R,Issaquena ,Mayersville Courthouse,43
