county,office,district,candidate,party,votes
Hancock,Governor,,Tate Reeves,Republican,8358
Harrison,Governor,,Tate Reeves,Republican,25836
Hinds,Governor,,Tate Reeves,Republican,15604
Holmes,Governor,,Tate Reeves,Republican,1037
Humphreys,Governor,,Tate Reeves,Republican,745
Issaquena,Governor,,Tate Reeves,Republican,202
Itawamba,Governor,,Tate Reeves,Republican,5788
Jackson,Governor,,Tate Reeves,Republican,20888
Jasper,Governor,,Tate Reeves,Republican,2591
Jeff Davis,Governor,,Tate Reeves,Republican,1676
Jefferson,Governor,,Tate Reeves,Republican,369
Jones,Governor,,Tate Reeves,Republican,13784
Kemper,Governor,,Tate Reeves,Republican,1439
Lafayette,Governor,,Tate Reeves,Republican,7122
Lamar,Governor,,Tate Reeves,Republican,11817
Lauderdale,Governor,,Tate Reeves,Republican,11829
Lawrence,Governor,,Tate Reeves,Republican,2985
Leake,Governor,,Tate Reeves,Republican,3638
Lee,Governor,,Tate Reeves,Republican,14672
Leflore,Governor,,Tate Reeves,Republican,1946
Lincoln,Governor,,Tate Reeves,Republican,6957
Lowndes,Governor,,Tate Reeves,Republican,8838
Madison,Governor,,Tate Reeves,Republican,19008
Marion,Governor,,Tate Reeves,Republican,5545
Marshall,Governor,,Tate Reeves,Republican,4197
Monroe,Governor,,Tate Reeves,Republican,7054
Montgomery,Governor,,Tate Reeves,Republican,2004
Neshoba,Governor,,Tate Reeves,Republican,5219
Newton,Governor,,Tate Reeves,Republican,4574
Noxubee,Governor,,Tate Reeves,Republican,833
Oktibbeha,Governor,,Tate Reeves,Republican,5425
Panola,Governor,,Tate Reeves,Republican,5817
Pearl River,Governor,,Tate Reeves,Republican,10083
Perry,Governor,,Tate Reeves,Republican,2975
Pike,Governor,,Tate Reeves,Republican,5937
Pontotoc,Governor,,Tate Reeves,Republican,6599
Prentiss,Governor,,Tate Reeves,Republican,5030
Quitman,Governor,,Tate Reeves,Republican,813
Rankin,Governor,,Tate Reeves,Republican,29861
Scott,Governor,,Tate Reeves,Republican,4058
Sharkey,Governor,,Tate Reeves,Republican,449
Simpson,Governor,,Tate Reeves,Republican,5454
Smith,Governor,,Tate Reeves,Republican,4250
Stone,Governor,,Tate Reeves,Republican,3628
Sunflower,Governor,,Tate Reeves,Republican,1839
Tallahatchie,Governor,,Tate Reeves,Republican,1803
Tate,Governor,,Tate Reeves,Republican,4969
Tippah,Governor,,Tate Reeves,Republican,5205
Tishomingo,Governor,,Tate Reeves,Republican,5113
Tunica,Governor,,Tate Reeves,Republican,637
Union,Governor,,Tate Reeves,Republican,6307
Walthall,Governor,,Tate Reeves,Republican,2657
Warren,Governor,,Tate Reeves,Republican,6709
Washington,Governor,,Tate Reeves,Republican,3336
Wayne,Governor,,Tate Reeves,Republican,4061
Webster,Governor,,Tate Reeves,Republican,2993
Wilkinson,Governor,,Tate Reeves,Republican,1057
Winston,Governor,,Tate Reeves,Republican,3342
Yalobusha,Governor,,Tate Reeves,Republican,2587
Yazoo,Governor,,Tate Reeves,Republican,3519
Adams,Governor,,Bob Hickingbottom,Constitution,55
Alcorn,Governor,,Bob Hickingbottom,Constitution,38
Amite,Governor,,Bob Hickingbottom,Constitution,28
Attala,Governor,,Bob Hickingbottom,Constitution,11
Benton,Governor,,Bob Hickingbottom,Constitution,8
Bolivar,Governor,,Bob Hickingbottom,Constitution,31
Calhoun,Governor,,Bob Hickingbottom,Constitution,16
Carroll,Governor,,Bob Hickingbottom,Constitution,11
Chickasaw,Governor,,Bob Hickingbottom,Constitution,7
Choctaw,Governor,,Bob Hickingbottom,Constitution,17
Claiborne,Governor,,Bob Hickingbottom,Constitution,9
Clarke,Governor,,Bob Hickingbottom,Constitution,28
Clay,Governor,,Bob Hickingbottom,Constitution,16
Coahoma,Governor,,Bob Hickingbottom,Constitution,12
Copiah,Governor,,Bob Hickingbottom,Constitution,17
Covington,Governor,,Bob Hickingbottom,Constitution,23
DeSoto,Governor,,Bob Hickingbottom,Constitution,120
Forrest,Governor,,Bob Hickingbottom,Constitution,65
Franklin,Governor,,Bob Hickingbottom,Constitution,36
George,Governor,,Bob Hickingbottom,Constitution,14
Greene,Governor,,Bob Hickingbottom,Constitution,24
Grenada,Governor,,Bob Hickingbottom,Constitution,20
Hancock,Governor,,Bob Hickingbottom,Constitution,22
Harrison,Governor,,Bob Hickingbottom,Constitution,109
Hinds,Governor,,Bob Hickingbottom,Constitution,168
Holmes,Governor,,Bob Hickingbottom,Constitution,16
Humphreys,Governor,,Bob Hickingbottom,Constitution,5
Issaquena,Governor,,Bob Hickingbottom,Constitution,3
Itawamba,Governor,,Bob Hickingbottom,Constitution,34
Jackson,Governor,,Bob Hickingbottom,Constitution,66
Jasper,Governor,,Bob Hickingbottom,Constitution,9
Jeff Davis,Governor,,Bob Hickingbottom,Constitution,13
Jefferson,Governor,,Bob Hickingbottom,Constitution,15
Jones,Governor,,Bob Hickingbottom,Constitution,74
Kemper,Governor,,Bob Hickingbottom,Constitution,16
Lafayette,Governor,,Bob Hickingbottom,Constitution,56
Lamar,Governor,,Bob Hickingbottom,Constitution,43
Lauderdale,Governor,,Bob Hickingbottom,Constitution,57
Lawrence,Governor,,Bob Hickingbottom,Constitution,25
Leake,Governor,,Bob Hickingbottom,Constitution,10
Lee,Governor,,Bob Hickingbottom,Constitution,44
Leflore,Governor,,Bob Hickingbottom,Constitution,59
Lincoln,Governor,,Bob Hickingbottom,Constitution,22
Lowndes,Governor,,Bob Hickingbottom,Constitution,37
Madison,Governor,,Bob Hickingbottom,Constitution,76
Marion,Governor,,Bob Hickingbottom,Constitution,31
Marshall,Governor,,Bob Hickingbottom,Constitution,23
Monroe,Governor,,Bob Hickingbottom,Constitution,29
Montgomery,Governor,,Bob Hickingbottom,Constitution,16
Neshoba,Governor,,Bob Hickingbottom,Constitution,20
Newton,Governor,,Bob Hickingbottom,Constitution,37
Noxubee,Governor,,Bob Hickingbottom,Constitution,4
Oktibbeha,Governor,,Bob Hickingbottom,Constitution,37
Panola,Governor,,Bob Hickingbottom,Constitution,40
Pearl River,Governor,,Bob Hickingbottom,Constitution,51
Perry,Governor,,Bob Hickingbottom,Constitution,12
Pike,Governor,,Bob Hickingbottom,Constitution,25
Pontotoc,Governor,,Bob Hickingbottom,Constitution,18
Prentiss,Governor,,Bob Hickingbottom,Constitution,24
Quitman,Governor,,Bob Hickingbottom,Constitution,22
Rankin,Governor,,Bob Hickingbottom,Constitution,118
Scott,Governor,,Bob Hickingbottom,Constitution,18
Sharkey,Governor,,Bob Hickingbottom,Constitution,4
Simpson,Governor,,Bob Hickingbottom,Constitution,29
Smith,Governor,,Bob Hickingbottom,Constitution,22
Stone,Governor,,Bob Hickingbottom,Constitution,24
Sunflower,Governor,,Bob Hickingbottom,Constitution,18
Tallahatchie,Governor,,Bob Hickingbottom,Constitution,26
Tate,Governor,,Bob Hickingbottom,Constitution,46
Tippah,Governor,,Bob Hickingbottom,Constitution,27
Tishomingo,Governor,,Bob Hickingbottom,Constitution,24
Tunica,Governor,,Bob Hickingbottom,Constitution,18
Union,Governor,,Bob Hickingbottom,Constitution,33
Walthall,Governor,,Bob Hickingbottom,Constitution,7
Warren,Governor,,Bob Hickingbottom,Constitution,37
Washington,Governor,,Bob Hickingbottom,Constitution,32
Wayne,Governor,,Bob Hickingbottom,Constitution,20
Webster,Governor,,Bob Hickingbottom,Constitution,16
Wilkinson,Governor,,Bob Hickingbottom,Constitution,76
Winston,Governor,,Bob Hickingbottom,Constitution,13
Yalobusha,Governor,,Bob Hickingbottom,Constitution,21
Yazoo,Governor,,Bob Hickingbottom,Constitution,22
Adams,Governor,,David R. Singletary,Independent,71
Alcorn,Governor,,David R. Singletary,Independent,118
Amite,Governor,,David R. Singletary,Independent,38
Attala,Governor,,David R. Singletary,Independent,38
Benton,Governor,,David R. Singletary,Independent,27
Bolivar,Governor,,David R. Singletary,Independent,73
Calhoun,Governor,,David R. Singletary,Independent,42
Carroll,Governor,,David R. Singletary,Independent,28
Chickasaw,Governor,,David R. Singletary,Independent,33
Choctaw,Governor,,David R. Singletary,Independent,26
Claiborne,Governor,,David R. Singletary,Independent,30
Clarke,Governor,,David R. Singletary,Independent,89
Clay,Governor,,David R. Singletary,Independent,29
Coahoma,Governor,,David R. Singletary,Independent,39
Copiah,Governor,,David R. Singletary,Independent,51
Covington,Governor,,David R. Singletary,Independent,90
DeSoto,Governor,,David R. Singletary,Independent,382
Forrest,Governor,,David R. Singletary,Independent,261
Franklin,Governor,,David R. Singletary,Independent,41
George,Governor,,David R. Singletary,Independent,40
Greene,Governor,,David R. Singletary,Independent,58
Grenada,Governor,,David R. Singletary,Independent,72
Hancock,Governor,,David R. Singletary,Independent,132
Harrison,Governor,,David R. Singletary,Independent,591
Hinds,Governor,,David R. Singletary,Independent,481
Holmes,Governor,,David R. Singletary,Independent,40
Humphreys,Governor,,David R. Singletary,Independent,12
Issaquena,Governor,,David R. Singletary,Independent,5
Itawamba,Governor,,David R. Singletary,Independent,56
Jackson,Governor,,David R. Singletary,Independent,402
Jasper,Governor,,David R. Singletary,Independent,57
Jeff Davis,Governor,,David R. Singletary,Independent,23
Jefferson,Governor,,David R. Singletary,Independent,22
Jones,Governor,,David R. Singletary,Independent,276
Kemper,Governor,,David R. Singletary,Independent,30
Lafayette,Governor,,David R. Singletary,Independent,151
Lamar,Governor,,David R. Singletary,Independent,206
Lauderdale,Governor,,David R. Singletary,Independent,299
Lawrence,Governor,,David R. Singletary,Independent,55
Leake,Governor,,David R. Singletary,Independent,58
Lee,Governor,,David R. Singletary,Independent,163
Leflore,Governor,,David R. Singletary,Independent,155
Lincoln,Governor,,David R. Singletary,Independent,99
Lowndes,Governor,,David R. Singletary,Independent,106
Madison,Governor,,David R. Singletary,Independent,271
Marion,Governor,,David R. Singletary,Independent,76
Marshall,Governor,,David R. Singletary,Independent,47
Monroe,Governor,,David R. Singletary,Independent,73
Montgomery,Governor,,David R. Singletary,Independent,45
Neshoba,Governor,,David R. Singletary,Independent,73
Newton,Governor,,David R. Singletary,Independent,122
Noxubee,Governor,,David R. Singletary,Independent,14
Oktibbeha,Governor,,David R. Singletary,Independent,87
Panola,Governor,,David R. Singletary,Independent,124
Pearl River,Governor,,David R. Singletary,Independent,161
Perry,Governor,,David R. Singletary,Independent,52
Pike,Governor,,David R. Singletary,Independent,105
Pontotoc,Governor,,David R. Singletary,Independent,84
Prentiss,Governor,,David R. Singletary,Independent,96
Quitman,Governor,,David R. Singletary,Independent,32
Rankin,Governor,,David R. Singletary,Independent,542
Scott,Governor,,David R. Singletary,Independent,52
Sharkey,Governor,,David R. Singletary,Independent,8
Simpson,Governor,,David R. Singletary,Independent,124
Smith,Governor,,David R. Singletary,Independent,74
Stone,Governor,,David R. Singletary,Independent,65
Sunflower,Governor,,David R. Singletary,Independent,36
Tallahatchie,Governor,,David R. Singletary,Independent,68
Tate,Governor,,David R. Singletary,Independent,97
Tippah,Governor,,David R. Singletary,Independent,115
Tishomingo,Governor,,David R. Singletary,Independent,87
Tunica,Governor,,David R. Singletary,Independent,30
Union,Governor,,David R. Singletary,Independent,83
Walthall,Governor,,David R. Singletary,Independent,38
Warren,Governor,,David R. Singletary,Independent,139
Washington,Governor,,David R. Singletary,Independent,90
Wayne,Governor,,David R. Singletary,Independent,80
Webster,Governor,,David R. Singletary,Independent,22
Wilkinson,Governor,,David R. Singletary,Independent,49
Winston,Governor,,David R. Singletary,Independent,38
Yalobusha,Governor,,David R. Singletary,Independent,63
Yazoo,Governor,,David R. Singletary,Independent,65
Adams,Lieutenant Governor,,Delbert Hosemann,Republican,4670
Alcorn,Lieutenant Governor,,Delbert Hosemann,Republican,8982
Amite,Lieutenant Governor,,Delbert Hosemann,Republican,3114
Attala,Lieutenant Governor,,Delbert Hosemann,Republican,3640
Benton,Lieutenant Governor,,Delbert Hosemann,Republican,1637
Bolivar,Lieutenant Governor,,Delbert Hosemann,Republican,3742
Calhoun,Lieutenant Governor,,Delbert Hosemann,Republican,3430
Carroll,Lieutenant Governor,,Delbert Hosemann,Republican,2875
Chickasaw,Lieutenant Governor,,Delbert Hosemann,Republican,3299
Choctaw,Lieutenant Governor,,Delbert Hosemann,Republican,2160
Claiborne,Lieutenant Governor,,Delbert Hosemann,Republican,852
Clarke,Lieutenant Governor,,Delbert Hosemann,Republican,4197
Clay,Lieutenant Governor,,Delbert Hosemann,Republican,3246
Coahoma,Lieutenant Governor,,Delbert Hosemann,Republican,1637
Copiah,Lieutenant Governor,,Delbert Hosemann,Republican,4857
Covington,Lieutenant Governor,,Delbert Hosemann,Republican,4567
DeSoto,Lieutenant Governor,,Delbert Hosemann,Republican,24721
Forrest,Lieutenant Governor,,Delbert Hosemann,Republican,12619
Franklin,Lieutenant Governor,,Delbert Hosemann,Republican,2296
George,Lieutenant Governor,,Delbert Hosemann,Republican,4611
Greene,Lieutenant Governor,,Delbert Hosemann,Republican,3010
Grenada,Lieutenant Governor,,Delbert Hosemann,Republican,3975
Hancock,Lieutenant Governor,,Delbert Hosemann,Republican,8858
Harrison,Lieutenant Governor,,Delbert Hosemann,Republican,28526
Hinds,Lieutenant Governor,,Delbert Hosemann,Republican,24308
Holmes,Lieutenant Governor,,Delbert Hosemann,Republican,1651
Humphreys,Lieutenant Governor,,Delbert Hosemann,Republican,971
Issaquena,Lieutenant Governor,,Delbert Hosemann,Republican,257
Itawamba,Lieutenant Governor,,Delbert Hosemann,Republican,6477
Jackson,Lieutenant Governor,,Delbert Hosemann,Republican,22464
Jasper,Lieutenant Governor,,Delbert Hosemann,Republican,2896
Jeff Davis,Lieutenant Governor,,Delbert Hosemann,Republican,2030
Jefferson,Lieutenant Governor,,Delbert Hosemann,Republican,712
Jones,Lieutenant Governor,,Delbert Hosemann,Republican,15225
Kemper,Lieutenant Governor,,Delbert Hosemann,Republican,1616
Lafayette,Lieutenant Governor,,Delbert Hosemann,Republican,7318
Lamar,Lieutenant Governor,,Delbert Hosemann,Republican,13152
Lauderdale,Lieutenant Governor,,Delbert Hosemann,Republican,13177
Lawrence,Lieutenant Governor,,Delbert Hosemann,Republican,3374
Leake,Lieutenant Governor,,Delbert Hosemann,Republican,4113
Lee,Lieutenant Governor,,Delbert Hosemann,Republican,16959
Leflore,Lieutenant Governor,,Delbert Hosemann,Republican,2653
Lincoln,Lieutenant Governor,,Delbert Hosemann,Republican,7994
Lowndes,Lieutenant Governor,,Delbert Hosemann,Republican,9780
Madison,Lieutenant Governor,,Delbert Hosemann,Republican,24073
Marion,Lieutenant Governor,,Delbert Hosemann,Republican,5941
Marshall,Lieutenant Governor,,Delbert Hosemann,Republican,4453
Monroe,Lieutenant Governor,,Delbert Hosemann,Republican,7972
Montgomery,Lieutenant Governor,,Delbert Hosemann,Republican,2185
Neshoba,Lieutenant Governor,,Delbert Hosemann,Republican,5515
Newton,Lieutenant Governor,,Delbert Hosemann,Republican,5083
Noxubee,Lieutenant Governor,,Delbert Hosemann,Republican,997
Oktibbeha,Lieutenant Governor,,Delbert Hosemann,Republican,6399
Panola,Lieutenant Governor,,Delbert Hosemann,Republican,6053
Pearl River,Lieutenant Governor,,Delbert Hosemann,Republican,10516
Perry,Lieutenant Governor,,Delbert Hosemann,Republican,3270
Pike,Lieutenant Governor,,Delbert Hosemann,Republican,6705
Pontotoc,Lieutenant Governor,,Delbert Hosemann,Republican,7306
Prentiss,Lieutenant Governor,,Delbert Hosemann,Republican,5857
Quitman,Lieutenant Governor,,Delbert Hosemann,Republican,946
Rankin,Lieutenant Governor,,Delbert Hosemann,Republican,35138
Scott,Lieutenant Governor,,Delbert Hosemann,Republican,4619
Sharkey,Lieutenant Governor,,Delbert Hosemann,Republican,650
Simpson,Lieutenant Governor,,Delbert Hosemann,Republican,6218
Smith,Lieutenant Governor,,Delbert Hosemann,Republican,4856
Stone,Lieutenant Governor,,Delbert Hosemann,Republican,3870
Sunflower,Lieutenant Governor,,Delbert Hosemann,Republican,2122
Tallahatchie,Lieutenant Governor,,Delbert Hosemann,Republican,2013
Tate,Lieutenant Governor,,Delbert Hosemann,Republican,5411
Tippah,Lieutenant Governor,,Delbert Hosemann,Republican,5645
Tishomingo,Lieutenant Governor,,Delbert Hosemann,Republican,5596
Tunica,Lieutenant Governor,,Delbert Hosemann,Republican,716
Union,Lieutenant Governor,,Delbert Hosemann,Republican,7181
Walthall,Lieutenant Governor,,Delbert Hosemann,Republican,2928
Warren,Lieutenant Governor,,Delbert Hosemann,Republican,8441
Washington,Lieutenant Governor,,Delbert Hosemann,Republican,4047
Wayne,Lieutenant Governor,,Delbert Hosemann,Republican,4465
Webster,Lieutenant Governor,,Delbert Hosemann,Republican,3223
Wilkinson,Lieutenant Governor,,Delbert Hosemann,Republican,1169
Winston,Lieutenant Governor,,Delbert Hosemann,Republican,3664
Yalobusha,Lieutenant Governor,,Delbert Hosemann,Republican,2753
Yazoo,Lieutenant Governor,,Delbert Hosemann,Republican,4113
Adams,Lieutenant Governor,,Jay Hughes,Democrat,5755
Alcorn,Lieutenant Governor,,Jay Hughes,Democrat,2269
Amite,Lieutenant Governor,,Jay Hughes,Democrat,2029
Attala,Lieutenant Governor,,Jay Hughes,Democrat,2172
Benton,Lieutenant Governor,,Jay Hughes,Democrat,873
Bolivar,Lieutenant Governor,,Jay Hughes,Democrat,5957
Calhoun,Lieutenant Governor,,Jay Hughes,Democrat,1598
Carroll,Lieutenant Governor,,Jay Hughes,Democrat,1205
Chickasaw,Lieutenant Governor,,Jay Hughes,Democrat,3011
Choctaw,Lieutenant Governor,,Jay Hughes,Democrat,852
Claiborne,Lieutenant Governor,,Jay Hughes,Democrat,2738
Clarke,Lieutenant Governor,,Jay Hughes,Democrat,2092
Clay,Lieutenant Governor,,Jay Hughes,Democrat,3912
Coahoma,Lieutenant Governor,,Jay Hughes,Democrat,3034
Copiah,Lieutenant Governor,,Jay Hughes,Democrat,4666
Covington,Lieutenant Governor,,Jay Hughes,Democrat,2534
DeSoto,Lieutenant Governor,,Jay Hughes,Democrat,12139
Forrest,Lieutenant Governor,,Jay Hughes,Democrat,8070
Franklin,Lieutenant Governor,,Jay Hughes,Democrat,1292
George,Lieutenant Governor,,Jay Hughes,Democrat,778
Greene,Lieutenant Governor,,Jay Hughes,Democrat,1002
Grenada,Lieutenant Governor,,Jay Hughes,Democrat,3232
Hancock,Lieutenant Governor,,Jay Hughes,Democrat,2797
Harrison,Lieutenant Governor,,Jay Hughes,Democrat,15826
Hinds,Lieutenant Governor,,Jay Hughes,Democrat,47750
Holmes,Lieutenant Governor,,Jay Hughes,Democrat,4528
Humphreys,Lieutenant Governor,,Jay Hughes,Democrat,1846
Issaquena,Lieutenant Governor,,Jay Hughes,Democrat,211
Itawamba,Lieutenant Governor,,Jay Hughes,Democrat,961
Jackson,Lieutenant Governor,,Jay Hughes,Democrat,9975
Jasper,Lieutenant Governor,,Jay Hughes,Democrat,2990
Jeff Davis,Lieutenant Governor,,Jay Hughes,Democrat,2511
Jefferson,Lieutenant Governor,,Jay Hughes,Democrat,2516
Jones,Lieutenant Governor,,Jay Hughes,Democrat,5817
Kemper,Lieutenant Governor,,Jay Hughes,Democrat,2375
Lafayette,Lieutenant Governor,,Jay Hughes,Democrat,8122
Lamar,Lieutenant Governor,,Jay Hughes,Democrat,4232
Lauderdale,Lieutenant Governor,,Jay Hughes,Democrat,7904
Lawrence,Lieutenant Governor,,Jay Hughes,Democrat,1694
Leake,Lieutenant Governor,,Jay Hughes,Democrat,2709
Lee,Lieutenant Governor,,Jay Hughes,Democrat,8117
Leflore,Lieutenant Governor,,Jay Hughes,Democrat,4820
Lincoln,Lieutenant Governor,,Jay Hughes,Democrat,3317
Lowndes,Lieutenant Governor,,Jay Hughes,Democrat,7796
Madison,Lieutenant Governor,,Jay Hughes,Democrat,14983
Marion,Lieutenant Governor,,Jay Hughes,Democrat,2858
Marshall,Lieutenant Governor,,Jay Hughes,Democrat,4320
Monroe,Lieutenant Governor,,Jay Hughes,Democrat,4148
Montgomery,Lieutenant Governor,,Jay Hughes,Democrat,1592
Neshoba,Lieutenant Governor,,Jay Hughes,Democrat,2596
Newton,Lieutenant Governor,,Jay Hughes,Democrat,2286
Noxubee,Lieutenant Governor,,Jay Hughes,Democrat,2453
Oktibbeha,Lieutenant Governor,,Jay Hughes,Democrat,6155
Panola,Lieutenant Governor,,Jay Hughes,Democrat,5741
Pearl River,Lieutenant Governor,,Jay Hughes,Democrat,2589
Perry,Lieutenant Governor,,Jay Hughes,Democrat,1020
Pike,Lieutenant Governor,,Jay Hughes,Democrat,5917
Pontotoc,Lieutenant Governor,,Jay Hughes,Democrat,2240
Prentiss,Lieutenant Governor,,Jay Hughes,Democrat,1800
Quitman,Lieutenant Governor,,Jay Hughes,Democrat,1648
Rankin,Lieutenant Governor,,Jay Hughes,Democrat,11718
Scott,Lieutenant Governor,,Jay Hughes,Democrat,3157
Sharkey,Lieutenant Governor,,Jay Hughes,Democrat,917
Simpson,Lieutenant Governor,,Jay Hughes,Democrat,3047
Smith,Lieutenant Governor,,Jay Hughes,Democrat,1592
Stone,Lieutenant Governor,,Jay Hughes,Democrat,1311
Sunflower,Lieutenant Governor,,Jay Hughes,Democrat,4113
Tallahatchie,Lieutenant Governor,,Jay Hughes,Democrat,2598
Tate,Lieutenant Governor,,Jay Hughes,Democrat,2690
Tippah,Lieutenant Governor,,Jay Hughes,Democrat,1454
Tishomingo,Lieutenant Governor,,Jay Hughes,Democrat,1191
Tunica,Lieutenant Governor,,Jay Hughes,Democrat,1474
Union,Lieutenant Governor,,Jay Hughes,Democrat,1850
Walthall,Lieutenant Governor,,Jay Hughes,Democrat,1795
Warren,Lieutenant Governor,,Jay Hughes,Democrat,5742
Washington,Lieutenant Governor,,Jay Hughes,Democrat,7708
Wayne,Lieutenant Governor,,Jay Hughes,Democrat,2782
Webster,Lieutenant Governor,,Jay Hughes,Democrat,839
Wilkinson,Lieutenant Governor,,Jay Hughes,Democrat,2220
Winston,Lieutenant Governor,,Jay Hughes,Democrat,2872
Yalobusha,Lieutenant Governor,,Jay Hughes,Democrat,2378
Yazoo,Lieutenant Governor,,Jay Hughes,Democrat,3809
Adams,Secretary Of State,,Johnny DuPree,Democrat,5934
Alcorn,Secretary Of State,,Johnny DuPree,Democrat,2394
Amite,Secretary Of State,,Johnny DuPree,Democrat,2050
Attala,Secretary Of State,,Johnny DuPree,Democrat,2305
Benton,Secretary Of State,,Johnny DuPree,Democrat,898
Bolivar,Secretary Of State,,Johnny DuPree,Democrat,6084
