county,office,district,candidate,party,votes
Adams,Governor,,Jim Hood,Democrat,6387
Alcorn,Governor,,Jim Hood,Democrat,2649
Amite,Governor,,Jim Hood,Democrat,2252
Attala,Governor,,Jim Hood,Democrat,2713
Benton,Governor,,Jim Hood,Democrat,1025
Bolivar,Governor,,Jim Hood,Democrat,6761
Calhoun,Governor,,Jim Hood,Democrat,2029
Carroll,Governor,,Jim Hood,Democrat,1465
Chickasaw,Governor,,Jim Hood,Democrat,3987
Choctaw,Governor,,Jim Hood,Democrat,1020
Claiborne,Governor,,Jim Hood,Democrat,3178
Clarke,Governor,,Jim Hood,Democrat,2451
Clay,Governor,,Jim Hood,Democrat,4452
Coahoma,Governor,,Jim Hood,Democrat,3375
Copiah,Governor,,Jim Hood,Democrat,5643
Covington,Governor,,Jim Hood,Democrat,3169
DeSoto,Governor,,Jim Hood,Democrat,13976
Forrest,Governor,,Jim Hood,Democrat,10223
Franklin,Governor,,Jim Hood,Democrat,1502
George,Governor,,Jim Hood,Democrat,951
Greene,Governor,,Jim Hood,Democrat,1039
Grenada,Governor,,Jim Hood,Democrat,3556
Hancock,Governor,,Jim Hood,Democrat,3278
Harrison,Governor,,Jim Hood,Democrat,17955
Hinds,Governor,,Jim Hood,Democrat,56131
Holmes,Governor,,Jim Hood,Democrat,5347
Humphreys,Governor,,Jim Hood,Democrat,2152
Issaquena,Governor,,Jim Hood,Democrat,293
Itawamba,Governor,,Jim Hood,Democrat,1591
Jackson,Governor,,Jim Hood,Democrat,11433
Jasper,Governor,,Jim Hood,Democrat,3348
Jeff Davis,Governor,,Jim Hood,Democrat,2946
Jefferson,Governor,,Jim Hood,Democrat,2928
Jones,Governor,,Jim Hood,Democrat,7123
Kemper,Governor,,Jim Hood,Democrat,2655
Lafayette,Governor,,Jim Hood,Democrat,8162
Lamar,Governor,,Jim Hood,Democrat,5359
Lauderdale,Governor,,Jim Hood,Democrat,8976
Lawrence,Governor,,Jim Hood,Democrat,2088
Leake,Governor,,Jim Hood,Democrat,3218
Lee,Governor,,Jim Hood,Democrat,10293
Leflore,Governor,,Jim Hood,Democrat,5625
Lincoln,Governor,,Jim Hood,Democrat,4342
Lowndes,Governor,,Jim Hood,Democrat,8822
Madison,Governor,,Jim Hood,Democrat,19670
Marion,Governor,,Jim Hood,Democrat,3215
Marshall,Governor,,Jim Hood,Democrat,4850
Monroe,Governor,,Jim Hood,Democrat,5149
Montgomery,Governor,,Jim Hood,Democrat,1821
Neshoba,Governor,,Jim Hood,Democrat,2770
Newton,Governor,,Jim Hood,Democrat,2618
Noxubee,Governor,,Jim Hood,Democrat,2727
Oktibbeha,Governor,,Jim Hood,Democrat,7195
Panola,Governor,,Jim Hood,Democrat,5976
Pearl River,Governor,,Jim Hood,Democrat,2856
Perry,Governor,,Jim Hood,Democrat,1327
Pike,Governor,,Jim Hood,Democrat,6772
Pontotoc,Governor,,Jim Hood,Democrat,2941
Prentiss,Governor,,Jim Hood,Democrat,2608
Quitman,Governor,,Jim Hood,Democrat,1937
Rankin,Governor,,Jim Hood,Democrat,16133
Scott,Governor,,Jim Hood,Democrat,3745
Sharkey,Governor,,Jim Hood,Democrat,1178
Simpson,Governor,,Jim Hood,Democrat,3784
Smith,Governor,,Jim Hood,Democrat,2158
Stone,Governor,,Jim Hood,Democrat,1530
Sunflower,Governor,,Jim Hood,Democrat,4505
Tallahatchie,Governor,,Jim Hood,Democrat,2929
Tate,Governor,,Jim Hood,Democrat,3215
Tippah,Governor,,Jim Hood,Democrat,1867
Tishomingo,Governor,,Jim Hood,Democrat,1654
Tunica,Governor,,Jim Hood,Democrat,1645
Union,Governor,,Jim Hood,Democrat,2649
Walthall,Governor,,Jim Hood,Democrat,2128
Warren,Governor,,Jim Hood,Democrat,7438
Washington,Governor,,Jim Hood,Democrat,8667
Wayne,Governor,,Jim Hood,Democrat,3211
Webster,Governor,,Jim Hood,Democrat,1077
Wilkinson,Governor,,Jim Hood,Democrat,2314
Winston,Governor,,Jim Hood,Democrat,3151
Yalobusha,Governor,,Jim Hood,Democrat,2486
Yazoo,Governor,,Jim Hood,Democrat,4604
Adams,Governor,,Tate Reeves,Republican,4132
Alcorn,Governor,,Tate Reeves,Republican,8629
Amite,Governor,,Tate Reeves,Republican,2914
Attala,Governor,,Tate Reeves,Republican,3154
Benton,Governor,,Tate Reeves,Republican,1526
Bolivar,Governor,,Tate Reeves,Republican,3224
Calhoun,Governor,,Tate Reeves,Republican,3009
Carroll,Governor,,Tate Reeves,Republican,2653
Chickasaw,Governor,,Tate Reeves,Republican,2437
Choctaw,Governor,,Tate Reeves,Republican,1977
Claiborne,Governor,,Tate Reeves,Republican,472
Clarke,Governor,,Tate Reeves,Republican,3840
Clay,Governor,,Tate Reeves,Republican,2801
Coahoma,Governor,,Tate Reeves,Republican,1427
Copiah,Governor,,Tate Reeves,Republican,4041
Covington,Governor,,Tate Reeves,Republican,3952
DeSoto,Governor,,Tate Reeves,Republican,22565
Forrest,Governor,,Tate Reeves,Republican,10380
Franklin,Governor,,Tate Reeves,Republican,2091
George,Governor,,Tate Reeves,Republican,4452
Greene,Governor,,Tate Reeves,Republican,2967
Grenada,Governor,,Tate Reeves,Republican,3685
