page,candidate,office,district,party,county,precinct,votes
2,Jim Hood,Governor,,D,Sharkey,Anguilla Fifth District,131
2,Tate Reeves,Governor,,R,Sharkey,Anguilla Fifth District,26
2,Bob Hickingbottom,Governor,,C,Sharkey,Anguilla Fifth District,0
2,David R Singletary,Governor,,IND,Sharkey,Anguilla Fifth District,0
2,Delbert Hosemann,Lieutenant Governor,,R,Sharkey,Anguilla Fifth District,36
2,Jay Hughes,Lieutenant Governor,,D,Sharkey,Anguilla Fifth District,114
2,Johnny DuPree,Secretary of State,,D,Sharkey,Anguilla Fifth District,117
2,Michael Watson,Secretary of State,,R,Sharkey,Anguilla Fifth District,34
2,Jennifer Riley Collins,Attorney General,,D,Sharkey,Anguilla Fifth District,121
2,Lynn Fitch,Attorney General,,R,Sharkey,Anguilla Fifth District,31
2,Shad White,State Auditor,,R,Sharkey,Anguilla Fifth District,67
3,Addie Lee Green,State Treasurer,,D,Sharkey,Anguilla Fifth District,113
3,David McRae,State Treasurer,,R,Sharkey,Anguilla Fifth District,34
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Sharkey,Anguilla Fifth District,115
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Sharkey,Anguilla Fifth District,33
4,Hayes Dent,State Senate,22,R,Sharkey,Anguilla Fifth District,29
4,Joseph C Thomas Sr.,State Senate,22,D,Sharkey,Anguilla Fifth District,120
4,Rufus E Straughter ,State House,51,D,Sharkey,Anguilla Fifth District,122
2,Jim Hood,Governor,,D,Sharkey,Anguilla Fourth District,157
2,Tate Reeves,Governor,,R,Sharkey,Anguilla Fourth District,78
2,Bob Hickingbottom,Governor,,C,Sharkey,Anguilla Fourth District,0
2,David R Singletary,Governor,,IND,Sharkey,Anguilla Fourth District,0
2,Delbert Hosemann,Lieutenant Governor,,R,Sharkey,Anguilla Fourth District,108
2,Jay Hughes,Lieutenant Governor,,D,Sharkey,Anguilla Fourth District,112
2,Johnny DuPree,Secretary of State,,D,Sharkey,Anguilla Fourth District,120
2,Michael Watson,Secretary of State,,R,Sharkey,Anguilla Fourth District,98
2,Jennifer Riley Collins,Attorney General,,D,Sharkey,Anguilla Fourth District,130
2,Lynn Fitch,Attorney General,,R,Sharkey,Anguilla Fourth District,96
2,Shad White,State Auditor,,R,Sharkey,Anguilla Fourth District,144
3,Addie Lee Green,State Treasurer,,D,Sharkey,Anguilla Fourth District,118
3,David McRae,State Treasurer,,R,Sharkey,Anguilla Fourth District,104
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Sharkey,Anguilla Fourth District,119
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Sharkey,Anguilla Fourth District,102
4,Hayes Dent,State Senate,22,R,Sharkey,Anguilla Fourth District,99
4,Joseph C Thomas Sr.,State Senate,22,D,Sharkey,Anguilla Fourth District,121
4,Rufus E Straughter ,State House,51,D,Sharkey,Anguilla Fourth District,171
2,Jim Hood,Governor,,D,Sharkey,Cary Second District,189
2,Tate Reeves,Governor,,R,Sharkey,Cary Second District,41
2,Bob Hickingbottom,Governor,,C,Sharkey,Cary Second District,0
2,David R Singletary,Governor,,IND,Sharkey,Cary Second District,1
2,Delbert Hosemann,Lieutenant Governor,,R,Sharkey,Cary Second District,82
2,Jay Hughes,Lieutenant Governor,,D,Sharkey,Cary Second District,145
2,Johnny DuPree,Secretary of State,,D,Sharkey,Cary Second District,162
2,Michael Watson,Secretary of State,,R,Sharkey,Cary Second District,63
2,Jennifer Riley Collins,Attorney General,,D,Sharkey,Cary Second District,162
2,Lynn Fitch,Attorney General,,R,Sharkey,Cary Second District,64
2,Shad White,State Auditor,,R,Sharkey,Cary Second District,128
3,Addie Lee Green,State Treasurer,,D,Sharkey,Cary Second District,154
3,David McRae,State Treasurer,,R,Sharkey,Cary Second District,69
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Sharkey,Cary Second District,159
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Sharkey,Cary Second District,65
4,Hayes Dent,State Senate,22,R,Sharkey,Cary Second District,71
4,Joseph C Thomas Sr.,State Senate,22,D,Sharkey,Cary Second District,150
4,Rufus E Straughter ,State House,51,D,Sharkey,Cary Second District,198
2,Jim Hood,Governor,,D,Sharkey,Delta City Fifth District,91
2,Tate Reeves,Governor,,R,Sharkey,Delta City Fifth District,62
2,Bob Hickingbottom,Governor,,C,Sharkey,Delta City Fifth District,1
2,David R Singletary,Governor,,IND,Sharkey,Delta City Fifth District,1
2,Delbert Hosemann,Lieutenant Governor,,R,Sharkey,Delta City Fifth District,72
2,Jay Hughes,Lieutenant Governor,,D,Sharkey,Delta City Fifth District,74
2,Johnny DuPree,Secretary of State,,D,Sharkey,Delta City Fifth District,77
2,Michael Watson,Secretary of State,,R,Sharkey,Delta City Fifth District,70
2,Jennifer Riley Collins,Attorney General,,D,Sharkey,Delta City Fifth District,78
2,Lynn Fitch,Attorney General,,R,Sharkey,Delta City Fifth District,72
2,Shad White,State Auditor,,R,Sharkey,Delta City Fifth District,81
3,Addie Lee Green,State Treasurer,,D,Sharkey,Delta City Fifth District,72
3,David McRae,State Treasurer,,R,Sharkey,Delta City Fifth District,73
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Sharkey,Delta City Fifth District,76
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Sharkey,Delta City Fifth District,70
4,Hayes Dent,State Senate,22,R,Sharkey,Delta City Fifth District,70
4,Joseph C Thomas Sr.,State Senate,22,D,Sharkey,Delta City Fifth District,79
4,Rufus E Straughter ,State House,51,D,Sharkey,Delta City Fifth District,100
2,Jim Hood,Governor,,D,Sharkey,Rolling Fork First District,219
2,Tate Reeves,Governor,,R,Sharkey,Rolling Fork First District,160
2,Bob Hickingbottom,Governor,,C,Sharkey,Rolling Fork First District,2
2,David R Singletary,Governor,,IND,Sharkey,Rolling Fork First District,2
2,Delbert Hosemann,Lieutenant Governor,,R,Sharkey,Rolling Fork First District,225
2,Jay Hughes,Lieutenant Governor,,D,Sharkey,Rolling Fork First District,142
2,Johnny DuPree,Secretary of State,,D,Sharkey,Rolling Fork First District,173
2,Michael Watson,Secretary of State,,R,Sharkey,Rolling Fork First District,194
2,Jennifer Riley Collins,Attorney General,,D,Sharkey,Rolling Fork First District,172
2,Lynn Fitch,Attorney General,,R,Sharkey,Rolling Fork First District,210
2,Shad White,State Auditor,,R,Sharkey,Rolling Fork First District,266
3,Addie Lee Green,State Treasurer,,D,Sharkey,Rolling Fork First District,157
3,David McRae,State Treasurer,,R,Sharkey,Rolling Fork First District,217
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Sharkey,Rolling Fork First District,161
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Sharkey,Rolling Fork First District,212
