county,office,district,candidate,party,precinct,votes
Holmes,Constable,1,Sharkey Ford Sr,Democrat,1 Ancona,X
Holmes,Constable,2,Willie Anderson,Democrat,1 Ancona,301
Holmes,Constable,2,Robert F Kirklin Sr,Independent,1 Ancona,48
Holmes,Circuit Clerk,,Earlin Wright-Hart,Democrat,1 Ancona,333
Holmes,Coroner,,Dexter 'Skip' Howard,Democrat,1 Ancona,323
Holmes,Prosecuting Attorney,,Charles 'Chuck' Edwards,Democrat,1 Ancona,326
Holmes,Sheriff,,Willie E march,Democrat,1 Ancona,164
Holmes,Sheriff,,Mickey P Chisolm,Independent,1 Ancona,15
Holmes,Sheriff,,Joseph 'Joey' Head,Independent,1 Ancona,172
Holmes,Tax Collector,,Linda Rollins,Democrat,1 Ancona,337
Holmes,Chancery Clerk,,Charlie Luckett,Democrat,1 Ancona,328
Holmes,Justice Court Judge,1,Shirley Neal,Democrat,1 Ancona,X
Holmes,Justice Court Judge,2,Marcus Fisher,Democrat,1 Ancona,317
Holmes,Bond Referendum,,For,,1 Ancona,198
Holmes,Bond Referendum,,Against,,1 Ancona,110
Holmes,Bond Referendum,,Over Vote,,1 Ancona,0
Holmes,Bond Referendum,,Under Vote,,1 Ancona,0
Holmes,Transportation Commissioner - Central District,,Butch Lee,Republican,1 Ancona,36
Holmes,Transportation Commissioner - Central District,,Willie E Simmons,Democrat,1 Ancona,310
Holmes,Attorney General,,Jennifer Riley Collins,Democrat,1 Ancona,326
Holmes,Attorney General,,Lynn Fitch,Republican,1 Ancona,27
Holmes,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,1 Ancona,303
Holmes,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,1 Ancona,35
Holmes,Commissioner of Insurance,,Robert E Amos,Democrat,1 Ancona,307
Holmes,Commissioner of Insurance,,Mike Cheney,Republican,1 Ancona,35
Holmes,District Attorney,21,Akillie Malone Oliver,Democrat,1 Ancona,316
Holmes,Governor,,Jim Hood,Democrat,1 Ancona,332
Holmes,Governor,,Tate Reeves,Repubilcan,1 Ancona,21
Holmes,Governor,,Bob Hickingbottom,Constitution,1 Ancona,1
