page,candidate,office,district,party,county,precinct,votes
2,Jim Hood,Governor,,D,Hancock,Arlington,75
2,Tate Reeves,Governor,,R,Hancock,Arlington,153
2,Bob Hickingbottom,Governor,,C,Hancock,Arlington,1
2,David R Singletary,Governor,,IND,Hancock,Arlington,2
2,Delbert Hosemann,Lieutenant Governor,,R,Hancock,Arlington,164
2,Jay Hughes,Lieutenant Governor,,D,Hancock,Arlington,62
2,Johnny DuPree,Secretary of State,,D,Hancock,Arlington,58
2,Michael Watson,Secretary of State,,R,Hancock,Arlington,164
2,Jennifer Riley Collins,Attorney General,,D,Hancock,Arlington,62
2,Lynn Fitch,Attorney General,,R,Hancock,Arlington,165
2,Shad White,State Auditor,,R,Hancock,Arlington,193
5,Addie Lee Green,State Treasurer,,D,Hancock,Arlington,56
5,David McRae,State Treasurer,,R,Hancock,Arlington,165
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Hancock,Arlington,3
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Hancock,Arlington,159
8,Philip Moran,State Senate,46,R,Hancock,Arlington,188
8,Timmy Ladner,State House,93,R,Hancock,Arlington,X
8,Jay McKnight,State House,95,R,Hancock,Arlington,X
8,Brent Anderson ,State House,122,R,Hancock,Arlington,164
8,Wendy McDonald,State House,122,D,Hancock,Arlington,66
2,Jim Hood,Governor,,D,Hancock,Bayou Phillip,45
2,Tate Reeves,Governor,,R,Hancock,Bayou Phillip,72
2,Bob Hickingbottom,Governor,,C,Hancock,Bayou Phillip,0
2,David R Singletary,Governor,,IND,Hancock,Bayou Phillip,2
2,Delbert Hosemann,Lieutenant Governor,,R,Hancock,Bayou Phillip,83
2,Jay Hughes,Lieutenant Governor,,D,Hancock,Bayou Phillip,33
2,Johnny DuPree,Secretary of State,,D,Hancock,Bayou Phillip,37
2,Michael Watson,Secretary of State,,R,Hancock,Bayou Phillip,76
2,Jennifer Riley Collins,Attorney General,,D,Hancock,Bayou Phillip,37
2,Lynn Fitch,Attorney General,,R,Hancock,Bayou Phillip,74
2,Shad White,State Auditor,,R,Hancock,Bayou Phillip,92
5,Addie Lee Green,State Treasurer,,D,Hancock,Bayou Phillip,34
5,David McRae,State Treasurer,,R,Hancock,Bayou Phillip,78
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Hancock,Bayou Phillip,36
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Hancock,Bayou Phillip,74
8,Philip Moran,State Senate,46,R,Hancock,Bayou Phillip,96
8,Timmy Ladner,State House,93,R,Hancock,Bayou Phillip,X
8,Jay McKnight,State House,95,R,Hancock,Bayou Phillip,X
8,Brent Anderson ,State House,122,R,Hancock,Bayou Phillip,86
8,Wendy McDonald,State House,122,D,Hancock,Bayou Phillip,30
2,Jim Hood,Governor,,D,Hancock,Catahoula,10
2,Tate Reeves,Governor,,R,Hancock,Catahoula,78
2,Bob Hickingbottom,Governor,,C,Hancock,Catahoula,0
2,David R Singletary,Governor,,IND,Hancock,Catahoula,0
2,Delbert Hosemann,Lieutenant Governor,,R,Hancock,Catahoula,78
2,Jay Hughes,Lieutenant Governor,,D,Hancock,Catahoula,8
2,Johnny DuPree,Secretary of State,,D,Hancock,Catahoula,8
2,Michael Watson,Secretary of State,,R,Hancock,Catahoula,77
2,Jennifer Riley Collins,Attorney General,,D,Hancock,Catahoula,8
2,Lynn Fitch,Attorney General,,R,Hancock,Catahoula,80
2,Shad White,State Auditor,,R,Hancock,Catahoula,78
5,Addie Lee Green,State Treasurer,,D,Hancock,Catahoula,8
5,David McRae,State Treasurer,,R,Hancock,Catahoula,78
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Hancock,Catahoula,10
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Hancock,Catahoula,74
8,Philip Moran,State Senate,46,R,Hancock,Catahoula,82
8,Timmy Ladner,State House,93,R,Hancock,Catahoula,79
8,Jay McKnight,State House,95,R,Hancock,Catahoula,X
8,Brent Anderson ,State House,122,R,Hancock,Catahoula,X
8,Wendy McDonald,State House,122,D,Hancock,Catahoula,X
2,Jim Hood,Governor,,D,Hancock,City Hall,291
2,Tate Reeves,Governor,,R,Hancock,City Hall,104
2,Bob Hickingbottom,Governor,,C,Hancock,City Hall,0
2,David R Singletary,Governor,,IND,Hancock,City Hall,5
2,Delbert Hosemann,Lieutenant Governor,,R,Hancock,City Hall,110
2,Jay Hughes,Lieutenant Governor,,D,Hancock,City Hall,287
2,Johnny DuPree,Secretary of State,,D,Hancock,City Hall,285
2,Michael Watson,Secretary of State,,R,Hancock,City Hall,117
2,Jennifer Riley Collins,Attorney General,,D,Hancock,City Hall,295
2,Lynn Fitch,Attorney General,,R,Hancock,City Hall,105
2,Shad White,State Auditor,,R,Hancock,City Hall,196
5,Addie Lee Green,State Treasurer,,D,Hancock,City Hall,277
5,David McRae,State Treasurer,,R,Hancock,City Hall,119
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Hancock,City Hall,286
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Hancock,City Hall,110
8,Philip Moran,State Senate,46,R,Hancock,City Hall,198
8,Timmy Ladner,State House,93,R,Hancock,City Hall,X
8,Jay McKnight,State House,95,R,Hancock,City Hall,X
8,Brent Anderson ,State House,122,R,Hancock,City Hall,112
8,Wendy McDonald,State House,122,D,Hancock,City Hall,282
2,Jim Hood,Governor,,D,Hancock,Courthouse,58
2,Tate Reeves,Governor,,R,Hancock,Courthouse,84
2,Bob Hickingbottom,Governor,,C,Hancock,Courthouse,1
2,David R Singletary,Governor,,IND,Hancock,Courthouse,0
2,Delbert Hosemann,Lieutenant Governor,,R,Hancock,Courthouse,95
2,Jay Hughes,Lieutenant Governor,,D,Hancock,Courthouse,43
2,Johnny DuPree,Secretary of State,,D,Hancock,Courthouse,50
2,Michael Watson,Secretary of State,,R,Hancock,Courthouse,91
2,Jennifer Riley Collins,Attorney General,,D,Hancock,Courthouse,50
2,Lynn Fitch,Attorney General,,R,Hancock,Courthouse,92
2,Shad White,State Auditor,,R,Hancock,Courthouse,114
5,Addie Lee Green,State Treasurer,,D,Hancock,Courthouse,49
5,David McRae,State Treasurer,,R,Hancock,Courthouse,92
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Hancock,Courthouse,57
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Hancock,Courthouse,86
8,Philip Moran,State Senate,46,R,Hancock,Courthouse,112
8,Timmy Ladner,State House,93,R,Hancock,Courthouse,X
8,Jay McKnight,State House,95,R,Hancock,Courthouse,X
8,Brent Anderson ,State House,122,R,Hancock,Courthouse,73
8,Wendy McDonald,State House,122,D,Hancock,Courthouse,68
2,Jim Hood,Governor,,D,Hancock,Crane Creek,70
2,Tate Reeves,Governor,,R,Hancock,Crane Creek,391
2,Bob Hickingbottom,Governor,,C,Hancock,Crane Creek,3
2,David R Singletary,Governor,,IND,Hancock,Crane Creek,3
2,Delbert Hosemann,Lieutenant Governor,,R,Hancock,Crane Creek,404
2,Jay Hughes,Lieutenant Governor,,D,Hancock,Crane Creek,59
2,Johnny DuPree,Secretary of State,,D,Hancock,Crane Creek,42
2,Michael Watson,Secretary of State,,R,Hancock,Crane Creek,411
2,Jennifer Riley Collins,Attorney General,,D,Hancock,Crane Creek,44
2,Lynn Fitch,Attorney General,,R,Hancock,Crane Creek,417
2,Shad White,State Auditor,,R,Hancock,Crane Creek,420
5,Addie Lee Green,State Treasurer,,D,Hancock,Crane Creek,46
5,David McRae,State Treasurer,,R,Hancock,Crane Creek,413
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Hancock,Crane Creek,61
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Hancock,Crane Creek,400
8,Philip Moran,State Senate,46,R,Hancock,Crane Creek,427
8,Timmy Ladner,State House,93,R,Hancock,Crane Creek,431
8,Jay McKnight,State House,95,R,Hancock,Crane Creek,X
8,Brent Anderson ,State House,122,R,Hancock,Crane Creek,X
8,Wendy McDonald,State House,122,D,Hancock,Crane Creek,X
2,Jim Hood,Governor,,D,Hancock,Dedeaux,52
2,Tate Reeves,Governor,,R,Hancock,Dedeaux,238
2,Bob Hickingbottom,Governor,,C,Hancock,Dedeaux,1
2,David R Singletary,Governor,,IND,Hancock,Dedeaux,1
2,Delbert Hosemann,Lieutenant Governor,,R,Hancock,Dedeaux,244
2,Jay Hughes,Lieutenant Governor,,D,Hancock,Dedeaux,48
2,Johnny DuPree,Secretary of State,,D,Hancock,Dedeaux,39
2,Michael Watson,Secretary of State,,R,Hancock,Dedeaux,249
2,Jennifer Riley Collins,Attorney General,,D,Hancock,Dedeaux,37
2,Lynn Fitch,Attorney General,,R,Hancock,Dedeaux,253
2,Shad White,State Auditor,,R,Hancock,Dedeaux,266
5,Addie Lee Green,State Treasurer,,D,Hancock,Dedeaux,30
5,David McRae,State Treasurer,,R,Hancock,Dedeaux,257
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Hancock,Dedeaux,35
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Hancock,Dedeaux,254
8,Philip Moran,State Senate,46,R,Hancock,Dedeaux,257
8,Timmy Ladner,State House,93,R,Hancock,Dedeaux,X
8,Jay McKnight,State House,95,R,Hancock,Dedeaux,278
8,Brent Anderson ,State House,122,R,Hancock,Dedeaux,X
8,Wendy McDonald,State House,122,D,Hancock,Dedeaux,X
2,Jim Hood,Governor,,D,Hancock,Diamondhead East,545
2,Tate Reeves,Governor,,R,Hancock,Diamondhead East,1591
2,Bob Hickingbottom,Governor,,C,Hancock,Diamondhead East,5
