candidate,office,district,party,county,precinct,votes
Robert Foster,Governor,,R,Lee,Auburn,114
Tate Reeves,Governor,,R,Lee,Auburn,285
Bill Waller Jr.,Governor,,R,Lee,Auburn,133
Delbert Hosemann,Lieutenant Governor,,R,Lee,Auburn,471
Shane Quick,Lieutenant Governor,,R,Lee,Auburn,49
Sam Britton,Secretary of State,,R,Lee,Auburn,238
Michael Watson,Secretary of State,,R,Lee,Auburn,262
Mark Baker,Attorney General,,R,Lee,Auburn,85
Lynn Fitch,Attorney General,,R,Lee,Auburn,291
Andy Taggart,Attorney General,,R,Lee,Auburn,141
Shad White,State Auditor,,R,Lee,Auburn,456
Eugene S. 'Buck' Clarke,State Treasurer,,R,Lee,Auburn,225
David McRae,State Treasurer,,R,Lee,Auburn,280
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lee,Auburn,461
Mike Chaney,Commissioner of Insurance,,R,Lee,Auburn,469
Chad McMahan,State Senate,6,R,Lee,Auburn,466
Stephen Scott Griffin,State Senate,8,R,Lee,Auburn,x
Benjamin A Suber,State Senate,8,R,Lee,Auburn,x
Steve Whitten,State Senate,8,R,Lee,Auburn,x
Shane Aguirre,State House,17,R,Lee,Auburn,x
Jerry R Turner,State House,18,R,Lee,Auburn,x
Randy P Boyd,State House,19,R,Lee,Auburn,193
Peggy Schumpert Hussey,State House,19,R,Lee,Auburn,333
Chris Brown,State House,20,R,Lee,Auburn,x
Michael Brown,Governor,,D,Lee,Auburn,3
William Bond Compton Jr.,Governor,,D,Lee,Auburn,1
Jim Hood,Governor,,D,Lee,Auburn,24
Robert J. Ray,Governor,,D,Lee,Auburn,0
Robert Shuler Smith,Governor,,D,Lee,Auburn,0
Gregory Wash,Governor,,D,Lee,Auburn,1
Velesha P Williams,Governor,,D,Lee,Auburn,3
Albert Wilson,Governor,,D,Lee,Auburn,0
Jay Hughes,Lieutenant Governor,,D,Lee,Auburn,24
Johnny DuPree,Secretary of State,,D,Lee,Auburn,15
Maryra Hodges Hunt,Secretary of State,,D,Lee,Auburn,14
Jennifer Riley Collins,Attorney General,,D,Lee,Auburn,25
Addie Lee Green,State Treasurer,,D,Lee,Auburn,25
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lee,Auburn,26
Robert E. Amos,Commissioner of Insurance,,D,Lee,Auburn,25
Hob Bryan,State Senate,7,D,Lee,Auburn,x
