candidate,office,district,party,county,precinct,votes
Robert Foster,Governor,,R,Neshoba,Arlington,56
Tate Reeves,Governor,,R,Neshoba,Arlington,95
Bill Waller Jr.,Governor,,R,Neshoba,Arlington,92
Delbert Hosemann,Lieutenant Governor,,R,Neshoba,Arlington,188
Shane Quick,Lieutenant Governor,,R,Neshoba,Arlington,53
Sam Britton,Secretary of State,,R,Neshoba,Arlington,105
Michael Watson,Secretary of State,,R,Neshoba,Arlington,132
Mark Baker,Attorney General,,R,Neshoba,Arlington,68
Lynn Fitch,Attorney General,,R,Neshoba,Arlington,103
Andy Taggart,Attorney General,,R,Neshoba,Arlington,69
Shad White,State Auditor,,R,Neshoba,Arlington,223
Eugene S. 'Buck' Clarke,State Treasurer,,R,Neshoba,Arlington,94
David McRae,State Treasurer,,R,Neshoba,Arlington,146
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Neshoba,Arlington,227
Mike Chaney,Commissioner of Insurance,,R,Neshoba,Arlington,230
Jenifer B Branning,State Senate,18,R,Neshoba,Arlington,227
C Scott Bounds,State House,44,R,Neshoba,Arlington,221
Michael Brown,Governor,,D,Neshoba,Arlington,0
William Bond Compton Jr.,Governor,,D,Neshoba,Arlington,0
Jim Hood,Governor,,D,Neshoba,Arlington,0
Robert J. Ray,Governor,,D,Neshoba,Arlington,0
Robert Shuler Smith,Governor,,D,Neshoba,Arlington,0
Gregory Wash,Governor,,D,Neshoba,Arlington,0
Velesha P Williams,Governor,,D,Neshoba,Arlington,0
Albert Wilson,Governor,,D,Neshoba,Arlington,0
Jay Hughes,Lieutenant Governor,,D,Neshoba,Arlington,0
Johnny DuPree,Secretary of State,,D,Neshoba,Arlington,0
Maryra Hodges Hunt,Secretary of State,,D,Neshoba,Arlington,0
Jennifer Riley Collins,Attorney General,,D,Neshoba,Arlington,0
Addie Lee Green,State Treasurer,,D,Neshoba,Arlington,0
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Neshoba,Arlington,0
Robert E. Amos,Commissioner of Insurance,,D,Neshoba,Arlington,0
Michael Ted Evans,State House,45,D,Neshoba,Arlington,x
Robert Foster,Governor,,R,Neshoba,Bogue Chitto,4
Tate Reeves,Governor,,R,Neshoba,Bogue Chitto,12
Bill Waller Jr.,Governor,,R,Neshoba,Bogue Chitto,12
Delbert Hosemann,Lieutenant Governor,,R,Neshoba,Bogue Chitto,22
Shane Quick,Lieutenant Governor,,R,Neshoba,Bogue Chitto,5
Sam Britton,Secretary of State,,R,Neshoba,Bogue Chitto,13
Michael Watson,Secretary of State,,R,Neshoba,Bogue Chitto,14
Mark Baker,Attorney General,,R,Neshoba,Bogue Chitto,10
Lynn Fitch,Attorney General,,R,Neshoba,Bogue Chitto,16
Andy Taggart,Attorney General,,R,Neshoba,Bogue Chitto,1
Shad White,State Auditor,,R,Neshoba,Bogue Chitto,25
Eugene S. 'Buck' Clarke,State Treasurer,,R,Neshoba,Bogue Chitto,8
David McRae,State Treasurer,,R,Neshoba,Bogue Chitto,19
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Neshoba,Bogue Chitto,27
Mike Chaney,Commissioner of Insurance,,R,Neshoba,Bogue Chitto,27
Jenifer B Branning,State Senate,18,R,Neshoba,Bogue Chitto,27
C Scott Bounds,State House,44,R,Neshoba,Bogue Chitto,X
Michael Brown,Governor,,D,Neshoba,Bogue Chitto,0
William Bond Compton Jr.,Governor,,D,Neshoba,Bogue Chitto,0
Jim Hood,Governor,,D,Neshoba,Bogue Chitto,9
Robert J. Ray,Governor,,D,Neshoba,Bogue Chitto,0
Robert Shuler Smith,Governor,,D,Neshoba,Bogue Chitto,0
Gregory Wash,Governor,,D,Neshoba,Bogue Chitto,0
Velesha P Williams,Governor,,D,Neshoba,Bogue Chitto,0
Albert Wilson,Governor,,D,Neshoba,Bogue Chitto,0
Jay Hughes,Lieutenant Governor,,D,Neshoba,Bogue Chitto,8
Johnny DuPree,Secretary of State,,D,Neshoba,Bogue Chitto,5
Maryra Hodges Hunt,Secretary of State,,D,Neshoba,Bogue Chitto,4
Jennifer Riley Collins,Attorney General,,D,Neshoba,Bogue Chitto,8
Addie Lee Green,State Treasurer,,D,Neshoba,Bogue Chitto,8
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Neshoba,Bogue Chitto,8
Robert E. Amos,Commissioner of Insurance,,D,Neshoba,Bogue Chitto,8
Michael Ted Evans,State House,45,D,Neshoba,Bogue Chitto,8
Robert Foster,Governor,,R,Neshoba,Burnside,25
Tate Reeves,Governor,,R,Neshoba,Burnside,55
Bill Waller Jr.,Governor,,R,Neshoba,Burnside,24
Delbert Hosemann,Lieutenant Governor,,R,Neshoba,Burnside,74
Shane Quick,Lieutenant Governor,,R,Neshoba,Burnside,28
Sam Britton,Secretary of State,,R,Neshoba,Burnside,33
Michael Watson,Secretary of State,,R,Neshoba,Burnside,69
Mark Baker,Attorney General,,R,Neshoba,Burnside,27
Lynn Fitch,Attorney General,,R,Neshoba,Burnside,51
Andy Taggart,Attorney General,,R,Neshoba,Burnside,24
Shad White,State Auditor,,R,Neshoba,Burnside,93
Eugene S. 'Buck' Clarke,State Treasurer,,R,Neshoba,Burnside,24
David McRae,State Treasurer,,R,Neshoba,Burnside,78
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Neshoba,Burnside,94
Mike Chaney,Commissioner of Insurance,,R,Neshoba,Burnside,93
Jenifer B Branning,State Senate,18,R,Neshoba,Burnside,91
C Scott Bounds,State House,44,R,Neshoba,Burnside,71
Michael Brown,Governor,,D,Neshoba,Burnside,6
William Bond Compton Jr.,Governor,,D,Neshoba,Burnside,1
Jim Hood,Governor,,D,Neshoba,Burnside,108
Robert J. Ray,Governor,,D,Neshoba,Burnside,3
Robert Shuler Smith,Governor,,D,Neshoba,Burnside,3
Gregory Wash,Governor,,D,Neshoba,Burnside,0
Velesha P Williams,Governor,,D,Neshoba,Burnside,7
Albert Wilson,Governor,,D,Neshoba,Burnside,1
Jay Hughes,Lieutenant Governor,,D,Neshoba,Burnside,118
Johnny DuPree,Secretary of State,,D,Neshoba,Burnside,104
Maryra Hodges Hunt,Secretary of State,,D,Neshoba,Burnside,22
Jennifer Riley Collins,Attorney General,,D,Neshoba,Burnside,123
Addie Lee Green,State Treasurer,,D,Neshoba,Burnside,116
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Neshoba,Burnside,121
Robert E. Amos,Commissioner of Insurance,,D,Neshoba,Burnside,117
Michael Ted Evans,State House,45,D,Neshoba,Burnside,117
Robert Foster,Governor,,R,Neshoba,Center,48
Tate Reeves,Governor,,R,Neshoba,Center,102
Bill Waller Jr.,Governor,,R,Neshoba,Center,75
Delbert Hosemann,Lieutenant Governor,,R,Neshoba,Center,174
Shane Quick,Lieutenant Governor,,R,Neshoba,Center,48
Sam Britton,Secretary of State,,R,Neshoba,Center,104
Michael Watson,Secretary of State,,R,Neshoba,Center,117
Mark Baker,Attorney General,,R,Neshoba,Center,59
Lynn Fitch,Attorney General,,R,Neshoba,Center,114
Andy Taggart,Attorney General,,R,Neshoba,Center,49
Shad White,State Auditor,,R,Neshoba,Center,217
Eugene S. 'Buck' Clarke,State Treasurer,,R,Neshoba,Center,68
David McRae,State Treasurer,,R,Neshoba,Center,149
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Neshoba,Center,213
Mike Chaney,Commissioner of Insurance,,R,Neshoba,Center,217
Jenifer B Branning,State Senate,18,R,Neshoba,Center,212
C Scott Bounds,State House,44,R,Neshoba,Center,52
Michael Brown,Governor,,D,Neshoba,Center,0
William Bond Compton Jr.,Governor,,D,Neshoba,Center,0
Jim Hood,Governor,,D,Neshoba,Center,16
Robert J. Ray,Governor,,D,Neshoba,Center,0
Robert Shuler Smith,Governor,,D,Neshoba,Center,0
Gregory Wash,Governor,,D,Neshoba,Center,0
Velesha P Williams,Governor,,D,Neshoba,Center,0
Albert Wilson,Governor,,D,Neshoba,Center,0
Jay Hughes,Lieutenant Governor,,D,Neshoba,Center,17
Johnny DuPree,Secretary of State,,D,Neshoba,Center,14
Maryra Hodges Hunt,Secretary of State,,D,Neshoba,Center,3
Jennifer Riley Collins,Attorney General,,D,Neshoba,Center,17
Addie Lee Green,State Treasurer,,D,Neshoba,Center,17
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Neshoba,Center,17
Robert E. Amos,Commissioner of Insurance,,D,Neshoba,Center,16
Michael Ted Evans,State House,45,D,Neshoba,Center,17
Robert Foster,Governor,,R,Neshoba,County Line,28
Tate Reeves,Governor,,R,Neshoba,County Line,102
Bill Waller Jr.,Governor,,R,Neshoba,County Line,104
Delbert Hosemann,Lieutenant Governor,,R,Neshoba,County Line,191
Shane Quick,Lieutenant Governor,,R,Neshoba,County Line,38
Sam Britton,Secretary of State,,R,Neshoba,County Line,101
Michael Watson,Secretary of State,,R,Neshoba,County Line,128
Mark Baker,Attorney General,,R,Neshoba,County Line,63
Lynn Fitch,Attorney General,,R,Neshoba,County Line,113
Andy Taggart,Attorney General,,R,Neshoba,County Line,53
Shad White,State Auditor,,R,Neshoba,County Line,219
Eugene S. 'Buck' Clarke,State Treasurer,,R,Neshoba,County Line,74
David McRae,State Treasurer,,R,Neshoba,County Line,154
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Neshoba,County Line,224
Mike Chaney,Commissioner of Insurance,,R,Neshoba,County Line,223
Jenifer B Branning,State Senate,18,R,Neshoba,County Line,220
C Scott Bounds,State House,44,R,Neshoba,County Line,217
Michael Brown,Governor,,D,Neshoba,County Line,0
William Bond Compton Jr.,Governor,,D,Neshoba,County Line,0
Jim Hood,Governor,,D,Neshoba,County Line,5
Robert J. Ray,Governor,,D,Neshoba,County Line,0
Robert Shuler Smith,Governor,,D,Neshoba,County Line,0
Gregory Wash,Governor,,D,Neshoba,County Line,0
Velesha P Williams,Governor,,D,Neshoba,County Line,0
Albert Wilson,Governor,,D,Neshoba,County Line,0
Jay Hughes,Lieutenant Governor,,D,Neshoba,County Line,5
Johnny DuPree,Secretary of State,,D,Neshoba,County Line,1
Maryra Hodges Hunt,Secretary of State,,D,Neshoba,County Line,4
Jennifer Riley Collins,Attorney General,,D,Neshoba,County Line,5
Addie Lee Green,State Treasurer,,D,Neshoba,County Line,5
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Neshoba,County Line,5
Robert E. Amos,Commissioner of Insurance,,D,Neshoba,County Line,5
Michael Ted Evans,State House,45,D,Neshoba,County Line,x
Robert Foster,Governor,,R,Neshoba,Deemer,26
Tate Reeves,Governor,,R,Neshoba,Deemer,63
Bill Waller Jr.,Governor,,R,Neshoba,Deemer,38
Delbert Hosemann,Lieutenant Governor,,R,Neshoba,Deemer,101
Shane Quick,Lieutenant Governor,,R,Neshoba,Deemer,24
Sam Britton,Secretary of State,,R,Neshoba,Deemer,45
Michael Watson,Secretary of State,,R,Neshoba,Deemer,73
Mark Baker,Attorney General,,R,Neshoba,Deemer,28
Lynn Fitch,Attorney General,,R,Neshoba,Deemer,72
Andy Taggart,Attorney General,,R,Neshoba,Deemer,23
Shad White,State Auditor,,R,Neshoba,Deemer,122
Eugene S. 'Buck' Clarke,State Treasurer,,R,Neshoba,Deemer,42
David McRae,State Treasurer,,R,Neshoba,Deemer,80
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Neshoba,Deemer,122
Mike Chaney,Commissioner of Insurance,,R,Neshoba,Deemer,125
Jenifer B Branning,State Senate,18,R,Neshoba,Deemer,124
C Scott Bounds,State House,44,R,Neshoba,Deemer,122
Michael Brown,Governor,,D,Neshoba,Deemer,1
William Bond Compton Jr.,Governor,,D,Neshoba,Deemer,0
Jim Hood,Governor,,D,Neshoba,Deemer,6
Robert J. Ray,Governor,,D,Neshoba,Deemer,0
Robert Shuler Smith,Governor,,D,Neshoba,Deemer,0
Gregory Wash,Governor,,D,Neshoba,Deemer,1
Velesha P Williams,Governor,,D,Neshoba,Deemer,0
Albert Wilson,Governor,,D,Neshoba,Deemer,0
Jay Hughes,Lieutenant Governor,,D,Neshoba,Deemer,8
Johnny DuPree,Secretary of State,,D,Neshoba,Deemer,5
Maryra Hodges Hunt,Secretary of State,,D,Neshoba,Deemer,2
Jennifer Riley Collins,Attorney General,,D,Neshoba,Deemer,8
Addie Lee Green,State Treasurer,,D,Neshoba,Deemer,8
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Neshoba,Deemer,8
Robert E. Amos,Commissioner of Insurance,,D,Neshoba,Deemer,8
Michael Ted Evans,State House,45,D,Neshoba,Deemer,x
Robert Foster,Governor,,R,Neshoba,Dixon,52
Tate Reeves,Governor,,R,Neshoba,Dixon,114
Bill Waller Jr.,Governor,,R,Neshoba,Dixon,59
Delbert Hosemann,Lieutenant Governor,,R,Neshoba,Dixon,168
Shane Quick,Lieutenant Governor,,R,Neshoba,Dixon,53
Sam Britton,Secretary of State,,R,Neshoba,Dixon,110
Michael Watson,Secretary of State,,R,Neshoba,Dixon,109
Mark Baker,Attorney General,,R,Neshoba,Dixon,58
Lynn Fitch,Attorney General,,R,Neshoba,Dixon,112
Andy Taggart,Attorney General,,R,Neshoba,Dixon,52
Shad White,State Auditor,,R,Neshoba,Dixon,206
Eugene S. 'Buck' Clarke,State Treasurer,,R,Neshoba,Dixon,73
David McRae,State Treasurer,,R,Neshoba,Dixon,151
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Neshoba,Dixon,215
Mike Chaney,Commissioner of Insurance,,R,Neshoba,Dixon,215
Jenifer B Branning,State Senate,18,R,Neshoba,Dixon,212
C Scott Bounds,State House,44,R,Neshoba,Dixon,214
Michael Brown,Governor,,D,Neshoba,Dixon,8
William Bond Compton Jr.,Governor,,D,Neshoba,Dixon,2
Jim Hood,Governor,,D,Neshoba,Dixon,61
Robert J. Ray,Governor,,D,Neshoba,Dixon,1
Robert Shuler Smith,Governor,,D,Neshoba,Dixon,3
Gregory Wash,Governor,,D,Neshoba,Dixon,0
Velesha P Williams,Governor,,D,Neshoba,Dixon,5
Albert Wilson,Governor,,D,Neshoba,Dixon,2
Jay Hughes,Lieutenant Governor,,D,Neshoba,Dixon,75
Johnny DuPree,Secretary of State,,D,Neshoba,Dixon,68
Maryra Hodges Hunt,Secretary of State,,D,Neshoba,Dixon,14
Jennifer Riley Collins,Attorney General,,D,Neshoba,Dixon,76
Addie Lee Green,State Treasurer,,D,Neshoba,Dixon,79
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Neshoba,Dixon,78
Robert E. Amos,Commissioner of Insurance,,D,Neshoba,Dixon,75
Michael Ted Evans,State House,45,D,Neshoba,Dixon,x
Robert Foster,Governor,,R,Neshoba,East Neshoba,12
Tate Reeves,Governor,,R,Neshoba,East Neshoba,39
Bill Waller Jr.,Governor,,R,Neshoba,East Neshoba,21
Delbert Hosemann,Lieutenant Governor,,R,Neshoba,East Neshoba,50
Shane Quick,Lieutenant Governor,,R,Neshoba,East Neshoba,22
Sam Britton,Secretary of State,,R,Neshoba,East Neshoba,28
Michael Watson,Secretary of State,,R,Neshoba,East Neshoba,43
Mark Baker,Attorney General,,R,Neshoba,East Neshoba,19
Lynn Fitch,Attorney General,,R,Neshoba,East Neshoba,41
Andy Taggart,Attorney General,,R,Neshoba,East Neshoba,11
Shad White,State Auditor,,R,Neshoba,East Neshoba,71
Eugene S. 'Buck' Clarke,State Treasurer,,R,Neshoba,East Neshoba,17
David McRae,State Treasurer,,R,Neshoba,East Neshoba,55
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Neshoba,East Neshoba,73
Mike Chaney,Commissioner of Insurance,,R,Neshoba,East Neshoba,73
Jenifer B Branning,State Senate,18,R,Neshoba,East Neshoba,72
C Scott Bounds,State House,44,R,Neshoba,East Neshoba,72
Michael Brown,Governor,,D,Neshoba,East Neshoba,12
William Bond Compton Jr.,Governor,,D,Neshoba,East Neshoba,0
Jim Hood,Governor,,D,Neshoba,East Neshoba,92
Robert J. Ray,Governor,,D,Neshoba,East Neshoba,6
Robert Shuler Smith,Governor,,D,Neshoba,East Neshoba,2
Gregory Wash,Governor,,D,Neshoba,East Neshoba,2
Velesha P Williams,Governor,,D,Neshoba,East Neshoba,13
Albert Wilson,Governor,,D,Neshoba,East Neshoba,2
Jay Hughes,Lieutenant Governor,,D,Neshoba,East Neshoba,116
