county,office,district,candidate,party,precinct,votes
Smith,Governor,,Jim Hood,Democrat,Ag-Complex,126
Smith,Governor,,Tate Reeves,Repubilcan,Ag-Complex,360
Smith,Governor,,Bob Hickingbottom,Constitution,Ag-Complex,1
Smith,Governor,,David R. Singletary,Independent,Ag-Complex,8
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Ag-Complex,406
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Ag-Complex,88
Smith,Secretary of State,,Johny DuPree,Republican,Ag-Complex,91
Smith,Secretary of State,,Michael Watson,Democrat,Ag-Complex,399
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Ag-Complex,75
Smith,Attorney General,,Lynn Fitch,Republican,Ag-Complex,416
Smith,State Auditor,,Shad White,Republican,Ag-Complex,446
Smith,State Treasurer,,Ardle Lee Green,Democrat,Ag-Complex,56
Smith,State Treasurer,,David McRae,Republican,Ag-Complex,431
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Ag-Complex,62
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Ag-Complex,428
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Ag-Complex,53
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Ag-Complex,434
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Ag-Complex,395
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Ag-Complex,91
Smith,Transportation Commissioner,Southern,Tom King,Republican,Ag-Complex,444
Smith,District Attorney,13,Matt Sullivan,Democrat,Ag-Complex,423
Smith,State Senate,41,Joey Fillingane,Republican,Ag-Complex,443
Smith,State House,79,Mark K Tullos,Republican,Ag-Complex,453
Smith,Chancery Clerk,,Cindy Austin,Democrat,Ag-Complex,427
Smith,Circuit Clerk,,Earnest W Burton,Republican,Ag-Complex,239
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Ag-Complex,261
Smith,Coroner,,Billy Allen,Democrat,Ag-Complex,126
Smith,Coroner,,Sammy Houston,Republican,Ag-Complex,367
Smith,Sheriff,,Joel Houston,Republic.an,Ag-Complex,324
Smith,Sheriff,,Marty Peterson,Democrat,Ag-Complex,173
Smith,Surveyor,,Landry Adcock,Republican,Ag-Complex,446
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Ag-Complex,238
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Ag-Complex,265
Smith,Supervisor,1,Jerry Fields,Republican,Ag-Complex,282
Smith,Supervisor,1,Sammy Hancock,Democrat,Ag-Complex,29
Smith,Supervisor,1,Mike Bavido,Independent,Ag-Complex,17
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Ag-Complex,45
Smith,Supervisor,1,Donny Lowery,Independent,Ag-Complex,120
Smith,Supervisor,2,Eddie McMullan,Republican,Ag-Complex,
Smith,Supervisor,2,Dwight D Norris,Democrat,Ag-Complex,
Smith,Supervisor,2,Mike Ford,Independent,Ag-Complex,
Smith,Supervisor,3,Benjie Ford,Independent,Ag-Complex,
Smith,Supervisor,4,Danny Avender,Democrat,Ag-Complex,
Smith,Supervisor,4,Bob J Miles,Republican,Ag-Complex,
Smith,Supervisor,5,Robert Hallman,Republican,Ag-Complex,
Smith,Supervisor,5,Howard Hammons,Democrat,Ag-Complex,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Ag-Complex,328
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Ag-Complex,165
Smith,Justice Court Judge,2,Larry Allen,Republican,Ag-Complex,
Smith,Justice Court Judge,2,Hulon West,Democrat,Ag-Complex,
Smith,Constable,1,Joe Robert Blakeney,Republican,Ag-Complex,248
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Ag-Complex,243
Smith,Constable,2,Brad Boykin,Democrat,Ag-Complex,
Smith,Constable,2,Bobby Easterling,Republican,Ag-Complex,
Smith,Constable,2,William Logan Pruitt,Independent,Ag-Complex,
Smith,Governor,,Jim Hood,Democrat,Burns,67
Smith,Governor,,Tate Reeves,Repubilcan,Burns,143
