page,candidate,office,district,party,county,precinct,votes
2,Jim Hood,Governor,,D,Jones,Antioch,34
2,Tate Reeves,Governor,,R,Jones,Antioch,209
2,Bob Hickingbottom,Governor,,C,Jones,Antioch,3
2,David R Singletary,Governor,,IND,Jones,Antioch,4
2,Delbert Hosemann,Lieutenant Governor,,R,Jones,Antioch,227
2,Jay Hughes,Lieutenant Governor,,D,Jones,Antioch,22
2,Johnny DuPree,Secretary of State,,D,Jones,Antioch,17
2,Michael Watson,Secretary of State,,R,Jones,Antioch,233
2,Jennifer Riley Collins,Attorney General,,D,Jones,Antioch,24
2,Lynn Fitch,Attorney General,,R,Jones,Antioch,228
2,Shad White,State Auditor,,R,Jones,Antioch,247
6,Addie Lee Green,State Treasurer,,D,Jones,Antioch,16
6,David McRae,State Treasurer,,R,Jones,Antioch,234
6,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Jones,Antioch,27
6,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Jones,Antioch,224
10,Juan Barnett,State Senate,34,D,Jones,Antioch,X
10,Steven L Wade,State Senate,34,R,Jones,Antioch,X
10,Chris McDaniel,State Senate,42,R,Jones,Antioch,245
10,Omeria Scott,State House,80,D,Jones,Antioch,X
10,Ramona Q Blackledge,State House,88,R,Jones,Antioch,252
10,Donnie Scoggin,State House,89,R,Jones,Antioch,X
2,Jim Hood,Governor,,D,Jones,Big Creek,46
2,Tate Reeves,Governor,,R,Jones,Big Creek,296
2,Bob Hickingbottom,Governor,,C,Jones,Big Creek,0
2,David R Singletary,Governor,,IND,Jones,Big Creek,1
2,Delbert Hosemann,Lieutenant Governor,,R,Jones,Big Creek,318
2,Jay Hughes,Lieutenant Governor,,D,Jones,Big Creek,24
2,Johnny DuPree,Secretary of State,,D,Jones,Big Creek,16
2,Michael Watson,Secretary of State,,R,Jones,Big Creek,325
2,Jennifer Riley Collins,Attorney General,,D,Jones,Big Creek,18
2,Lynn Fitch,Attorney General,,R,Jones,Big Creek,326
2,Shad White,State Auditor,,R,Jones,Big Creek,336
6,Addie Lee Green,State Treasurer,,D,Jones,Big Creek,17
6,David McRae,State Treasurer,,R,Jones,Big Creek,326
6,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Jones,Big Creek,25
6,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Jones,Big Creek,317
10,Juan Barnett,State Senate,34,D,Jones,Big Creek,19
10,Steven L Wade,State Senate,34,R,Jones,Big Creek,323
10,Chris McDaniel,State Senate,42,R,Jones,Big Creek,X
10,Omeria Scott,State House,80,D,Jones,Big Creek,X
10,Ramona Q Blackledge,State House,88,R,Jones,Big Creek,337
10,Donnie Scoggin,State House,89,R,Jones,Big Creek,X
2,Jim Hood,Governor,,D,Jones,Blackwell,20
2,Tate Reeves,Governor,,R,Jones,Blackwell,203
2,Bob Hickingbottom,Governor,,C,Jones,Blackwell,0
2,David R Singletary,Governor,,IND,Jones,Blackwell,9
2,Delbert Hosemann,Lieutenant Governor,,R,Jones,Blackwell,219
2,Jay Hughes,Lieutenant Governor,,D,Jones,Blackwell,12
2,Johnny DuPree,Secretary of State,,D,Jones,Blackwell,9
2,Michael Watson,Secretary of State,,R,Jones,Blackwell,221
2,Jennifer Riley Collins,Attorney General,,D,Jones,Blackwell,12
2,Lynn Fitch,Attorney General,,R,Jones,Blackwell,220
2,Shad White,State Auditor,,R,Jones,Blackwell,225
6,Addie Lee Green,State Treasurer,,D,Jones,Blackwell,8
6,David McRae,State Treasurer,,R,Jones,Blackwell,223
6,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Jones,Blackwell,19
6,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Jones,Blackwell,211
10,Juan Barnett,State Senate,34,D,Jones,Blackwell,12
10,Steven L Wade,State Senate,34,R,Jones,Blackwell,219
10,Chris McDaniel,State Senate,42,R,Jones,Blackwell,X
10,Omeria Scott,State House,80,D,Jones,Blackwell,X
10,Ramona Q Blackledge,State House,88,R,Jones,Blackwell,226
10,Donnie Scoggin,State House,89,R,Jones,Blackwell,X
2,Jim Hood,Governor,,D,Jones,Calhoun,154
2,Tate Reeves,Governor,,R,Jones,Calhoun,950
2,Bob Hickingbottom,Governor,,C,Jones,Calhoun,3
2,David R Singletary,Governor,,IND,Jones,Calhoun,23
2,Delbert Hosemann,Lieutenant Governor,,R,Jones,Calhoun,1013
2,Jay Hughes,Lieutenant Governor,,D,Jones,Calhoun,114
2,Johnny DuPree,Secretary of State,,D,Jones,Calhoun,78
2,Michael Watson,Secretary of State,,R,Jones,Calhoun,1039
