candidate,office,district,party,county,precinct,votes
Jim Hood,Governor,,D,Lafayette,Abbeville,454
Tate Reeves,Governor,,R,Lafayette,Abbeville,278
Bob Hickingbottom,Governor,,C,Lafayette,Abbeville,2
David R Singletary,Governor,,IND,Lafayette,Abbeville,7
Delbert Hosemann,Lieutenant Governor,,R,Lafayette,Abbeville,278
Jay Hughes,Lieutenant Governor,,D,Lafayette,Abbeville,439
Johnny DuPree,Secretary of State,,D,Lafayette,Abbeville,401
Michael Watson,Secretary of State,,R,Lafayette,Abbeville,310
Jennifer Riley Collins,Attorney General,,D,Lafayette,Abbeville,425
Lynn Fitch,Attorney General,,R,Lafayette,Abbeville,303
Shad White,State Auditor,,R,Lafayette,Abbeville,454
Addie Lee Green,State Treasurer,,D,Lafayette,Abbeville,399
David McRae,State Treasurer,,R,Lafayette,Abbeville,317
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lafayette,Abbeville,403
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lafayette,Abbeville,313
Nicole Akins Boyd,State Senate,9,R,Lafayette,Abbeville,333
Kevin W Frye,State Senate,9,D,Lafayette,Abbeville,395
John Faulkner,State House,5,D,Lafayette,Abbeville,419
Pamela J Denham,State House,13,D,Lafayette,Abbeville,43
Steve Massengill,State House,13,R,Lafayette,Abbeville,219
Jim Hood,Governor,,D,Lafayette,Airport Grocery,163
Tate Reeves,Governor,,R,Lafayette,Airport Grocery,254
Bob Hickingbottom,Governor,,C,Lafayette,Airport Grocery,3
David R Singletary,Governor,,IND,Lafayette,Airport Grocery,5
Delbert Hosemann,Lieutenant Governor,,R,Lafayette,Airport Grocery,266
Jay Hughes,Lieutenant Governor,,D,Lafayette,Airport Grocery,159
Johnny DuPree,Secretary of State,,D,Lafayette,Airport Grocery,118
Michael Watson,Secretary of State,,R,Lafayette,Airport Grocery,293
Jennifer Riley Collins,Attorney General,,D,Lafayette,Airport Grocery,122
Lynn Fitch,Attorney General,,R,Lafayette,Airport Grocery,296
Shad White,State Auditor,,R,Lafayette,Airport Grocery,353
Addie Lee Green,State Treasurer,,D,Lafayette,Airport Grocery,108
David McRae,State Treasurer,,R,Lafayette,Airport Grocery,306
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lafayette,Airport Grocery,112
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lafayette,Airport Grocery,300
Nicole Akins Boyd,State Senate,9,R,Lafayette,Airport Grocery,291
Kevin W Frye,State Senate,9,D,Lafayette,Airport Grocery,130
