candidate,office,district,party,county,precinct,votes
Lynn Fitch,Attorney General,,R,Clarke,Energy,125
Shad White,State Auditor,,R,Clarke,Energy,114
Addie Lee Green,State Treasurer,,D,Clarke,Energy,2
David McRae,State Treasurer,,R,Clarke,Energy,127
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Energy,3
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Energy,126
Jelf Tate,State Senate,33,R,Clarke,Energy,124
Omeria Scott,State House,80,D,Clarke,Energy,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Energy,125
Troy Smith,State House,84,R,Clarke,Energy,X
Roy May,State House,84,IND,Clarke,Energy,X
Jim Hood,Governor,,D,Clarke,Enterprise,228
Tate Reeves,Governor,,R,Clarke,Enterprise,678
Bob Hickingbottom,Governor,,C,Clarke,Enterprise,1
David R Singletary,Governor,,IND,Clarke,Enterprise,16
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Enterprise,725
Jay Hughes,Lieutenant Governor,,D,Clarke,Enterprise,185
Johnny DuPree,Secretary of State,,D,Clarke,Enterprise,178
Michael Watson,Secretary of State,,R,Clarke,Enterprise,728
Jennifer Riley Collins,Attorney General,,D,Clarke,Enterprise,166
Lynn Fitch,Attorney General,,R,Clarke,Enterprise,747
Shad White,State Auditor,,R,Clarke,Enterprise,811
Addie Lee Green,State Treasurer,,D,Clarke,Enterprise,150
David McRae,State Treasurer,,R,Clarke,Enterprise,754
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Enterprise,159
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Enterprise,741
Jelf Tate,State Senate,33,R,Clarke,Enterprise,821
Omeria Scott,State House,80,D,Clarke,Enterprise,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Enterprise,X
Troy Smith,State House,84,R,Clarke,Enterprise,821
Roy May,State House,84,IND,Clarke,Enterprise,84
Jim Hood,Governor,,D,Clarke,Hopewell,60
Tate Reeves,Governor,,R,Clarke,Hopewell,52
Bob Hickingbottom,Governor,,C,Clarke,Hopewell,0
David R Singletary,Governor,,IND,Clarke,Hopewell,2
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Hopewell,54
Jay Hughes,Lieutenant Governor,,D,Clarke,Hopewell,59
Johnny DuPree,Secretary of State,,D,Clarke,Hopewell,55
Michael Watson,Secretary of State,,R,Clarke,Hopewell,56
Jennifer Riley Collins,Attorney General,,D,Clarke,Hopewell,55
Lynn Fitch,Attorney General,,R,Clarke,Hopewell,57
Shad White,State Auditor,,R,Clarke,Hopewell,75
Addie Lee Green,State Treasurer,,D,Clarke,Hopewell,54
David McRae,State Treasurer,,R,Clarke,Hopewell,55
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Hopewell,55
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Hopewell,57
Jelf Tate,State Senate,33,R,Clarke,Hopewell,76
Omeria Scott,State House,80,D,Clarke,Hopewell,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Hopewell,X
Troy Smith,State House,84,R,Clarke,Hopewell,67
Roy May,State House,84,IND,Clarke,Hopewell,36
Jim Hood,Governor,,D,Clarke,Harmony Dist. 1,35
Tate Reeves,Governor,,R,Clarke,Harmony Dist. 1,58
Bob Hickingbottom,Governor,,C,Clarke,Harmony Dist. 1,0
David R Singletary,Governor,,IND,Clarke,Harmony Dist. 1,3
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Harmony Dist. 1,64
Jay Hughes,Lieutenant Governor,,D,Clarke,Harmony Dist. 1,27
Johnny DuPree,Secretary of State,,D,Clarke,Harmony Dist. 1,29
Michael Watson,Secretary of State,,R,Clarke,Harmony Dist. 1,63
Jennifer Riley Collins,Attorney General,,D,Clarke,Harmony Dist. 1,31
Lynn Fitch,Attorney General,,R,Clarke,Harmony Dist. 1,63
Shad White,State Auditor,,R,Clarke,Harmony Dist. 1,78
Addie Lee Green,State Treasurer,,D,Clarke,Harmony Dist. 1,30
David McRae,State Treasurer,,R,Clarke,Harmony Dist. 1,60
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Harmony Dist. 1,28
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Harmony Dist. 1,62
Jelf Tate,State Senate,33,R,Clarke,Harmony Dist. 1,78
Omeria Scott,State House,80,D,Clarke,Harmony Dist. 1,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Harmony Dist. 1,X
Troy Smith,State House,84,R,Clarke,Harmony Dist. 1,72
Roy May,State House,84,IND,Clarke,Harmony Dist. 1,18
Jim Hood,Governor,,D,Clarke,Harmony Dist. 2,82
Tate Reeves,Governor,,R,Clarke,Harmony Dist. 2,134
Bob Hickingbottom,Governor,,C,Clarke,Harmony Dist. 2,1
David R Singletary,Governor,,IND,Clarke,Harmony Dist. 2,2
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Harmony Dist. 2,143
Jay Hughes,Lieutenant Governor,,D,Clarke,Harmony Dist. 2,75
Johnny DuPree,Secretary of State,,D,Clarke,Harmony Dist. 2,80
Michael Watson,Secretary of State,,R,Clarke,Harmony Dist. 2,141
Jennifer Riley Collins,Attorney General,,D,Clarke,Harmony Dist. 2,77
Lynn Fitch,Attorney General,,R,Clarke,Harmony Dist. 2,144
Shad White,State Auditor,,R,Clarke,Harmony Dist. 2,186
Addie Lee Green,State Treasurer,,D,Clarke,Harmony Dist. 2,74
David McRae,State Treasurer,,R,Clarke,Harmony Dist. 2,144
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Harmony Dist. 2,67
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Harmony Dist. 2,152
Jelf Tate,State Senate,33,R,Clarke,Harmony Dist. 2,189
Omeria Scott,State House,80,D,Clarke,Harmony Dist. 2,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Harmony Dist. 2,X
Troy Smith,State House,84,R,Clarke,Harmony Dist. 2,134
Roy May,State House,84,IND,Clarke,Harmony Dist. 2,83
Jim Hood,Governor,,D,Clarke,Langsdale,20
Tate Reeves,Governor,,R,Clarke,Langsdale,15
Bob Hickingbottom,Governor,,C,Clarke,Langsdale,0
David R Singletary,Governor,,IND,Clarke,Langsdale,0
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Langsdale,17
Jay Hughes,Lieutenant Governor,,D,Clarke,Langsdale,17
Johnny DuPree,Secretary of State,,D,Clarke,Langsdale,20
Michael Watson,Secretary of State,,R,Clarke,Langsdale,14
Jennifer Riley Collins,Attorney General,,D,Clarke,Langsdale,19
Lynn Fitch,Attorney General,,R,Clarke,Langsdale,16
Shad White,State Auditor,,R,Clarke,Langsdale,20
Addie Lee Green,State Treasurer,,D,Clarke,Langsdale,20
David McRae,State Treasurer,,R,Clarke,Langsdale,15
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Langsdale,20
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Langsdale,15
Jelf Tate,State Senate,33,R,Clarke,Langsdale,18
Omeria Scott,State House,80,D,Clarke,Langsdale,30
Stephen A 'Steve' Horne,State House,81,R,Clarke,Langsdale,X
Troy Smith,State House,84,R,Clarke,Langsdale,X
Roy May,State House,84,IND,Clarke,Langsdale,X
Jim Hood,Governor,,D,Clarke,Manassa,12
Tate Reeves,Governor,,R,Clarke,Manassa,78
Bob Hickingbottom,Governor,,C,Clarke,Manassa,0
David R Singletary,Governor,,IND,Clarke,Manassa,3
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Manassa,85
Jay Hughes,Lieutenant Governor,,D,Clarke,Manassa,7
Johnny DuPree,Secretary of State,,D,Clarke,Manassa,5
Michael Watson,Secretary of State,,R,Clarke,Manassa,88
Jennifer Riley Collins,Attorney General,,D,Clarke,Manassa,4
Lynn Fitch,Attorney General,,R,Clarke,Manassa,89
Shad White,State Auditor,,R,Clarke,Manassa,85
Addie Lee Green,State Treasurer,,D,Clarke,Manassa,3
David McRae,State Treasurer,,R,Clarke,Manassa,89
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Manassa,4
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Manassa,88
Jelf Tate,State Senate,33,R,Clarke,Manassa,89
Omeria Scott,State House,80,D,Clarke,Manassa,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Manassa,X
Troy Smith,State House,84,R,Clarke,Manassa,69
Roy May,State House,84,IND,Clarke,Manassa,23
Jim Hood,Governor,,D,Clarke,North Quitman,82
Tate Reeves,Governor,,R,Clarke,North Quitman,173
Bob Hickingbottom,Governor,,C,Clarke,North Quitman,2
David R Singletary,Governor,,IND,Clarke,North Quitman,6
Delbert Hosemann,Lieutenant Governor,,R,Clarke,North Quitman,196
Jay Hughes,Lieutenant Governor,,D,Clarke,North Quitman,65
Johnny DuPree,Secretary of State,,D,Clarke,North Quitman,65
Michael Watson,Secretary of State,,R,Clarke,North Quitman,196
Jennifer Riley Collins,Attorney General,,D,Clarke,North Quitman,68
Lynn Fitch,Attorney General,,R,Clarke,North Quitman,98
Shad White,State Auditor,,R,Clarke,North Quitman,229
Addie Lee Green,State Treasurer,,D,Clarke,North Quitman,59
David McRae,State Treasurer,,R,Clarke,North Quitman,201
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,North Quitman,60
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,North Quitman,202
Jelf Tate,State Senate,33,R,Clarke,North Quitman,233
Omeria Scott,State House,80,D,Clarke,North Quitman,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,North Quitman,X
Troy Smith,State House,84,R,Clarke,North Quitman,164
Roy May,State House,84,IND,Clarke,North Quitman,93
Jim Hood,Governor,,D,Clarke,Oakgrove,170
Tate Reeves,Governor,,R,Clarke,Oakgrove,35
Bob Hickingbottom,Governor,,C,Clarke,Oakgrove,0
David R Singletary,Governor,,IND,Clarke,Oakgrove,0
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Oakgrove,38
Jay Hughes,Lieutenant Governor,,D,Clarke,Oakgrove,155
Johnny DuPree,Secretary of State,,D,Clarke,Oakgrove,163
Michael Watson,Secretary of State,,R,Clarke,Oakgrove,41
Jennifer Riley Collins,Attorney General,,D,Clarke,Oakgrove,164
Lynn Fitch,Attorney General,,R,Clarke,Oakgrove,39
Shad White,State Auditor,,R,Clarke,Oakgrove,120
Addie Lee Green,State Treasurer,,D,Clarke,Oakgrove,162
David McRae,State Treasurer,,R,Clarke,Oakgrove,39
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Oakgrove,165
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Oakgrove,37
Jelf Tate,State Senate,33,R,Clarke,Oakgrove,115
Omeria Scott,State House,80,D,Clarke,Oakgrove,184
Stephen A 'Steve' Horne,State House,81,R,Clarke,Oakgrove,X
Troy Smith,State House,84,R,Clarke,Oakgrove,X
Roy May,State House,84,IND,Clarke,Oakgrove,X
Jim Hood,Governor,,D,Clarke,Pachuta,159
Tate Reeves,Governor,,R,Clarke,Pachuta,59
Bob Hickingbottom,Governor,,C,Clarke,Pachuta,1
David R Singletary,Governor,,IND,Clarke,Pachuta,1
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Pachuta,73
Jay Hughes,Lieutenant Governor,,D,Clarke,Pachuta,136
Johnny DuPree,Secretary of State,,D,Clarke,Pachuta,154
Michael Watson,Secretary of State,,R,Clarke,Pachuta,61
Jennifer Riley Collins,Attorney General,,D,Clarke,Pachuta,154
Lynn Fitch,Attorney General,,R,Clarke,Pachuta,63
Shad White,State Auditor,,R,Clarke,Pachuta,111
Addie Lee Green,State Treasurer,,D,Clarke,Pachuta,147
David McRae,State Treasurer,,R,Clarke,Pachuta,66
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Pachuta,155
