16,candidate,office,district,party,county,precinct,votes
8,Tate Reeves,Governor,,R,Noxubee,Brooksville,16
2,Bill Waller Jr.,Governor,,R,Noxubee,Brooksville,8
2,Tate Reeves,Governor,,R,Noxubee,Cliftonville,2
2,Bill Waller Jr.,Governor,,R,Noxubee,Cliftonville,4
2,Tate Reeves,Governor,,R,Noxubee,District 3 Central,8
2,Bill Waller Jr.,Governor,,R,Noxubee,District 3 Central,1
2,Tate Reeves,Governor,,R,Noxubee,Earl Nash Gym,6
2,Bill Waller Jr.,Governor,,R,Noxubee,Earl Nash Gym,1
2,Tate Reeves,Governor,,R,Noxubee,Mashulaville,11
2,Bill Waller Jr.,Governor,,R,Noxubee,Mashulaville,3
2,Tate Reeves,Governor,,R,Noxubee,Prairie Point,7
2,Bill Waller Jr.,Governor,,R,Noxubee,Prairie Point,2
2,Tate Reeves,Governor,,R,Noxubee,Shuqualak,5
2,Bill Waller Jr.,Governor,,R,Noxubee,Shuqualak,0
2,Tate Reeves,Governor,,R,Noxubee,Summerville,11
2,Bill Waller Jr.,Governor,,R,Noxubee,Summerville,0
2,Tate Reeves,Governor,,R,Noxubee,TOTAL,66
2,Bill Waller Jr.,Governor,,R,Noxubee,TOTAL,19
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
