candidate,office,district,party,county,precinct,votes
Jim Hood,Governor,,D,Madison,Camden Community Center,449
Tate Reeves,Governor,,R,Madison,Camden Community Center,60
Bob Hickingbottom,Governor,,C,Madison,Camden Community Center,1
David R Singletary,Governor,,IND,Madison,Camden Community Center,1
Delbert Hosemann,Lieutenant Governor,,R,Madison,Camden Community Center,92
Jay Hughes,Lieutenant Governor,,D,Madison,Camden Community Center,412
Johnny DuPree,Secretary of State,,D,Madison,Camden Community Center,434
Michael Watson,Secretary of State,,R,Madison,Camden Community Center,72
Jennifer Riley Collins,Attorney General,,D,Madison,Camden Community Center,439
Lynn Fitch,Attorney General,,R,Madison,Camden Community Center,64
Shad White,State Auditor,,R,Madison,Camden Community Center,180
Addie Lee Green,State Treasurer,,D,Madison,Camden Community Center,417
David McRae,State Treasurer,,R,Madison,Camden Community Center,82
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Madison,Camden Community Center,427
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Madison,Camden Community Center,73
Barbara Blackmon,State Senate,21,D,Madison,Camden Community Center,457
Kenneth Walker,State House,27,D,Madison,Camden Community Center,433
Jim Hood,Governor,,D,Madison,Cameron Bethel M B Church,50
Tate Reeves,Governor,,R,Madison,Cameron Bethel M B Church,58
Bob Hickingbottom,Governor,,C,Madison,Cameron Bethel M B Church,0
David R Singletary,Governor,,IND,Madison,Cameron Bethel M B Church,0
Delbert Hosemann,Lieutenant Governor,,R,Madison,Cameron Bethel M B Church,67
Jay Hughes,Lieutenant Governor,,D,Madison,Cameron Bethel M B Church,41
Johnny DuPree,Secretary of State,,D,Madison,Cameron Bethel M B Church,46
Michael Watson,Secretary of State,,R,Madison,Cameron Bethel M B Church,62
Jennifer Riley Collins,Attorney General,,D,Madison,Cameron Bethel M B Church,49
Lynn Fitch,Attorney General,,R,Madison,Cameron Bethel M B Church,59
Shad White,State Auditor,,R,Madison,Cameron Bethel M B Church,76
Addie Lee Green,State Treasurer,,D,Madison,Cameron Bethel M B Church,47
David McRae,State Treasurer,,R,Madison,Cameron Bethel M B Church,61
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Madison,Cameron Bethel M B Church,45
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Madison,Cameron Bethel M B Church,62
Barbara Blackmon,State Senate,21,D,Madison,Cameron Bethel M B Church,68
Kenneth Walker,State House,27,D,Madison,Cameron Bethel M B Church,69
Jim Hood,Governor,,D,Madison,Canton Anderson Lodge,662
Tate Reeves,Governor,,R,Madison,Canton Anderson Lodge,11
Bob Hickingbottom,Governor,,C,Madison,Canton Anderson Lodge,1
David R Singletary,Governor,,IND,Madison,Canton Anderson Lodge,1
Delbert Hosemann,Lieutenant Governor,,R,Madison,Canton Anderson Lodge,57
Jay Hughes,Lieutenant Governor,,D,Madison,Canton Anderson Lodge,612
Johnny DuPree,Secretary of State,,D,Madison,Canton Anderson Lodge,643
Michael Watson,Secretary of State,,R,Madison,Canton Anderson Lodge,22
Jennifer Riley Collins,Attorney General,,D,Madison,Canton Anderson Lodge,656
Lynn Fitch,Attorney General,,R,Madison,Canton Anderson Lodge,13
Shad White,State Auditor,,R,Madison,Canton Anderson Lodge,186
Addie Lee Green,State Treasurer,,D,Madison,Canton Anderson Lodge,647
David McRae,State Treasurer,,R,Madison,Canton Anderson Lodge,20
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Madison,Canton Anderson Lodge,641
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Madison,Canton Anderson Lodge,19
Barbara Blackmon,State Senate,21,D,Madison,Canton Anderson Lodge,628
Edward Blackmon Jr.,State House,57,D,Madison,Canton Anderson Lodge,621
Jim Hood,Governor,,D,Madison,Canton Bible Church,237
Tate Reeves,Governor,,R,Madison,Canton Bible Church,4
Bob Hickingbottom,Governor,,C,Madison,Canton Bible Church,1
David R Singletary,Governor,,IND,Madison,Canton Bible Church,2
Delbert Hosemann,Lieutenant Governor,,R,Madison,Canton Bible Church,22
Jay Hughes,Lieutenant Governor,,D,Madison,Canton Bible Church,216
Johnny DuPree,Secretary of State,,D,Madison,Canton Bible Church,231
Michael Watson,Secretary of State,,R,Madison,Canton Bible Church,8
Jennifer Riley Collins,Attorney General,,D,Madison,Canton Bible Church,235
Lynn Fitch,Attorney General,,R,Madison,Canton Bible Church,9
Shad White,State Auditor,,R,Madison,Canton Bible Church,61
Addie Lee Green,State Treasurer,,D,Madison,Canton Bible Church,236
David McRae,State Treasurer,,R,Madison,Canton Bible Church,5
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Madison,Canton Bible Church,233
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Madison,Canton Bible Church,8
Barbara Blackmon,State Senate,21,D,Madison,Canton Bible Church,227
Edward Blackmon Jr.,State House,57,D,Madison,Canton Bible Church,224
Jim Hood,Governor,,D,Madison,Canton Catholic Parish Center,643
Tate Reeves,Governor,,R,Madison,Canton Catholic Parish Center,163
Bob Hickingbottom,Governor,,C,Madison,Canton Catholic Parish Center,1
David R Singletary,Governor,,IND,Madison,Canton Catholic Parish Center,4
Delbert Hosemann,Lieutenant Governor,,R,Madison,Canton Catholic Parish Center,234
Jay Hughes,Lieutenant Governor,,D,Madison,Canton Catholic Parish Center,563
Johnny DuPree,Secretary of State,,D,Madison,Canton Catholic Parish Center,608
Michael Watson,Secretary of State,,R,Madison,Canton Catholic Parish Center,192
Jennifer Riley Collins,Attorney General,,D,Madison,Canton Catholic Parish Center,604
Lynn Fitch,Attorney General,,R,Madison,Canton Catholic Parish Center,194
Shad White,State Auditor,,R,Madison,Canton Catholic Parish Center,362
Addie Lee Green,State Treasurer,,D,Madison,Canton Catholic Parish Center,588
David McRae,State Treasurer,,R,Madison,Canton Catholic Parish Center,207
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Madison,Canton Catholic Parish Center,599
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Madison,Canton Catholic Parish Center,195
Barbara Blackmon,State Senate,21,D,Madison,Canton Catholic Parish Center,658
Edward Blackmon Jr.,State House,57,D,Madison,Canton Catholic Parish Center,656
Jim Hood,Governor,,D,Madison,Canton Community Center,854
Tate Reeves,Governor,,R,Madison,Canton Community Center,99
Bob Hickingbottom,Governor,,C,Madison,Canton Community Center,0
David R Singletary,Governor,,IND,Madison,Canton Community Center,3
Delbert Hosemann,Lieutenant Governor,,R,Madison,Canton Community Center,159
Jay Hughes,Lieutenant Governor,,D,Madison,Canton Community Center,793
Johnny DuPree,Secretary of State,,D,Madison,Canton Community Center,835
Michael Watson,Secretary of State,,R,Madison,Canton Community Center,112
Jennifer Riley Collins,Attorney General,,D,Madison,Canton Community Center,838
Lynn Fitch,Attorney General,,R,Madison,Canton Community Center,109
Shad White,State Auditor,,R,Madison,Canton Community Center,337
Addie Lee Green,State Treasurer,,D,Madison,Canton Community Center,837
David McRae,State Treasurer,,R,Madison,Canton Community Center,113
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Madison,Canton Community Center,833
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Madison,Canton Community Center,112
Barbara Blackmon,State Senate,21,D,Madison,Canton Community Center,872
Edward Blackmon Jr.,State House,57,D,Madison,Canton Community Center,861
Jim Hood,Governor,,D,Madison,Canton Fire Station #4,211
Tate Reeves,Governor,,R,Madison,Canton Fire Station #4,61
Bob Hickingbottom,Governor,,C,Madison,Canton Fire Station #4,1
David R Singletary,Governor,,IND,Madison,Canton Fire Station #4,1
Delbert Hosemann,Lieutenant Governor,,R,Madison,Canton Fire Station #4,84
Jay Hughes,Lieutenant Governor,,D,Madison,Canton Fire Station #4,187
Johnny DuPree,Secretary of State,,D,Madison,Canton Fire Station #4,194
Michael Watson,Secretary of State,,R,Madison,Canton Fire Station #4,75
Jennifer Riley Collins,Attorney General,,D,Madison,Canton Fire Station #4,200
Lynn Fitch,Attorney General,,R,Madison,Canton Fire Station #4,73
Shad White,State Auditor,,R,Madison,Canton Fire Station #4,120
Addie Lee Green,State Treasurer,,D,Madison,Canton Fire Station #4,190
David McRae,State Treasurer,,R,Madison,Canton Fire Station #4,78
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Madison,Canton Fire Station #4,190
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Madison,Canton Fire Station #4,80
Barbara Blackmon,State Senate,21,D,Madison,Canton Fire Station #4,216
Edward Blackmon Jr.,State House,57,D,Madison,Canton Fire Station #4,212
Jim Hood,Governor,,D,Madison,Canton National Guard Armory,135
Tate Reeves,Governor,,R,Madison,Canton National Guard Armory,73
Bob Hickingbottom,Governor,,C,Madison,Canton National Guard Armory,0
David R Singletary,Governor,,IND,Madison,Canton National Guard Armory,0
Delbert Hosemann,Lieutenant Governor,,R,Madison,Canton National Guard Armory,91
