page,candidate,office,district,party,county,precinct,votes
2,Jim Hood,Governor,,D,Newton,Chunky,35
2,Tate Reeves,Governor,,R,Newton,Chunky,273
2,Bob Hickingbottom,Governor,,C,Newton,Chunky,1
2,David R Singletary,Governor,,IND,Newton,Chunky,9
2,Delbert Hosemann,Lieutenant Governor,,R,Newton,Chunky,298
2,Jay Hughes,Lieutenant Governor,,D,Newton,Chunky,26
2,Johnny DuPree,Secretary of State,,D,Newton,Chunky,26
2,Michael Watson,Secretary of State,,R,Newton,Chunky,294
2,Jennifer Riley Collins,Attorney General,,D,Newton,Chunky,31
2,Lynn Fitch,Attorney General,,R,Newton,Chunky,289
2,Shad White,State Auditor,,R,Newton,Chunky,305
4,Addie Lee Green,State Treasurer,,D,Newton,Chunky,21
4,David McRae,State Treasurer,,R,Newton,Chunky,300
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Newton,Chunky,18
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Newton,Chunky,304
6,Mike Marlow,State Senate,31,D,Newton,Chunky,32
6,Tyler McCaughn,State Senate,31,R,Newton,Chunky,290
6,Joe C Bradford,State Senate,78,D,Newton,Chunky,X
6,Randal 'Randy'Rushing,State Senate,78,R,Newton,Chunky,X
6,Troy Smith,State House,84,R,Newton,Chunky,251
6,Roy May,State House,84,IND,Newton,Chunky,69
2,Jim Hood,Governor,,D,Newton,Conehatta,119
2,Tate Reeves,Governor,,R,Newton,Conehatta,212
2,Bob Hickingbottom,Governor,,C,Newton,Conehatta,2
2,David R Singletary,Governor,,IND,Newton,Conehatta,13
2,Delbert Hosemann,Lieutenant Governor,,R,Newton,Conehatta,240
2,Jay Hughes,Lieutenant Governor,,D,Newton,Conehatta,106
2,Johnny DuPree,Secretary of State,,D,Newton,Conehatta,99
2,Michael Watson,Secretary of State,,R,Newton,Conehatta,242
2,Jennifer Riley Collins,Attorney General,,D,Newton,Conehatta,100
2,Lynn Fitch,Attorney General,,R,Newton,Conehatta,243
2,Shad White,State Auditor,,R,Newton,Conehatta,302
4,Addie Lee Green,State Treasurer,,D,Newton,Conehatta,89
4,David McRae,State Treasurer,,R,Newton,Conehatta,253
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Newton,Conehatta,89
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Newton,Conehatta,253
6,Mike Marlow,State Senate,31,D,Newton,Conehatta,87
6,Tyler McCaughn,State Senate,31,R,Newton,Conehatta,255
6,Joe C Bradford,State Senate,78,D,Newton,Conehatta,116
6,Randal 'Randy'Rushing,State Senate,78,R,Newton,Conehatta,225
6,Troy Smith,State House,84,R,Newton,Conehatta,X
6,Roy May,State House,84,IND,Newton,Conehatta,X
2,Jim Hood,Governor,,D,Newton,Decatur #1,169
2,Tate Reeves,Governor,,R,Newton,Decatur #1,259
2,Bob Hickingbottom,Governor,,C,Newton,Decatur #1,3
2,David R Singletary,Governor,,IND,Newton,Decatur #1,10
2,Delbert Hosemann,Lieutenant Governor,,R,Newton,Decatur #1,304
2,Jay Hughes,Lieutenant Governor,,D,Newton,Decatur #1,141
2,Johnny DuPree,Secretary of State,,D,Newton,Decatur #1,136
2,Michael Watson,Secretary of State,,R,Newton,Decatur #1,305
2,Jennifer Riley Collins,Attorney General,,D,Newton,Decatur #1,140
2,Lynn Fitch,Attorney General,,R,Newton,Decatur #1,302
2,Shad White,State Auditor,,R,Newton,Decatur #1,352
4,Addie Lee Green,State Treasurer,,D,Newton,Decatur #1,129
4,David McRae,State Treasurer,,R,Newton,Decatur #1,314
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Newton,Decatur #1,135
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Newton,Decatur #1,307
6,Mike Marlow,State Senate,31,D,Newton,Decatur #1,125
6,Tyler McCaughn,State Senate,31,R,Newton,Decatur #1,315
6,Joe C Bradford,State Senate,78,D,Newton,Decatur #1,102
6,Randal 'Randy'Rushing,State Senate,78,R,Newton,Decatur #1,269
6,Troy Smith,State House,84,R,Newton,Decatur #1,35
6,Roy May,State House,84,IND,Newton,Decatur #1,32
2,Jim Hood,Governor,,D,Newton,Decatur 2,104
2,Tate Reeves,Governor,,R,Newton,Decatur 2,247
2,Bob Hickingbottom,Governor,,C,Newton,Decatur 2,2
2,David R Singletary,Governor,,IND,Newton,Decatur 2,5
2,Delbert Hosemann,Lieutenant Governor,,R,Newton,Decatur 2,305
2,Jay Hughes,Lieutenant Governor,,D,Newton,Decatur 2,59
2,Johnny DuPree,Secretary of State,,D,Newton,Decatur 2,47
2,Michael Watson,Secretary of State,,R,Newton,Decatur 2,312
2,Jennifer Riley Collins,Attorney General,,D,Newton,Decatur 2,58
2,Lynn Fitch,Attorney General,,R,Newton,Decatur 2,304
2,Shad White,State Auditor,,R,Newton,Decatur 2,333
4,Addie Lee Green,State Treasurer,,D,Newton,Decatur 2,45
4,David McRae,State Treasurer,,R,Newton,Decatur 2,314
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Newton,Decatur 2,46
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Newton,Decatur 2,314
6,Mike Marlow,State Senate,31,D,Newton,Decatur 2,42
6,Tyler McCaughn,State Senate,31,R,Newton,Decatur 2,317
6,Joe C Bradford,State Senate,78,D,Newton,Decatur 2,58
6,Randal 'Randy'Rushing,State Senate,78,R,Newton,Decatur 2,289
6,Troy Smith,State House,84,R,Newton,Decatur 2,11
6,Roy May,State House,84,IND,Newton,Decatur 2,4
2,Jim Hood,Governor,,D,Newton,Duffee,51
2,Tate Reeves,Governor,,R,Newton,Duffee,332
2,Bob Hickingbottom,Governor,,C,Newton,Duffee,1
2,David R Singletary,Governor,,IND,Newton,Duffee,5
2,Delbert Hosemann,Lieutenant Governor,,R,Newton,Duffee,357
2,Jay Hughes,Lieutenant Governor,,D,Newton,Duffee,30
2,Johnny DuPree,Secretary of State,,D,Newton,Duffee,28
2,Michael Watson,Secretary of State,,R,Newton,Duffee,353
2,Jennifer Riley Collins,Attorney General,,D,Newton,Duffee,29
2,Lynn Fitch,Attorney General,,R,Newton,Duffee,356
2,Shad White,State Auditor,,R,Newton,Duffee,351
4,Addie Lee Green,State Treasurer,,D,Newton,Duffee,23
4,David McRae,State Treasurer,,R,Newton,Duffee,362
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Newton,Duffee,30
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Newton,Duffee,356
6,Mike Marlow,State Senate,31,D,Newton,Duffee,32
6,Tyler McCaughn,State Senate,31,R,Newton,Duffee,352
6,Joe C Bradford,State Senate,78,D,Newton,Duffee,X
6,Randal 'Randy'Rushing,State Senate,78,R,Newton,Duffee,X
6,Troy Smith,State House,84,R,Newton,Duffee,323
6,Roy May,State House,84,IND,Newton,Duffee,59
2,Jim Hood,Governor,,D,Newton,Hickory,299
2,Tate Reeves,Governor,,R,Newton,Hickory,613
2,Bob Hickingbottom,Governor,,C,Newton,Hickory,4
2,David R Singletary,Governor,,IND,Newton,Hickory,16
2,Delbert Hosemann,Lieutenant Governor,,R,Newton,Hickory,679
2,Jay Hughes,Lieutenant Governor,,D,Newton,Hickory,256
2,Johnny DuPree,Secretary of State,,D,Newton,Hickory,254
2,Michael Watson,Secretary of State,,R,Newton,Hickory,673
2,Jennifer Riley Collins,Attorney General,,D,Newton,Hickory,256
2,Lynn Fitch,Attorney General,,R,Newton,Hickory,674
2,Shad White,State Auditor,,R,Newton,Hickory,778
4,Addie Lee Green,State Treasurer,,D,Newton,Hickory,234
4,David McRae,State Treasurer,,R,Newton,Hickory,692
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Newton,Hickory,239
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Newton,Hickory,685
6,Mike Marlow,State Senate,31,D,Newton,Hickory,213
6,Tyler McCaughn,State Senate,31,R,Newton,Hickory,712
6,Joe C Bradford,State Senate,78,D,Newton,Hickory,X
6,Randal 'Randy'Rushing,State Senate,78,R,Newton,Hickory,X
6,Troy Smith,State House,84,R,Newton,Hickory,541
6,Roy May,State House,84,IND,Newton,Hickory,369
2,Jim Hood,Governor,,D,Newton,Lawrence,295
2,Tate Reeves,Governor,,R,Newton,Lawrence,419
2,Bob Hickingbottom,Governor,,C,Newton,Lawrence,3
2,David R Singletary,Governor,,IND,Newton,Lawrence,4
2,Delbert Hosemann,Lieutenant Governor,,R,Newton,Lawrence,445
2,Jay Hughes,Lieutenant Governor,,D,Newton,Lawrence,275
2,Johnny DuPree,Secretary of State,,D,Newton,Lawrence,265
2,Michael Watson,Secretary of State,,R,Newton,Lawrence,452
2,Jennifer Riley Collins,Attorney General,,D,Newton,Lawrence,261
2,Lynn Fitch,Attorney General,,R,Newton,Lawrence,456
2,Shad White,State Auditor,,R,Newton,Lawrence,583
4,Addie Lee Green,State Treasurer,,D,Newton,Lawrence,257
4,David McRae,State Treasurer,,R,Newton,Lawrence,458
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Newton,Lawrence,260
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Newton,Lawrence,456
6,Mike Marlow,State Senate,31,D,Newton,Lawrence,248
6,Tyler McCaughn,State Senate,31,R,Newton,Lawrence,464
6,Joe C Bradford,State Senate,78,D,Newton,Lawrence,298
6,Randal 'Randy'Rushing,State Senate,78,R,Newton,Lawrence,416
6,Troy Smith,State House,84,R,Newton,Lawrence,X
6,Roy May,State House,84,IND,Newton,Lawrence,X
2,Jim Hood,Governor,,D,Newton,Little Rock,66
2,Tate Reeves,Governor,,R,Newton,Little Rock,486
2,Bob Hickingbottom,Governor,,C,Newton,Little Rock,0
2,David R Singletary,Governor,,IND,Newton,Little Rock,4
2,Delbert Hosemann,Lieutenant Governor,,R,Newton,Little Rock,506
2,Jay Hughes,Lieutenant Governor,,D,Newton,Little Rock,50
2,Johnny DuPree,Secretary of State,,D,Newton,Little Rock,41
2,Michael Watson,Secretary of State,,R,Newton,Little Rock,512
2,Jennifer Riley Collins,Attorney General,,D,Newton,Little Rock,46
2,Lynn Fitch,Attorney General,,R,Newton,Little Rock,510
2,Shad White,State Auditor,,R,Newton,Little Rock,527
4,Addie Lee Green,State Treasurer,,D,Newton,Little Rock,39
4,David McRae,State Treasurer,,R,Newton,Little Rock,515
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Newton,Little Rock,35
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Newton,Little Rock,517
6,Mike Marlow,State Senate,31,D,Newton,Little Rock,37
6,Tyler McCaughn,State Senate,31,R,Newton,Little Rock,519
6,Joe C Bradford,State Senate,78,D,Newton,Little Rock,78
6,Randal 'Randy'Rushing,State Senate,78,R,Newton,Little Rock,475
6,Troy Smith,State House,84,R,Newton,Little Rock,X
