candidate,office,district,party,county,precinct,votes
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,East Bentonia,146
Barbara Blackmon,State Senate,21,D,Yazoo,East Bentonia,
Hayes Dent,State Senate,22,R,Yazoo,East Bentonia,
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,East Bentonia,
Briggs Hopson,State Senate,23,R,Yazoo,East Bentonia,171
Kenneth Walker,State House,27,D,Yazoo,East Bentonia,
Bryant Clark,State House,47,D,Yazoo,East Bentonia,
Rufus E Straughter,State House,51,D,Yazoo,East Bentonia,
Kevin Ford,State House,54,R,Yazoo,East Bentonia,171
Stephanie McKenzie Foster,State House,63,D,Yazoo,East Bentonia,
Jim Hood,Governor,,D,Yazoo,Eden,54
Tate Reeves,Governor,,R,Yazoo,Eden,136
Bob Hickingbottom,Governor,,C,Yazoo,Eden,1
David R Singletary,Governor,,IND,Yazoo,Eden,2
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Eden,151
Jay Hughes,Lieutenant Governor,,D,Yazoo,Eden,3
Johnny DuPree,Secretary of State,,D,Yazoo,Eden,38
Michael Watson,Secretary of State,,R,Yazoo,Eden,144
Jennifer Riley Collins,Attorney General,,D,Yazoo,Eden,42
Lynn Fitch,Attorney General,,R,Yazoo,Eden,149
Shad White,State Auditor,,R,Yazoo,Eden,156
Addie Lee Green,State Treasurer,,D,Yazoo,Eden,37
David McRae,State Treasurer,,R,Yazoo,Eden,153
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Eden,40
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Eden,147
Barbara Blackmon,State Senate,21,D,Yazoo,Eden,
Hayes Dent,State Senate,22,R,Yazoo,Eden,148
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Eden,43
Briggs Hopson,State Senate,23,R,Yazoo,Eden,
Kenneth Walker,State House,27,D,Yazoo,Eden,
Bryant Clark,State House,47,D,Yazoo,Eden,111
Rufus E Straughter,State House,51,D,Yazoo,Eden,
Kevin Ford,State House,54,R,Yazoo,Eden,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Eden,
Jim Hood,Governor,,D,Yazoo,Free Run,33
Tate Reeves,Governor,,R,Yazoo,Free Run,92
Bob Hickingbottom,Governor,,C,Yazoo,Free Run,0
David R Singletary,Governor,,IND,Yazoo,Free Run,1
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Free Run,104
Jay Hughes,Lieutenant Governor,,D,Yazoo,Free Run,20
Johnny DuPree,Secretary of State,,D,Yazoo,Free Run,24
Michael Watson,Secretary of State,,R,Yazoo,Free Run,98
Jennifer Riley Collins,Attorney General,,D,Yazoo,Free Run,29
Lynn Fitch,Attorney General,,R,Yazoo,Free Run,97
Shad White,State Auditor,,R,Yazoo,Free Run,110
Addie Lee Green,State Treasurer,,D,Yazoo,Free Run,20
David McRae,State Treasurer,,R,Yazoo,Free Run,105
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Free Run,28
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Free Run,97
Barbara Blackmon,State Senate,21,D,Yazoo,Free Run,
Hayes Dent,State Senate,22,R,Yazoo,Free Run,105
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Free Run,18
Briggs Hopson,State Senate,23,R,Yazoo,Free Run,
Kenneth Walker,State House,27,D,Yazoo,Free Run,
Bryant Clark,State House,47,D,Yazoo,Free Run,85
Rufus E Straughter,State House,51,D,Yazoo,Free Run,
Kevin Ford,State House,54,R,Yazoo,Free Run,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Free Run,
Jim Hood,Governor,,D,Yazoo,Fugates,151
Tate Reeves,Governor,,R,Yazoo,Fugates,152
Bob Hickingbottom,Governor,,C,Yazoo,Fugates,0
David R Singletary,Governor,,IND,Yazoo,Fugates,2
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Fugates,162
Jay Hughes,Lieutenant Governor,,D,Yazoo,Fugates,133
Johnny DuPree,Secretary of State,,D,Yazoo,Fugates,146
Michael Watson,Secretary of State,,R,Yazoo,Fugates,153
Jennifer Riley Collins,Attorney General,,D,Yazoo,Fugates,147
Lynn Fitch,Attorney General,,R,Yazoo,Fugates,153
Shad White,State Auditor,,R,Yazoo,Fugates,186
Addie Lee Green,State Treasurer,,D,Yazoo,Fugates,139
David McRae,State Treasurer,,R,Yazoo,Fugates,158
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Fugates,141
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Fugates,156
Barbara Blackmon,State Senate,21,D,Yazoo,Fugates,
Hayes Dent,State Senate,22,R,Yazoo,Fugates,154
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Fugates,148
Briggs Hopson,State Senate,23,R,Yazoo,Fugates,
Kenneth Walker,State House,27,D,Yazoo,Fugates,
Bryant Clark,State House,47,D,Yazoo,Fugates,
