page,candidate,office,district,party,county,precinct,votes
2,Tate Reeves,Governor,,R,Montgomery,Duck Hill,23
2,Bill Waller Jr.,Governor,,R,Montgomery,Duck Hill,14
2,Tate Reeves,Governor,,R,Montgomery,East Winona,10
2,Bill Waller Jr.,Governor,,R,Montgomery,East Winona,11
2,Tate Reeves,Governor,,R,Montgomery,Kilmichael,19
2,Bill Waller Jr.,Governor,,R,Montgomery,Kilmichael,22
2,Tate Reeves,Governor,,R,Montgomery,Lodi,4
2,Bill Waller Jr.,Governor,,R,Montgomery,Lodi,2
2,Tate Reeves,Governor,,R,Montgomery,Mt. Pisgah,21
2,Bill Waller Jr.,Governor,,R,Montgomery,Mt. Pisgah,13
2,Tate Reeves,Governor,,R,Montgomery,North Duck Hill,9
2,Bill Waller Jr.,Governor,,R,Montgomery,North Duck Hill,11
2,Tate Reeves,Governor,,R,Montgomery,North Kilmichael,4
2,Bill Waller Jr.,Governor,,R,Montgomery,North Kilmichael,0
2,Tate Reeves,Governor,,R,Montgomery,North Mt Pisgah Sweethome,13
2,Bill Waller Jr.,Governor,,R,Montgomery,North Mt Pisgah Sweethome,8
2,Tate Reeves,Governor,,R,Montgomery,North Winona,40
2,Bill Waller Jr.,Governor,,R,Montgomery,North Winona,35
2,Tate Reeves,Governor,,R,Montgomery,Nations,16
2,Bill Waller Jr.,Governor,,R,Montgomery,Nations,10
2,Tate Reeves,Governor,,R,Montgomery,Poplar Creek,9
2,Bill Waller Jr.,Governor,,R,Montgomery,Poplar Creek,5
3,Tate Reeves,Governor,,R,Montgomery,South Winona,16
3,Bill Waller Jr.,Governor,,R,Montgomery,South Winona,11
3,Tate Reeves,Governor,,R,Montgomery,Southeast Winona,8
3,Bill Waller Jr.,Governor,,R,Montgomery,Southeast Winona,4
3,Tate Reeves,Governor,,R,Montgomery,Stewart,15
3,Bill Waller Jr.,Governor,,R,Montgomery,Stewart,2
3,Tate Reeves,Governor,,R,Montgomery,West Winona,18
3,Bill Waller Jr.,Governor,,R,Montgomery,West Winona,15
3,Tate Reeves,Governor,,R,Montgomery,TOTAL,225
3,Bill Waller Jr.,Governor,,R,Montgomery,TOTAL,163
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
