candidate,office,district,party,county,precinct,votes
Jim Hood,Governor,,D,Lincoln ,Alexander,338
Tate Reeves,Governor,,R,Lincoln ,Alexander,10
Bob Hickingbottom,Governor,,C,Lincoln ,Alexander,0
David R Singletary,Governor,,IND,Lincoln ,Alexander,1
Delbert Hosemann,Lieutenant Governor,,R,Lincoln ,Alexander,26
Jay Hughes,Lieutenant Governor,,D,Lincoln ,Alexander,314
Johnny DuPree,Secretary of State,,D,Lincoln ,Alexander,327
Michael Watson,Secretary of State,,R,Lincoln ,Alexander,16
Jennifer Riley Collins,Attorney General,,D,Lincoln ,Alexander,335
Lynn Fitch,Attorney General,,R,Lincoln ,Alexander,12
Shad White,State Auditor,,R,Lincoln ,Alexander,141
Addie Lee Green,State Treasurer,,D,Lincoln ,Alexander,332
David McRae,State Treasurer,,R,Lincoln ,Alexander,15
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lincoln ,Alexander,323
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lincoln ,Alexander,19
Sally Doty,State Senate,39,R,Lincoln ,Alexander,133
Rita Wilkinson Goss,State House,53,D,Lincoln ,Alexander,323
Vince Mangold,State House,53,R,Lincoln ,Alexander,18
Becky Currie,State House,92,R,Lincoln ,Alexander,x
Jim Hood,Governor,,D,Lincoln ,Arlington,108
Tate Reeves,Governor,,R,Lincoln ,Arlington,294
Bob Hickingbottom,Governor,,C,Lincoln ,Arlington,1
David R Singletary,Governor,,IND,Lincoln ,Arlington,4
Delbert Hosemann,Lieutenant Governor,,R,Lincoln ,Arlington,318
Jay Hughes,Lieutenant Governor,,D,Lincoln ,Arlington,81
Johnny DuPree,Secretary of State,,D,Lincoln ,Arlington,85
Michael Watson,Secretary of State,,R,Lincoln ,Arlington,315
Jennifer Riley Collins,Attorney General,,D,Lincoln ,Arlington,85
Lynn Fitch,Attorney General,,R,Lincoln ,Arlington,323
Shad White,State Auditor,,R,Lincoln ,Arlington,346
Addie Lee Green,State Treasurer,,D,Lincoln ,Arlington,72
David McRae,State Treasurer,,R,Lincoln ,Arlington,330
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lincoln ,Arlington,87
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lincoln ,Arlington,313
Sally Doty,State Senate,39,R,Lincoln ,Arlington,340
Rita Wilkinson Goss,State House,53,D,Lincoln ,Arlington,124
Vince Mangold,State House,53,R,Lincoln ,Arlington,282
Becky Currie,State House,92,R,Lincoln ,Arlington,x
Jim Hood,Governor,,D,Lincoln ,Big Springs,47
Tate Reeves,Governor,,R,Lincoln ,Big Springs,106
Bob Hickingbottom,Governor,,C,Lincoln ,Big Springs,0
David R Singletary,Governor,,IND,Lincoln ,Big Springs,1
Delbert Hosemann,Lieutenant Governor,,R,Lincoln ,Big Springs,115
Jay Hughes,Lieutenant Governor,,D,Lincoln ,Big Springs,35
Johnny DuPree,Secretary of State,,D,Lincoln ,Big Springs,34
Michael Watson,Secretary of State,,R,Lincoln ,Big Springs,119
Jennifer Riley Collins,Attorney General,,D,Lincoln ,Big Springs,38
Lynn Fitch,Attorney General,,R,Lincoln ,Big Springs,116
Shad White,State Auditor,,R,Lincoln ,Big Springs,127
Addie Lee Green,State Treasurer,,D,Lincoln ,Big Springs,33
David McRae,State Treasurer,,R,Lincoln ,Big Springs,117
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lincoln ,Big Springs,37
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lincoln ,Big Springs,116
Sally Doty,State Senate,39,R,Lincoln ,Big Springs,121
Rita Wilkinson Goss,State House,53,D,Lincoln ,Big Springs,x
Vince Mangold,State House,53,R,Lincoln ,Big Springs,x
Becky Currie,State House,92,R,Lincoln ,Big Springs,126
Jim Hood,Governor,,D,Lincoln ,Bogue Chitto,131
Tate Reeves,Governor,,R,Lincoln ,Bogue Chitto,128
Bob Hickingbottom,Governor,,C,Lincoln ,Bogue Chitto,0
David R Singletary,Governor,,IND,Lincoln ,Bogue Chitto,2
Delbert Hosemann,Lieutenant Governor,,R,Lincoln ,Bogue Chitto,151
Jay Hughes,Lieutenant Governor,,D,Lincoln ,Bogue Chitto,103
Johnny DuPree,Secretary of State,,D,Lincoln ,Bogue Chitto,113
Michael Watson,Secretary of State,,R,Lincoln ,Bogue Chitto,144
Jennifer Riley Collins,Attorney General,,D,Lincoln ,Bogue Chitto,118
Lynn Fitch,Attorney General,,R,Lincoln ,Bogue Chitto,139
Shad White,State Auditor,,R,Lincoln ,Bogue Chitto,194
Addie Lee Green,State Treasurer,,D,Lincoln ,Bogue Chitto,114
David McRae,State Treasurer,,R,Lincoln ,Bogue Chitto,141
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lincoln ,Bogue Chitto,116
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lincoln ,Bogue Chitto,139
Sally Doty,State Senate,39,R,Lincoln ,Bogue Chitto,192
Rita Wilkinson Goss,State House,53,D,Lincoln ,Bogue Chitto,133
Vince Mangold,State House,53,R,Lincoln ,Bogue Chitto,124
Becky Currie,State House,92,R,Lincoln ,Bogue Chitto,x
Jim Hood,Governor,,D,Lincoln ,Brignal/Rogers Circle,352
Tate Reeves,Governor,,R,Lincoln ,Brignal/Rogers Circle,108
Bob Hickingbottom,Governor,,C,Lincoln ,Brignal/Rogers Circle,1
David R Singletary,Governor,,IND,Lincoln ,Brignal/Rogers Circle,3
Delbert Hosemann,Lieutenant Governor,,R,Lincoln ,Brignal/Rogers Circle,141
Jay Hughes,Lieutenant Governor,,D,Lincoln ,Brignal/Rogers Circle,309
Johnny DuPree,Secretary of State,,D,Lincoln ,Brignal/Rogers Circle,330
Michael Watson,Secretary of State,,R,Lincoln ,Brignal/Rogers Circle,121
Jennifer Riley Collins,Attorney General,,D,Lincoln ,Brignal/Rogers Circle,341
Lynn Fitch,Attorney General,,R,Lincoln ,Brignal/Rogers Circle,119
