candidate,office,district,party,county,precinct,votes
Jim Hood,Governor,,D,Lamar,Lamar Park,463
Tate Reeves,Governor,,R,Lamar,Lamar Park,364
Bob Hickingbottom,Governor,,C,Lamar,Lamar Park,2
David R Singletary,Governor,,IND,Lamar,Lamar Park,9
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Lamar Park,448
Jay Hughes,Lieutenant Governor,,D,Lamar,Lamar Park,384
Johnny DuPree,Secretary of State,,D,Lamar,Lamar Park,382
Michael Watson,Secretary of State,,R,Lamar,Lamar Park,454
Jennifer Riley Collins,Attorney General,,D,Lamar,Lamar Park,415
Lynn Fitch,Attorney General,,R,Lamar,Lamar Park,418
Shad White,State Auditor,,R,Lamar,Lamar Park,633
Addie Lee Green,State Treasurer,,D,Lamar,Lamar Park,381
David McRae,State Treasurer,,R,Lamar,Lamar Park,447
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Lamar Park,409
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,Lamar Park,419
John A Polk,State Senate,44,R,Lamar,Lamar Park,631
William E 'Billy' Andrews III,State House,87,R,Lamar,Lamar Park,634
Jim Hood,Governor,,D,Lamar,Okahola,111
Tate Reeves,Governor,,R,Lamar,Okahola,238
Bob Hickingbottom,Governor,,C,Lamar,Okahola,1
David R Singletary,Governor,,IND,Lamar,Okahola,5
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Okahola,255
Jay Hughes,Lieutenant Governor,,D,Lamar,Okahola,100
Johnny DuPree,Secretary of State,,D,Lamar,Okahola,85
Michael Watson,Secretary of State,,R,Lamar,Okahola,268
Jennifer Riley Collins,Attorney General,,D,Lamar,Okahola,89
Lynn Fitch,Attorney General,,R,Lamar,Okahola,262
Shad White,State Auditor,,R,Lamar,Okahola,297
Addie Lee Green,State Treasurer,,D,Lamar,Okahola,84
David McRae,State Treasurer,,R,Lamar,Okahola,267
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Okahola,86
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,Okahola,264
John A Polk,State Senate,44,R,Lamar,Okahola,299
William E 'Billy' Andrews III,State House,87,R,Lamar,Okahola,297
Jim Hood,Governor,,D,Lamar,Richburg,437
Tate Reeves,Governor,,R,Lamar,Richburg,657
Bob Hickingbottom,Governor,,C,Lamar,Richburg,3
David R Singletary,Governor,,IND,Lamar,Richburg,23
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Richburg,761
Jay Hughes,Lieutenant Governor,,D,Lamar,Richburg,355
Johnny DuPree,Secretary of State,,D,Lamar,Richburg,307
Michael Watson,Secretary of State,,R,Lamar,Richburg,809
Jennifer Riley Collins,Attorney General,,D,Lamar,Richburg,345
Lynn Fitch,Attorney General,,R,Lamar,Richburg,774
Shad White,State Auditor,,R,Lamar,Richburg,946
Addie Lee Green,State Treasurer,,D,Lamar,Richburg,330
David McRae,State Treasurer,,R,Lamar,Richburg,784
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Richburg,355
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,Richburg,754
John A Polk,State Senate,44,R,Lamar,Richburg,945
William E 'Billy' Andrews III,State House,87,R,Lamar,Richburg,936
Jim Hood,Governor,,D,Lamar,Northeast Lamar,361
Tate Reeves,Governor,,R,Lamar,Northeast Lamar,342
Bob Hickingbottom,Governor,,C,Lamar,Northeast Lamar,2
David R Singletary,Governor,,IND,Lamar,Northeast Lamar,4
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Northeast Lamar,410
Jay Hughes,Lieutenant Governor,,D,Lamar,Northeast Lamar,301
Johnny DuPree,Secretary of State,,D,Lamar,Northeast Lamar,286
Michael Watson,Secretary of State,,R,Lamar,Northeast Lamar,419
Jennifer Riley Collins,Attorney General,,D,Lamar,Northeast Lamar,317
Lynn Fitch,Attorney General,,R,Lamar,Northeast Lamar,393
Shad White,State Auditor,,R,Lamar,Northeast Lamar,557
Addie Lee Green,State Treasurer,,D,Lamar,Northeast Lamar,298
David McRae,State Treasurer,,R,Lamar,Northeast Lamar,409
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Northeast Lamar,320
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,Northeast Lamar,384
John A Polk,State Senate,44,R,Lamar,Northeast Lamar,555
William E 'Billy' Andrews III,State House,87,R,Lamar,Northeast Lamar,546
Jim Hood,Governor,,D,Lamar,Lumberton,380
Tate Reeves,Governor,,R,Lamar,Lumberton,340
Bob Hickingbottom,Governor,,C,Lamar,Lumberton,3
David R Singletary,Governor,,IND,Lamar,Lumberton,5
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Lumberton,385
Jay Hughes,Lieutenant Governor,,D,Lamar,Lumberton,333
Johnny DuPree,Secretary of State,,D,Lamar,Lumberton,353
Michael Watson,Secretary of State,,R,Lamar,Lumberton,370
Jennifer Riley Collins,Attorney General,,D,Lamar,Lumberton,361
Lynn Fitch,Attorney General,,R,Lamar,Lumberton,361
Shad White,State Auditor,,R,Lamar,Lumberton,519
Addie Lee Green,State Treasurer,,D,Lamar,Lumberton,343
David McRae,State Treasurer,,R,Lamar,Lumberton,377
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Lumberton,357
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,Lumberton,362
John A Polk,State Senate,44,R,Lamar,Lumberton,516
Jansen Owen,State House,106,R,Lamar,Lumberton,520
Jim Hood,Governor,,D,Lamar,South Purvis,146
Tate Reeves,Governor,,R,Lamar,South Purvis,849
Bob Hickingbottom,Governor,,C,Lamar,South Purvis,3
David R Singletary,Governor,,IND,Lamar,South Purvis,13
Delbert Hosemann,Lieutenant Governor,,R,Lamar,South Purvis,896
Jay Hughes,Lieutenant Governor,,D,Lamar,South Purvis,116
Johnny DuPree,Secretary of State,,D,Lamar,South Purvis,77
Michael Watson,Secretary of State,,R,Lamar,South Purvis,929
Jennifer Riley Collins,Attorney General,,D,Lamar,South Purvis,103
Lynn Fitch,Attorney General,,R,Lamar,South Purvis,909
Shad White,State Auditor,,R,Lamar,South Purvis,969
Addie Lee Green,State Treasurer,,D,Lamar,South Purvis,80
David McRae,State Treasurer,,R,Lamar,South Purvis,930
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,South Purvis,101
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,South Purvis,912
John A Polk,State Senate,44,R,Lamar,South Purvis,968
William E 'Billy' Andrews III,State House,87,R,Lamar,South Purvis,101
Bill Pigott,State House,99,R,Lamar,South Purvis,431
Ken Morgan,State House,100,R,Lamar,South Purvis,433
Jim Hood,Governor,,D,Lamar,Yawn,11
Tate Reeves,Governor,,R,Lamar,Yawn,160
Bob Hickingbottom,Governor,,C,Lamar,Yawn,1
David R Singletary,Governor,,IND,Lamar,Yawn,2
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Yawn,163
Jay Hughes,Lieutenant Governor,,D,Lamar,Yawn,11
Johnny DuPree,Secretary of State,,D,Lamar,Yawn,8
Michael Watson,Secretary of State,,R,Lamar,Yawn,165
Jennifer Riley Collins,Attorney General,,D,Lamar,Yawn,11
Lynn Fitch,Attorney General,,R,Lamar,Yawn,163
Shad White,State Auditor,,R,Lamar,Yawn,166
Addie Lee Green,State Treasurer,,D,Lamar,Yawn,9
David McRae,State Treasurer,,R,Lamar,Yawn,164
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Yawn,10
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,Yawn,162
John A Polk,State Senate,44,R,Lamar,Yawn,168
Jansen Owen,State House,106,R,Lamar,Yawn,168
Jim Hood,Governor,,D,Lamar,Wesley Manor,387
Tate Reeves,Governor,,R,Lamar,Wesley Manor,235
Bob Hickingbottom,Governor,,C,Lamar,Wesley Manor,2
David R Singletary,Governor,,IND,Lamar,Wesley Manor,5
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Wesley Manor,319
Jay Hughes,Lieutenant Governor,,D,Lamar,Wesley Manor,301
Johnny DuPree,Secretary of State,,D,Lamar,Wesley Manor,316
Michael Watson,Secretary of State,,R,Lamar,Wesley Manor,297
Jennifer Riley Collins,Attorney General,,D,Lamar,Wesley Manor,350
Lynn Fitch,Attorney General,,R,Lamar,Wesley Manor,267
Shad White,State Auditor,,R,Lamar,Wesley Manor,453
Addie Lee Green,State Treasurer,,D,Lamar,Wesley Manor,319
David McRae,State Treasurer,,R,Lamar,Wesley Manor,292
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Wesley Manor,339
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,Wesley Manor,263
John A Polk,State Senate,44,R,Lamar,Wesley Manor,458
William E 'Billy' Andrews III,State House,87,R,Lamar,Wesley Manor,305
Missy Warren McGee,State House,102,R,Lamar,Wesley Manor,84
Brandon Terrion Rue,State House,102,D,Lamar,Wesley Manor,129
Jim Hood,Governor,,D,Lamar,Westover,166
Tate Reeves,Governor,,R,Lamar,Westover,56
Bob Hickingbottom,Governor,,C,Lamar,Westover,0
David R Singletary,Governor,,IND,Lamar,Westover,1
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Westover,74
Jay Hughes,Lieutenant Governor,,D,Lamar,Westover,146
Johnny DuPree,Secretary of State,,D,Lamar,Westover,148
Michael Watson,Secretary of State,,R,Lamar,Westover,71
Jennifer Riley Collins,Attorney General,,D,Lamar,Westover,157
Lynn Fitch,Attorney General,,R,Lamar,Westover,63
Shad White,State Auditor,,R,Lamar,Westover,146
Addie Lee Green,State Treasurer,,D,Lamar,Westover,152
David McRae,State Treasurer,,R,Lamar,Westover,68
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Westover,152
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,Westover,67
John A Polk,State Senate,44,R,Lamar,Westover,139
Kent McCarty,State House,101,R,Lamar,Westover,142
Jim Hood,Governor,,D,Lamar,Pine Grove,21
Tate Reeves,Governor,,R,Lamar,Pine Grove,289
Bob Hickingbottom,Governor,,C,Lamar,Pine Grove,0
David R Singletary,Governor,,IND,Lamar,Pine Grove,6
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Pine Grove,301
Jay Hughes,Lieutenant Governor,,D,Lamar,Pine Grove,15
Johnny DuPree,Secretary of State,,D,Lamar,Pine Grove,9
Michael Watson,Secretary of State,,R,Lamar,Pine Grove,304
Jennifer Riley Collins,Attorney General,,D,Lamar,Pine Grove,18
Lynn Fitch,Attorney General,,R,Lamar,Pine Grove,297
Shad White,State Auditor,,R,Lamar,Pine Grove,308
Addie Lee Green,State Treasurer,,D,Lamar,Pine Grove,15
David McRae,State Treasurer,,R,Lamar,Pine Grove,298
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Pine Grove,21
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lamar,Pine Grove,291
John A Polk,State Senate,44,R,Lamar,Pine Grove,307
Bill Pigott,State House,99,R,Lamar,Pine Grove,71
Ken Morgan,State House,100,R,Lamar,Pine Grove,238
Jim Hood,Governor,,D,Lamar,Baxterville,28
Tate Reeves,Governor,,R,Lamar,Baxterville,211
Bob Hickingbottom,Governor,,C,Lamar,Baxterville,1
David R Singletary,Governor,,IND,Lamar,Baxterville,8
Delbert Hosemann,Lieutenant Governor,,R,Lamar,Baxterville,225
Jay Hughes,Lieutenant Governor,,D,Lamar,Baxterville,22
Johnny DuPree,Secretary of State,,D,Lamar,Baxterville,12
Michael Watson,Secretary of State,,R,Lamar,Baxterville,232
Jennifer Riley Collins,Attorney General,,D,Lamar,Baxterville,18
Lynn Fitch,Attorney General,,R,Lamar,Baxterville,227
Shad White,State Auditor,,R,Lamar,Baxterville,242
Addie Lee Green,State Treasurer,,D,Lamar,Baxterville,11
David McRae,State Treasurer,,R,Lamar,Baxterville,234
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lamar,Baxterville,17
