page,candidate,office,district,party,county,precinct,votes
2,Tate Reeves,Governor ,,R,Tunica,Banks/Hambrick,1
2,Bill Waller Jr.,Governor ,,R,Tunica,Banks/Hambrick,0
2,Tate Reeves,Governor ,,R,Tunica,Mhoon Landing,6
2,Bill Waller Jr.,Governor ,,R,Tunica,Mhoon Landing,6
2,Tate Reeves,Governor ,,R,Tunica,New Sub Park,8
2,Bill Waller Jr.,Governor ,,R,Tunica,New Sub Park,4
2,Tate Reeves,Governor ,,R,Tunica,Prichard,1
2,Bill Waller Jr.,Governor ,,R,Tunica,Prichard,1
2,Tate Reeves,Governor ,,R,Tunica,Robinsonville Community Center,3
2,Bill Waller Jr.,Governor ,,R,Tunica,Robinsonville Community Center,0
2,Tate Reeves,Governor ,,R,Tunica,Tunica,3
2,Bill Waller Jr.,Governor ,,R,Tunica,Tunica,17
2,Tate Reeves,Governor ,,R,Tunica,Tunica Auditorium,2
2,Bill Waller Jr.,Governor ,,R,Tunica,Tunica Auditorium,4
2,Tate Reeves,Governor ,,R,Tunica,Tunica Co. Supt. Of Educ.,0
2,Bill Waller Jr.,Governor ,,R,Tunica,Tunica Co. Supt. Of Educ.,0
2,Tate Reeves,Governor ,,R,Tunica,Two Mile Lake,0
2,Bill Waller Jr.,Governor ,,R,Tunica,Two Mile Lake,0
2,Tate Reeves,Governor ,,R,Tunica,Westend Store,0
2,Bill Waller Jr.,Governor ,,R,Tunica,Westend Store,0
2,Tate Reeves,Governor ,,R,Tunica,White Oak Rec. Center,5
2,Bill Waller Jr.,Governor ,,R,Tunica,White Oak Rec. Center,7
3,Tate Reeves,Governor ,,R,Tunica,Win Job Center,6
3,Bill Waller Jr.,Governor ,,R,Tunica,Win Job Center,2
3,Tate Reeves,Governor ,,R,Tunica,TOTAL,35
3,Bill Waller Jr.,Governor ,,R,Tunica,TOTAL,41
