page,candidate,office,district,party,county,precinct,votes
2,Jim Hood,Governor,,D,Lafayette,Abbeville,454
2,Tate Reeves,Governor,,R,Lafayette,Abbeville,278
2,Bob Hickingbottom,Governor,,C,Lafayette,Abbeville,2
2,David R Singletary,Governor,,IND,Lafayette,Abbeville,7
2,Delbert Hosemann,Lieutenant Governor,,R,Lafayette,Abbeville,278
2,Jay Hughes,Lieutenant Governor,,D,Lafayette,Abbeville,439
2,Johnny DuPree,Secretary of State,,D,Lafayette,Abbeville,401
2,Michael Watson,Secretary of State,,R,Lafayette,Abbeville,310
2,Jennifer Riley Collins,Attorney General,,D,Lafayette,Abbeville,425
2,Lynn Fitch,Attorney General,,R,Lafayette,Abbeville,303
2,Shad White,State Auditor,,R,Lafayette,Abbeville,454
4,Addie Lee Green,State Treasurer,,D,Lafayette,Abbeville,399
4,David McRae,State Treasurer,,R,Lafayette,Abbeville,317
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lafayette,Abbeville,403
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lafayette,Abbeville,313
6,Nicole Akins Boyd,State Senate,9,R,Lafayette,Abbeville,333
6,Kevin W Frye,State Senate,9,D,Lafayette,Abbeville,395
6,John Faulkner,State House,5,D,Lafayette,Abbeville,419
6,Trey Lamar,State House,8,R,Lafayette,Abbeville,X
6,Bobby E Dailey,State House,10,D,Lafayette,Abbeville,X
6,Brady Williamson,State House,10,R,Lafayette,Abbeville,X
6,Josh Hawkins,State House,10,IND,Lafayette,Abbeville,X
6,Clay Deweese ,State House,12,R,Lafayette,Abbeville,X
6,Tiffany Kilpatrick,State House,12,D,Lafayette,Abbeville,X
6,Pamela J Denham,State House,13,D,Lafayette,Abbeville,43
8,Steve Massengill,State House,13,R,Lafayette,Abbeville,219
8,Charles Jim Beckett,State House,23,R,Lafayette,Abbeville,X
2,Jim Hood,Governor,,D,Lafayette,Airport Grocery,163
2,Tate Reeves,Governor,,R,Lafayette,Airport Grocery,254
2,Bob Hickingbottom,Governor,,C,Lafayette,Airport Grocery,3
2,David R Singletary,Governor,,IND,Lafayette,Airport Grocery,5
2,Delbert Hosemann,Lieutenant Governor,,R,Lafayette,Airport Grocery,266
2,Jay Hughes,Lieutenant Governor,,D,Lafayette,Airport Grocery,159
2,Johnny DuPree,Secretary of State,,D,Lafayette,Airport Grocery,118
2,Michael Watson,Secretary of State,,R,Lafayette,Airport Grocery,293
2,Jennifer Riley Collins,Attorney General,,D,Lafayette,Airport Grocery,122
2,Lynn Fitch,Attorney General,,R,Lafayette,Airport Grocery,296
2,Shad White,State Auditor,,R,Lafayette,Airport Grocery,353
4,Addie Lee Green,State Treasurer,,D,Lafayette,Airport Grocery,108
4,David McRae,State Treasurer,,R,Lafayette,Airport Grocery,306
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lafayette,Airport Grocery,112
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lafayette,Airport Grocery,300
6,Nicole Akins Boyd,State Senate,9,R,Lafayette,Airport Grocery,291
6,Kevin W Frye,State Senate,9,D,Lafayette,Airport Grocery,130
6,John Faulkner,State House,5,D,Lafayette,Airport Grocery,X
6,Trey Lamar,State House,8,R,Lafayette,Airport Grocery,X
6,Bobby E Dailey,State House,10,D,Lafayette,Airport Grocery,91
6,Brady Williamson,State House,10,R,Lafayette,Airport Grocery,280
6,Josh Hawkins,State House,10,IND,Lafayette,Airport Grocery,46
6,Clay Deweese ,State House,12,R,Lafayette,Airport Grocery,X
6,Tiffany Kilpatrick,State House,12,D,Lafayette,Airport Grocery,X
6,Pamela J Denham,State House,13,D,Lafayette,Airport Grocery,X
8,Steve Massengill,State House,13,R,Lafayette,Airport Grocery,X
8,Charles Jim Beckett,State House,23,R,Lafayette,Airport Grocery,X
2,Jim Hood,Governor,,D,Lafayette,Anchor-Taylor 4,92
2,Tate Reeves,Governor,,R,Lafayette,Anchor-Taylor 4,306
2,Bob Hickingbottom,Governor,,C,Lafayette,Anchor-Taylor 4,3
2,David R Singletary,Governor,,IND,Lafayette,Anchor-Taylor 4,5
2,Delbert Hosemann,Lieutenant Governor,,R,Lafayette,Anchor-Taylor 4,281
2,Jay Hughes,Lieutenant Governor,,D,Lafayette,Anchor-Taylor 4,121
2,Johnny DuPree,Secretary of State,,D,Lafayette,Anchor-Taylor 4,77
2,Michael Watson,Secretary of State,,R,Lafayette,Anchor-Taylor 4,315
2,Jennifer Riley Collins,Attorney General,,D,Lafayette,Anchor-Taylor 4,81
2,Lynn Fitch,Attorney General,,R,Lafayette,Anchor-Taylor 4,317
2,Shad White,State Auditor,,R,Lafayette,Anchor-Taylor 4,360
4,Addie Lee Green,State Treasurer,,D,Lafayette,Anchor-Taylor 4,64
4,David McRae,State Treasurer,,R,Lafayette,Anchor-Taylor 4,329
4,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Lafayette,Anchor-Taylor 4,84
4,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Lafayette,Anchor-Taylor 4,315
6,Nicole Akins Boyd,State Senate,9,R,Lafayette,Anchor-Taylor 4,329
