page,candidate,office,district,party,county,precinct,votes
2,Tate Reeves,Governor,,R,Webster,Bellefontaine,24
2,Bill Waller Jr.,Governor,,R,Webster,Bellefontaine,11
2,Tate Reeves,Governor,,R,Webster,Big Black,23
2,Bill Waller Jr.,Governor,,R,Webster,Big Black,9
2,Tate Reeves,Governor,,R,Webster,Bluff Springs,5
2,Bill Waller Jr.,Governor,,R,Webster,Bluff Springs,4
2,Tate Reeves,Governor,,R,Webster,Cadaretta,18
2,Bill Waller Jr.,Governor,,R,Webster,Cadaretta,2
2,Tate Reeves,Governor,,R,Webster,Clarkson,23
2,Bill Waller Jr.,Governor,,R,Webster,Clarkson,3
2,Tate Reeves,Governor,,R,Webster,Cumberland,14
2,Bill Waller Jr.,Governor,,R,Webster,Cumberland,1
2,Tate Reeves,Governor,,R,Webster,Eupora No. 1,50
2,Bill Waller Jr.,Governor,,R,Webster,Eupora No. 1,42
2,Tate Reeves,Governor,,R,Webster,Eupora No. 2,41
2,Bill Waller Jr.,Governor,,R,Webster,Eupora No. 2,32
2,Tate Reeves,Governor,,R,Webster,Eupora No. 3,22
2,Bill Waller Jr.,Governor,,R,Webster,Eupora No. 3,24
2,Tate Reeves,Governor,,R,Webster,Fame,17
2,Bill Waller Jr.,Governor,,R,Webster,Fame,15
2,Tate Reeves,Governor,,R,Webster,Fay,16
2,Bill Waller Jr.,Governor,,R,Webster,Fay,9
3,Tate Reeves,Governor,,R,Webster,Grady,28
3,Bill Waller Jr.,Governor,,R,Webster,Grady,7
3,Tate Reeves,Governor,,R,Webster,Maben,19
3,Bill Waller Jr.,Governor,,R,Webster,Maben,18
3,Tate Reeves,Governor,,R,Webster,Mantee,37
3,Bill Waller Jr.,Governor,,R,Webster,Mantee,26
3,Tate Reeves,Governor,,R,Webster,Mathiston,86
3,Bill Waller Jr.,Governor,,R,Webster,Mathiston,40
3,Tate Reeves,Governor,,R,Webster,Tomnolen,29
3,Bill Waller Jr.,Governor,,R,Webster,Tomnolen,8
3,Tate Reeves,Governor,,R,Webster,Walthall,35
3,Bill Waller Jr.,Governor,,R,Webster,Walthall,16
3,Tate Reeves,Governor,,R,Webster,TOTAL,487
3,Bill Waller Jr.,Governor,,R,Webster,TOTAL,267
