page,candidate,office,district,party,county,precinct,votes
2,Tate Reeves,Governor,,R,George,Rocky Creek,341
2,Bill Waller Jr.,Governor,,R,George,Rocky Creek,212
2,Dale Goodin,State House,105,R,George,Rocky Creek,245
2,Roun S McNeal,State House,105,R,George,Rocky Creek,301
2,Tate Reeves,Governor,,R,George,Multi Mart,67
2,Bill Waller Jr.,Governor,,R,George,Multi Mart,45
2,Dale Goodin,State House,105,R,George,Multi Mart,
2,Roun S McNeal,State House,105,R,George,Multi Mart,
2,Tate Reeves,Governor,,R,George,Ward,96
2,Bill Waller Jr.,Governor,,R,George,Ward,44
2,Dale Goodin,State House,105,R,George,Ward,
2,Roun S McNeal,State House,105,R,George,Ward,
2,Tate Reeves,Governor,,R,George,Shipman,78
2,Bill Waller Jr.,Governor,,R,George,Shipman,38
2,Dale Goodin,State House,105,R,George,Shipman,
2,Roun S McNeal,State House,105,R,George,Shipman,
2,Tate Reeves,Governor,,R,George,Courthouse,73
2,Bill Waller Jr.,Governor,,R,George,Courthouse,54
2,Dale Goodin,State House,105,R,George,Courthouse,
2,Roun S McNeal,State House,105,R,George,Courthouse,
2,Tate Reeves,Governor,,R,George,Pine Level,97
2,Bill Waller Jr.,Governor,,R,George,Pine Level,79
2,Dale Goodin,State House,105,R,George,Pine Level,
2,Roun S McNeal,State House,105,R,George,Pine Level,
2,Tate Reeves,Governor,,R,George,Agricola,265
2,Bill Waller Jr.,Governor,,R,George,Agricola,116
2,Dale Goodin,State House,105,R,George,Agricola,
2,Roun S McNeal,State House,105,R,George,Agricola,
2,Tate Reeves,Governor,,R,George,Howell,116
2,Bill Waller Jr.,Governor,,R,George,Howell,32
2,Dale Goodin,State House,105,R,George,Howell,
2,Roun S McNeal,State House,105,R,George,Howell,
2,Tate Reeves,Governor,,R,George,Movella,92
2,Bill Waller Jr.,Governor,,R,George,Movella,37
2,Dale Goodin,State House,105,R,George,Movella,
2,Roun S McNeal,State House,105,R,George,Movella,
2,Tate Reeves,Governor,,R,George,Multi-Purpose,41
2,Bill Waller Jr.,Governor,,R,George,Multi-Purpose,45
2,Dale Goodin,State House,105,R,George,Multi-Purpose,
2,Roun S McNeal,State House,105,R,George,Multi-Purpose,
2,Tate Reeves,Governor,,R,George,Basin,263
2,Bill Waller Jr.,Governor,,R,George,Basin,97
2,Dale Goodin,State House,105,R,George,Basin,
2,Roun S McNeal,State House,105,R,George,Basin,
3,Tate Reeves,Governor,,R,George,Davis,146
3,Bill Waller Jr.,Governor,,R,George,Davis,52
3,Dale Goodin,State House,105,R,George,Davis,
3,Roun S McNeal,State House,105,R,George,Davis,
3,Tate Reeves,Governor,,R,George,Barton,226
3,Bill Waller Jr.,Governor,,R,George,Barton,75
3,Dale Goodin,State House,105,R,George,Barton,
3,Roun S McNeal,State House,105,R,George,Barton,
3,Tate Reeves,Governor,,R,George,City Hall,181
3,Bill Waller Jr.,Governor,,R,George,City Hall,151
3,Dale Goodin,State House,105,R,George,City Hall,
3,Roun S McNeal,State House,105,R,George,City Hall,
3,Tate Reeves,Governor,,R,George,Shady Grove,189
3,Bill Waller Jr.,Governor,,R,George,Shady Grove,122
3,Dale Goodin,State House,105,R,George,Shady Grove,
3,Roun S McNeal,State House,105,R,George,Shady Grove,
3,Tate Reeves,Governor,,R,George,Bexley,105
3,Bill Waller Jr.,Governor,,R,George,Bexley,66
3,Dale Goodin,State House,105,R,George,Bexley,
3,Roun S McNeal,State House,105,R,George,Bexley,
3,Tate Reeves,Governor,,R,George,Salem,36
3,Bill Waller Jr.,Governor,,R,George,Salem,6
3,Dale Goodin,State House,105,R,George,Salem,
3,Roun S McNeal,State House,105,R,George,Salem,
3,Tate Reeves,Governor,,R,George,Middle School,82
3,Bill Waller Jr.,Governor,,R,George,Middle School,77
3,Dale Goodin,State House,105,R,George,Middle School,
3,Roun S McNeal,State House,105,R,George,Middle School,
3,Tate Reeves,Governor,,R,George,Central,69
3,Bill Waller Jr.,Governor,,R,George,Central,24
3,Dale Goodin,State House,105,R,George,Central,
3,Roun S McNeal,State House,105,R,George,Central,
3,Tate Reeves,Governor,,R,George,Benndale,187
3,Bill Waller Jr.,Governor,,R,George,Benndale,49
3,Dale Goodin,State House,105,R,George,Benndale,
3,Roun S McNeal,State House,105,R,George,Benndale,
3,Tate Reeves,Governor,,R,George,Broome,56
3,Bill Waller Jr.,Governor,,R,George,Broome,33
3,Dale Goodin,State House,105,R,George,Broome,
3,Roun S McNeal,State House,105,R,George,Broome,
3,Tate Reeves,Governor,,R,George,Twin Creek,86
3,Bill Waller Jr.,Governor,,R,George,Twin Creek,75
3,Dale Goodin,State House,105,R,George,Twin Creek,
3,Roun S McNeal,State House,105,R,George,Twin Creek,
4,Tate Reeves,Governor,,R,George,TOTAL,2892
4,Bill Waller Jr.,Governor,,R,George,TOTAL,1529
4,Dale Goodin,State House,105,R,George,TOTAL,245
4,Roun S McNeal,State House,105,R,George,TOTAL,301
