candidate,office,district,party,county,precinct,votes
Jim Hood,Governor,,D,Humphreys,Belzoni - 4010,435
Tate Reeves,Governor,,R,humphreys,Belzoni - 4010,150
Bob Hickingbottom,Governor,,C,humphreys,Belzoni - 4010,0
David R Singletary,Governor,,IND,humphreys,Belzoni - 4010,2
Delbert Hosemann,Lieutenant Governor,,R,humphreys,Belzoni - 4010,200
Jay Hughes,Lieutenant Governor,,D,humphreys,Belzoni - 4010,366
Johnny DuPree,Secretary of State,,D,humphreys,Belzoni - 4010,397
Michael Watson,Secretary of State,,R,humphreys,Belzoni - 4010,170
Jennifer Riley Collins,Attorney General,,D,humphreys,Belzoni - 4010,411
Lynn Fitch,Attorney General,,R,humphreys,Belzoni - 4010,166
Shad White,State Auditor,,R,humphreys,Belzoni - 4010,333
Addie Lee Green,State Treasurer,,D,humphreys,Belzoni - 4010,396
David McRae,State Treasurer,,R,humphreys,Belzoni - 4010,175
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,humphreys,Belzoni - 4010,401
Andy Gipson,Commissioner of Agriculture & Commerce,,R,humphreys,Belzoni - 4010,169
Hayes Dent,State Senate,22,R,humphreys,Belzoni - 4010,x
Joseph C Thomas Sr.,State Senate,22,D,humphreys,Belzoni - 4010,x
David Jordan,State Senate,24,D,humphreys,Belzoni - 4010,483
Otis L Anthony,State House,31,D,humphreys,Belzoni - 4010,x
Rufus E Straughter,State House,51,D,humphreys,Belzoni - 4010,476
Jim Hood,Governor,,D,Humphreys,Belzoni North - 1bn 1020,419
Tate Reeves,Governor,,R,humphreys,Belzoni North - 1bn 1020,110
Bob Hickingbottom,Governor,,C,humphreys,Belzoni North - 1bn 1020,1
David R Singletary,Governor,,IND,humphreys,Belzoni North - 1bn 1020,3
Delbert Hosemann,Lieutenant Governor,,R,humphreys,Belzoni North - 1bn 1020,160
Jay Hughes,Lieutenant Governor,,D,humphreys,Belzoni North - 1bn 1020,362
Johnny DuPree,Secretary of State,,D,humphreys,Belzoni North - 1bn 1020,394
Michael Watson,Secretary of State,,R,humphreys,Belzoni North - 1bn 1020,124
Jennifer Riley Collins,Attorney General,,D,humphreys,Belzoni North - 1bn 1020,403
Lynn Fitch,Attorney General,,R,humphreys,Belzoni North - 1bn 1020,121
Shad White,State Auditor,,R,humphreys,Belzoni North - 1bn 1020,273
Addie Lee Green,State Treasurer,,D,humphreys,Belzoni North - 1bn 1020,390
David McRae,State Treasurer,,R,humphreys,Belzoni North - 1bn 1020,130
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,humphreys,Belzoni North - 1bn 1020,390
Andy Gipson,Commissioner of Agriculture & Commerce,,R,humphreys,Belzoni North - 1bn 1020,127
Hayes Dent,State Senate,22,R,humphreys,Belzoni North - 1bn 1020,x
Joseph C Thomas Sr.,State Senate,22,D,humphreys,Belzoni North - 1bn 1020,x
David Jordan,State Senate,24,D,humphreys,Belzoni North - 1bn 1020,460
Otis L Anthony,State House,31,D,humphreys,Belzoni North - 1bn 1020,192
Rufus E Straughter,State House,51,D,humphreys,Belzoni North - 1bn 1020,252
Jim Hood,Governor,,D,Humphreys,Belzoni North - 2bn 2020,131
Tate Reeves,Governor,,R,humphreys,Belzoni North - 2bn 2020,4
Bob Hickingbottom,Governor,,C,humphreys,Belzoni North - 2bn 2020,0
David R Singletary,Governor,,IND,humphreys,Belzoni North - 2bn 2020,0
Delbert Hosemann,Lieutenant Governor,,R,humphreys,Belzoni North - 2bn 2020,19
Jay Hughes,Lieutenant Governor,,D,humphreys,Belzoni North - 2bn 2020,110
Johnny DuPree,Secretary of State,,D,humphreys,Belzoni North - 2bn 2020,124
Michael Watson,Secretary of State,,R,humphreys,Belzoni North - 2bn 2020,6
Jennifer Riley Collins,Attorney General,,D,humphreys,Belzoni North - 2bn 2020,126
Lynn Fitch,Attorney General,,R,humphreys,Belzoni North - 2bn 2020,5
Shad White,State Auditor,,R,humphreys,Belzoni North - 2bn 2020,53
Addie Lee Green,State Treasurer,,D,humphreys,Belzoni North - 2bn 2020,118
David McRae,State Treasurer,,R,humphreys,Belzoni North - 2bn 2020,10
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,humphreys,Belzoni North - 2bn 2020,122
Andy Gipson,Commissioner of Agriculture & Commerce,,R,humphreys,Belzoni North - 2bn 2020,7
Hayes Dent,State Senate,22,R,humphreys,Belzoni North - 2bn 2020,x
Joseph C Thomas Sr.,State Senate,22,D,humphreys,Belzoni North - 2bn 2020,x
David Jordan,State Senate,24,D,humphreys,Belzoni North - 2bn 2020,122
Otis L Anthony,State House,31,D,humphreys,Belzoni North - 2bn 2020,x
Rufus E Straughter,State House,51,D,humphreys,Belzoni North - 2bn 2020,125
Jim Hood,Governor,,D,Humphreys,Belzoni South - 3bs 3010,171
Tate Reeves,Governor,,R,humphreys,Belzoni South - 3bs 3010,6
Bob Hickingbottom,Governor,,C,humphreys,Belzoni South - 3bs 3010,0
David R Singletary,Governor,,IND,humphreys,Belzoni South - 3bs 3010,2
Delbert Hosemann,Lieutenant Governor,,R,humphreys,Belzoni South - 3bs 3010,19
Jay Hughes,Lieutenant Governor,,D,humphreys,Belzoni South - 3bs 3010,152
Johnny DuPree,Secretary of State,,D,humphreys,Belzoni South - 3bs 3010,161
Michael Watson,Secretary of State,,R,humphreys,Belzoni South - 3bs 3010,9
Jennifer Riley Collins,Attorney General,,D,humphreys,Belzoni South - 3bs 3010,167
Lynn Fitch,Attorney General,,R,humphreys,Belzoni South - 3bs 3010,10
Shad White,State Auditor,,R,humphreys,Belzoni South - 3bs 3010,54
Addie Lee Green,State Treasurer,,D,humphreys,Belzoni South - 3bs 3010,153
David McRae,State Treasurer,,R,humphreys,Belzoni South - 3bs 3010,17
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,humphreys,Belzoni South - 3bs 3010,160
Andy Gipson,Commissioner of Agriculture & Commerce,,R,humphreys,Belzoni South - 3bs 3010,11
Hayes Dent,State Senate,22,R,humphreys,Belzoni South - 3bs 3010,13
Joseph C Thomas Sr.,State Senate,22,D,humphreys,Belzoni South - 3bs 3010,158
David Jordan,State Senate,24,D,humphreys,Belzoni South - 3bs 3010,x
Otis L Anthony,State House,31,D,humphreys,Belzoni South - 3bs 3010,x
Rufus E Straughter,State House,51,D,humphreys,Belzoni South - 3bs 3010,165
Jim Hood,Governor,,D,Humphreys,Belzoni South - 5bs 5010,188
Tate Reeves,Governor,,R,humphreys,Belzoni South - 5bs 5010,3
Bob Hickingbottom,Governor,,C,humphreys,Belzoni South - 5bs 5010,0
David R Singletary,Governor,,IND,humphreys,Belzoni South - 5bs 5010,0
Delbert Hosemann,Lieutenant Governor,,R,humphreys,Belzoni South - 5bs 5010,17
Jay Hughes,Lieutenant Governor,,D,humphreys,Belzoni South - 5bs 5010,158
Johnny DuPree,Secretary of State,,D,humphreys,Belzoni South - 5bs 5010,163
Michael Watson,Secretary of State,,R,humphreys,Belzoni South - 5bs 5010,11
Jennifer Riley Collins,Attorney General,,D,humphreys,Belzoni South - 5bs 5010,182
Lynn Fitch,Attorney General,,R,humphreys,Belzoni South - 5bs 5010,3
Shad White,State Auditor,,R,humphreys,Belzoni South - 5bs 5010,79
Addie Lee Green,State Treasurer,,D,humphreys,Belzoni South - 5bs 5010,170
David McRae,State Treasurer,,R,humphreys,Belzoni South - 5bs 5010,11
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,humphreys,Belzoni South - 5bs 5010,170
Andy Gipson,Commissioner of Agriculture & Commerce,,R,humphreys,Belzoni South - 5bs 5010,7
Hayes Dent,State Senate,22,R,humphreys,Belzoni South - 5bs 5010,7
Joseph C Thomas Sr.,State Senate,22,D,humphreys,Belzoni South - 5bs 5010,173
David Jordan,State Senate,24,D,humphreys,Belzoni South - 5bs 5010,x
Otis L Anthony,State House,31,D,humphreys,Belzoni South - 5bs 5010,x
Rufus E Straughter,State House,51,D,humphreys,Belzoni South - 5bs 5010,178
Jim Hood,Governor,,D,Humphreys,Fourmile North - 1fn 1010,1
Tate Reeves,Governor,,R,humphreys,Fourmile North - 1fn 1010,20
Bob Hickingbottom,Governor,,C,humphreys,Fourmile North - 1fn 1010,0
David R Singletary,Governor,,IND,humphreys,Fourmile North - 1fn 1010,0
Delbert Hosemann,Lieutenant Governor,,R,humphreys,Fourmile North - 1fn 1010,21
Jay Hughes,Lieutenant Governor,,D,humphreys,Fourmile North - 1fn 1010,0
Johnny DuPree,Secretary of State,,D,humphreys,Fourmile North - 1fn 1010,3
Michael Watson,Secretary of State,,R,humphreys,Fourmile North - 1fn 1010,18
Jennifer Riley Collins,Attorney General,,D,humphreys,Fourmile North - 1fn 1010,0
Lynn Fitch,Attorney General,,R,humphreys,Fourmile North - 1fn 1010,21
Shad White,State Auditor,,R,humphreys,Fourmile North - 1fn 1010,20
Addie Lee Green,State Treasurer,,D,humphreys,Fourmile North - 1fn 1010,1
David McRae,State Treasurer,,R,humphreys,Fourmile North - 1fn 1010,20
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,humphreys,Fourmile North - 1fn 1010,1
Andy Gipson,Commissioner of Agriculture & Commerce,,R,humphreys,Fourmile North - 1fn 1010,20
Hayes Dent,State Senate,22,R,humphreys,Fourmile North - 1fn 1010,x
Joseph C Thomas Sr.,State Senate,22,D,humphreys,Fourmile North - 1fn 1010,x
David Jordan,State Senate,24,D,humphreys,Fourmile North - 1fn 1010,8
Otis L Anthony,State House,31,D,humphreys,Fourmile North - 1fn 1010,11
Rufus E Straughter,State House,51,D,humphreys,Fourmile North - 1fn 1010,x
Jim Hood,Governor,,D,Humphreys,Gooden Lake North - 2gn 2030,11
Tate Reeves,Governor,,R,humphreys,Gooden Lake North - 2gn 2030,31
Bob Hickingbottom,Governor,,C,humphreys,Gooden Lake North - 2gn 2030,0
David R Singletary,Governor,,IND,humphreys,Gooden Lake North - 2gn 2030,1
Delbert Hosemann,Lieutenant Governor,,R,humphreys,Gooden Lake North - 2gn 2030,36
Jay Hughes,Lieutenant Governor,,D,humphreys,Gooden Lake North - 2gn 2030,6
Johnny DuPree,Secretary of State,,D,humphreys,Gooden Lake North - 2gn 2030,7
Michael Watson,Secretary of State,,R,humphreys,Gooden Lake North - 2gn 2030,35
Jennifer Riley Collins,Attorney General,,D,humphreys,Gooden Lake North - 2gn 2030,7
Lynn Fitch,Attorney General,,R,humphreys,Gooden Lake North - 2gn 2030,34
Shad White,State Auditor,,R,humphreys,Gooden Lake North - 2gn 2030,39
Addie Lee Green,State Treasurer,,D,humphreys,Gooden Lake North - 2gn 2030,6
David McRae,State Treasurer,,R,humphreys,Gooden Lake North - 2gn 2030,35
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,humphreys,Gooden Lake North - 2gn 2030,7
Andy Gipson,Commissioner of Agriculture & Commerce,,R,humphreys,Gooden Lake North - 2gn 2030,35
Hayes Dent,State Senate,22,R,humphreys,Gooden Lake North - 2gn 2030,36
Joseph C Thomas Sr.,State Senate,22,D,humphreys,Gooden Lake North - 2gn 2030,7
David Jordan,State Senate,24,D,humphreys,Gooden Lake North - 2gn 2030,x
Otis L Anthony,State House,31,D,humphreys,Gooden Lake North - 2gn 2030,x
Rufus E Straughter,State House,51,D,humphreys,Gooden Lake North - 2gn 2030,21
Jim Hood,Governor,,D,Humphreys,Isola North - 2in 2010,313
Tate Reeves,Governor,,R,humphreys,Isola North - 2in 2010,121
Bob Hickingbottom,Governor,,C,humphreys,Isola North - 2in 2010,1
David R Singletary,Governor,,IND,humphreys,Isola North - 2in 2010,0
Delbert Hosemann,Lieutenant Governor,,R,humphreys,Isola North - 2in 2010,137
Jay Hughes,Lieutenant Governor,,D,humphreys,Isola North - 2in 2010,288
Johnny DuPree,Secretary of State,,D,humphreys,Isola North - 2in 2010,291
Michael Watson,Secretary of State,,R,humphreys,Isola North - 2in 2010,130
Jennifer Riley Collins,Attorney General,,D,humphreys,Isola North - 2in 2010,302
Lynn Fitch,Attorney General,,R,humphreys,Isola North - 2in 2010,129
Shad White,State Auditor,,R,humphreys,Isola North - 2in 2010,220
