page,candidate,office,district,party,county,precinct,votes
2,Jim Hood,Governor,,D,Wilkinson,Centreville 1st 1020,289
2,Tate Reeves,Governor,,R,Wilkinson,Centreville 1st 1020,70
2,Bob Hickingbottom,Governor,,C,Wilkinson,Centreville 1st 1020,12
2,David R Singletary,Governor,,IND,Wilkinson,Centreville 1st 1020,9
2,Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Centreville 1st 1020,83
2,Jay Hughes,Lieutenant Governor,,D,Wilkinson,Centreville 1st 1020,281
2,Johnny DuPree,Secretary of State,,D,Wilkinson,Centreville 1st 1020,283
2,Michael Watson,Secretary of State,,R,Wilkinson,Centreville 1st 1020,80
2,Jennifer Riley Collins,Attorney General,,D,Wilkinson,Centreville 1st 1020,298
2,Lynn Fitch,Attorney General,,R,Wilkinson,Centreville 1st 1020,74
2,Shad White,State Auditor,,R,Wilkinson,Centreville 1st 1020,207
3,Addie Lee Green,State Treasurer,,D,Wilkinson,Centreville 1st 1020,287
3,David McRae,State Treasurer,,R,Wilkinson,Centreville 1st 1020,80
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Centreville 1st 1020,289
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Centreville 1st 1020,74
4,Tammy Witherspoon,State Senate,38,D,Wilkinson,Centreville 1st 1020,341
4,Aisha A Sanders,State House,96,D,Wilkinson,Centreville 1st 1020,148
4,Angela Cockerham,State House,96,IND,Wilkinson,Centreville 1st 1020,232
2,Jim Hood,Governor,,D,Wilkinson,Centreville 3rd 3010,379
2,Tate Reeves,Governor,,R,Wilkinson,Centreville 3rd 3010,242
2,Bob Hickingbottom,Governor,,C,Wilkinson,Centreville 3rd 3010,13
2,David R Singletary,Governor,,IND,Wilkinson,Centreville 3rd 3010,7
2,Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Centreville 3rd 3010,260
2,Jay Hughes,Lieutenant Governor,,D,Wilkinson,Centreville 3rd 3010,360
2,Johnny DuPree,Secretary of State,,D,Wilkinson,Centreville 3rd 3010,369
2,Michael Watson,Secretary of State,,R,Wilkinson,Centreville 3rd 3010,260
2,Jennifer Riley Collins,Attorney General,,D,Wilkinson,Centreville 3rd 3010,393
2,Lynn Fitch,Attorney General,,R,Wilkinson,Centreville 3rd 3010,239
2,Shad White,State Auditor,,R,Wilkinson,Centreville 3rd 3010,432
3,Addie Lee Green,State Treasurer,,D,Wilkinson,Centreville 3rd 3010,366
3,David McRae,State Treasurer,,R,Wilkinson,Centreville 3rd 3010,261
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Centreville 3rd 3010,379
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Centreville 3rd 3010,248
4,Tammy Witherspoon,State Senate,38,D,Wilkinson,Centreville 3rd 3010,517
4,Aisha A Sanders,State House,96,D,Wilkinson,Centreville 3rd 3010,196
4,Angela Cockerham,State House,96,IND,Wilkinson,Centreville 3rd 3010,430
2,Jim Hood,Governor,,D,Wilkinson,Cold Springs 4020,79
2,Tate Reeves,Governor,,R,Wilkinson,Cold Springs 4020,84
2,Bob Hickingbottom,Governor,,C,Wilkinson,Cold Springs 4020,1
2,David R Singletary,Governor,,IND,Wilkinson,Cold Springs 4020,2
2,Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Cold Springs 4020,89
2,Jay Hughes,Lieutenant Governor,,D,Wilkinson,Cold Springs 4020,70
2,Johnny DuPree,Secretary of State,,D,Wilkinson,Cold Springs 4020,69
2,Michael Watson,Secretary of State,,R,Wilkinson,Cold Springs 4020,88
2,Jennifer Riley Collins,Attorney General,,D,Wilkinson,Cold Springs 4020,77
2,Lynn Fitch,Attorney General,,R,Wilkinson,Cold Springs 4020,87
2,Shad White,State Auditor,,R,Wilkinson,Cold Springs 4020,115
3,Addie Lee Green,State Treasurer,,D,Wilkinson,Cold Springs 4020,70
3,David McRae,State Treasurer,,R,Wilkinson,Cold Springs 4020,91
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Cold Springs 4020,67
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Cold Springs 4020,90
4,Tammy Witherspoon,State Senate,38,D,Wilkinson,Cold Springs 4020,97
4,Aisha A Sanders,State House,96,D,Wilkinson,Cold Springs 4020,56
4,Angela Cockerham,State House,96,IND,Wilkinson,Cold Springs 4020,100
2,Jim Hood,Governor,,D,Wilkinson,Fort Adams 2020,218
2,Tate Reeves,Governor,,R,Wilkinson,Fort Adams 2020,38
2,Bob Hickingbottom,Governor,,C,Wilkinson,Fort Adams 2020,7
2,David R Singletary,Governor,,IND,Wilkinson,Fort Adams 2020,4
2,Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Fort Adams 2020,58
2,Jay Hughes,Lieutenant Governor,,D,Wilkinson,Fort Adams 2020,202
2,Johnny DuPree,Secretary of State,,D,Wilkinson,Fort Adams 2020,205
2,Michael Watson,Secretary of State,,R,Wilkinson,Fort Adams 2020,57
2,Jennifer Riley Collins,Attorney General,,D,Wilkinson,Fort Adams 2020,214
2,Lynn Fitch,Attorney General,,R,Wilkinson,Fort Adams 2020,48
2,Shad White,State Auditor,,R,Wilkinson,Fort Adams 2020,126
3,Addie Lee Green,State Treasurer,,D,Wilkinson,Fort Adams 2020,205
3,David McRae,State Treasurer,,R,Wilkinson,Fort Adams 2020,53
3,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Fort Adams 2020,206
3,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Fort Adams 2020,52
4,Tammy Witherspoon,State Senate,38,D,Wilkinson,Fort Adams 2020,225
4,Aisha A Sanders,State House,96,D,Wilkinson,Fort Adams 2020,130
4,Angela Cockerham,State House,96,IND,Wilkinson,Fort Adams 2020,134
2,Jim Hood,Governor,,D,Wilkinson,Longmire 5020,147
2,Tate Reeves,Governor,,R,Wilkinson,Longmire 5020,171
2,Bob Hickingbottom,Governor,,C,Wilkinson,Longmire 5020,2
