candidate,office,district,party,county,precinct,votes
Jim Hood,Governor,,D,Jasper,Antioch,47
Tate Reeves,Governor,,R,Jasper,Antioch,141
Bob Hickingbottom,Governor,,C,Jasper,Antioch,3
David R Singletary,Governor,,IND,Jasper,Antioch,3
Delbert Hosemann,Lieutenant Governor,,R,Jasper,Antioch,159
Jay Hughes,Lieutenant Governor,,D,Jasper,Antioch,33
Johnny DuPree,Secretary of State,,D,Jasper,Antioch,31
Michael Watson,Secretary of State,,R,Jasper,Antioch,158
Jennifer Riley Collins,Attorney General,,D,Jasper,Antioch,27
Lynn Fitch,Attorney General,,R,Jasper,Antioch,164
Shad White,State Auditor,,R,Jasper,Antioch,178
Addie Lee Green,State Treasurer,,D,Jasper,Antioch,22
David McRae,State Treasurer,,R,Jasper,Antioch,169
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Jasper,Antioch,32
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Jasper,Antioch,158
Juan Barnett,State Senate,34,D,Jasper,Antioch,56
Steven L Wade,State Senate,34,R,Jasper,Antioch,135
Mark K Tullos,State House,79,R,Jasper,Antioch,179
Omeria Scott,State House,80,D,Jasper,Antioch,X
Troy Smith,State House,84,R,Jasper,Antioch,X
Roy May ,State House,84,IND,Jasper,Antioch,X
Ramona Q Blackledge,State House,88,R,Jasper,Antioch,X
Jim Hood,Governor,,D,Jasper,Bay Springs Beat 3,328
Tate Reeves,Governor,,R,Jasper,Bay Springs Beat 3,219
Bob Hickingbottom,Governor,,C,Jasper,Bay Springs Beat 3,2
David R Singletary,Governor,,IND,Jasper,Bay Springs Beat 3,5
Delbert Hosemann,Lieutenant Governor,,R,Jasper,Bay Springs Beat 3,248
Jay Hughes,Lieutenant Governor,,D,Jasper,Bay Springs Beat 3,298
Johnny DuPree,Secretary of State,,D,Jasper,Bay Springs Beat 3,300
Michael Watson,Secretary of State,,R,Jasper,Bay Springs Beat 3,238
Jennifer Riley Collins,Attorney General,,D,Jasper,Bay Springs Beat 3,297
Lynn Fitch,Attorney General,,R,Jasper,Bay Springs Beat 3,249
Shad White,State Auditor,,R,Jasper,Bay Springs Beat 3,380
Addie Lee Green,State Treasurer,,D,Jasper,Bay Springs Beat 3,287
David McRae,State Treasurer,,R,Jasper,Bay Springs Beat 3,260
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Jasper,Bay Springs Beat 3,298
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Jasper,Bay Springs Beat 3,244
Juan Barnett,State Senate,34,D,Jasper,Bay Springs Beat 3,356
Steven L Wade,State Senate,34,R,Jasper,Bay Springs Beat 3,184
Mark K Tullos,State House,79,R,Jasper,Bay Springs Beat 3,397
Omeria Scott,State House,80,D,Jasper,Bay Springs Beat 3,X
