page,candidate,office,district,party,county,precinct,votes
2,Tate Reeves,Governor ,,R,Lee,Auburn,257
2,Bill Waller Jr.,Governor ,,R,Lee,Auburn,181
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Auburn,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Auburn,X
2,Kegan Coleman,State Senate,8,D,Lee,Auburn,X
2,Kathryn York,State Senate,8,D,Lee,Auburn,X
2,Tate Reeves,Governor ,,R,Lee,Baldwyn,76
2,Bill Waller Jr.,Governor ,,R,Lee,Baldwyn,82
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Baldwyn,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Baldwyn,X
2,Kegan Coleman,State Senate,8,D,Lee,Baldwyn,X
2,Kathryn York,State Senate,8,D,Lee,Baldwyn,X
2,Tate Reeves,Governor ,,R,Lee,Beech Springs,82
2,Bill Waller Jr.,Governor ,,R,Lee,Beech Springs,86
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Beech Springs,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Beech Springs,X
2,Kegan Coleman,State Senate,8,D,Lee,Beech Springs,X
2,Kathryn York,State Senate,8,D,Lee,Beech Springs,X
2,Tate Reeves,Governor ,,R,Lee,Belden,277
2,Bill Waller Jr.,Governor ,,R,Lee,Belden,307
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Belden,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Belden,X
2,Kegan Coleman,State Senate,8,D,Lee,Belden,X
2,Kathryn York,State Senate,8,D,Lee,Belden,X
2,Tate Reeves,Governor ,,R,Lee,Birmingham Ridge,232
2,Bill Waller Jr.,Governor ,,R,Lee,Birmingham Ridge,306
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Birmingham Ridge,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Birmingham Ridge,X
2,Kegan Coleman,State Senate,8,D,Lee,Birmingham Ridge,X
2,Kathryn York,State Senate,8,D,Lee,Birmingham Ridge,X
2,Tate Reeves,Governor ,,R,Lee,Bissell,725
2,Bill Waller Jr.,Governor ,,R,Lee,Bissell,999
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Bissell,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Bissell,X
2,Kegan Coleman,State Senate,8,D,Lee,Bissell,X
2,Kathryn York,State Senate,8,D,Lee,Bissell,X
2,Tate Reeves,Governor ,,R,Lee,Brewer,107
2,Bill Waller Jr.,Governor ,,R,Lee,Brewer,107
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Brewer,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Brewer,X
2,Kegan Coleman,State Senate,8,D,Lee,Brewer,X
2,Kathryn York,State Senate,8,D,Lee,Brewer,X
2,Tate Reeves,Governor ,,R,Lee,Cedar Hill,240
2,Bill Waller Jr.,Governor ,,R,Lee,Cedar Hill,244
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Cedar Hill,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Cedar Hill,X
2,Kegan Coleman,State Senate,8,D,Lee,Cedar Hill,X
2,Kathryn York,State Senate,8,D,Lee,Cedar Hill,X
2,Tate Reeves,Governor ,,R,Lee,Eggville,129
2,Bill Waller Jr.,Governor ,,R,Lee,Eggville,84
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Eggville,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Eggville,X
2,Kegan Coleman,State Senate,8,D,Lee,Eggville,X
2,Kathryn York,State Senate,8,D,Lee,Eggville,X
2,Tate Reeves,Governor ,,R,Lee,Euclatubba,48
2,Bill Waller Jr.,Governor ,,R,Lee,Euclatubba,69
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Euclatubba,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Euclatubba,X
2,Kegan Coleman,State Senate,8,D,Lee,Euclatubba,X
2,Kathryn York,State Senate,8,D,Lee,Euclatubba,X
2,Tate Reeves,Governor ,,R,Lee,Fellowship,113
2,Bill Waller Jr.,Governor ,,R,Lee,Fellowship,61
2,Stephen Scott Griffin,State Senate,8,R ,Lee,Fellowship,X
2,Benjamin A Suber,State Senate,8,R ,Lee,Fellowship,X
2,Kegan Coleman,State Senate,8,D,Lee,Fellowship,X
2,Kathryn York,State Senate,8,D,Lee,Fellowship,X
3,Tate Reeves,Governor ,,R,Lee,Friendship,64
3,Bill Waller Jr.,Governor ,,R,Lee,Friendship,32
3,Stephen Scott Griffin,State Senate,8,R ,Lee,Friendship,X
3,Benjamin A Suber,State Senate,8,R ,Lee,Friendship,X
3,Kegan Coleman,State Senate,8,D,Lee,Friendship,X
3,Kathryn York,State Senate,8,D,Lee,Friendship,X
3,Tate Reeves,Governor ,,R,Lee,Gilvo,38
3,Bill Waller Jr.,Governor ,,R,Lee,Gilvo,17
3,Stephen Scott Griffin,State Senate,8,R ,Lee,Gilvo,X
3,Benjamin A Suber,State Senate,8,R ,Lee,Gilvo,X
3,Kegan Coleman,State Senate,8,D,Lee,Gilvo,X
3,Kathryn York,State Senate,8,D,Lee,Gilvo,X
3,Tate Reeves,Governor ,,R,Lee,Guntown,140
3,Bill Waller Jr.,Governor ,,R,Lee,Guntown,99
3,Stephen Scott Griffin,State Senate,8,R ,Lee,Guntown,X
3,Benjamin A Suber,State Senate,8,R ,Lee,Guntown,X
3,Kegan Coleman,State Senate,8,D,Lee,Guntown,X
3,Kathryn York,State Senate,8,D,Lee,Guntown,X
3,Tate Reeves,Governor ,,R,Lee,Hebron,75
3,Bill Waller Jr.,Governor ,,R,Lee,Hebron,60
3,Stephen Scott Griffin,State Senate,8,R ,Lee,Hebron,X
3,Benjamin A Suber,State Senate,8,R ,Lee,Hebron,X
3,Kegan Coleman,State Senate,8,D,Lee,Hebron,X
3,Kathryn York,State Senate,8,D,Lee,Hebron,X
3,Tate Reeves,Governor ,,R,Lee,Kedron,85
3,Bill Waller Jr.,Governor ,,R,Lee,Kedron,83
3,Stephen Scott Griffin,State Senate,8,R ,Lee,Kedron,X
3,Benjamin A Suber,State Senate,8,R ,Lee,Kedron,X
3,Kegan Coleman,State Senate,8,D,Lee,Kedron,X
3,Kathryn York,State Senate,8,D,Lee,Kedron,X
3,Tate Reeves,Governor ,,R,Lee,Mooreville,281
3,Bill Waller Jr.,Governor ,,R,Lee,Mooreville,252
3,Stephen Scott Griffin,State Senate,8,R ,Lee,Mooreville,X
3,Benjamin A Suber,State Senate,8,R ,Lee,Mooreville,X
3,Kegan Coleman,State Senate,8,D,Lee,Mooreville,X
3,Kathryn York,State Senate,8,D,Lee,Mooreville,X
3,Tate Reeves,Governor ,,R,Lee,Nettleton,150
3,Bill Waller Jr.,Governor ,,R,Lee,Nettleton,125
3,Stephen Scott Griffin,State Senate,8,R ,Lee,Nettleton,X
3,Benjamin A Suber,State Senate,8,R ,Lee,Nettleton,X
3,Kegan Coleman,State Senate,8,D,Lee,Nettleton,X
3,Kathryn York,State Senate,8,D,Lee,Nettleton,X
3,Tate Reeves,Governor ,,R,Lee,Old Union,72
3,Bill Waller Jr.,Governor ,,R,Lee,Old Union,40
3,Stephen Scott Griffin,State Senate,8,R ,Lee,Old Union,60
3,Benjamin A Suber,State Senate,8,R ,Lee,Old Union,43
3,Kegan Coleman,State Senate,8,D,Lee,Old Union,47
3,Kathryn York,State Senate,8,D,Lee,Old Union,3
3,Tate Reeves,Governor ,,R,Lee,Palmetto,132
3,Bill Waller Jr.,Governor ,,R,Lee,Palmetto,74
