county,office,district,candidate,party,precinct,votes
Simpson,Governor,,Jim Hood,Democrat,Bowie,92
Simpson,Governor,,Tate Reeves,Repubilcan,Bowie,131
Simpson,Governor,,Bob Hickingbottom,Constitution,Bowie,2
Simpson,Governor,,David R. Singletary,Independent,Bowie,5
Simpson,Lieutenant Governor,,Delbert Hoseman,Republican,Bowie,161
Simpson,Lieutenant Governor,,Jay Hugues,Democrat,Bowie,66
Simpson,Secretary of State,,Johny DuPree,Republican,Bowie,87
Simpson,Secretary of State,,Michael Watson,Democrat,Bowie,141
Simpson,Attorney General,,Jennifer Riley Collins,Democrat,Bowie,80
Simpson,Attorney General,,Lynn Fitch,Republican,Bowie,145
Simpson,State Auditor,,Shad White,Republican,Bowie,185
Simpson,State Treasurer,,Ardle Lee Green,Democrat,Bowie,76
Simpson,State Treasurer,,David McRae,Republican,Bowie,151
Simpson,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Bowie,75
Simpson,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Bowie,151
Simpson,Commissioner of Insurance,,Robert E. Amos,Democrat,Bowie,74
Simpson,Commissioner of Insurance,,Mike Chaney,Republican,Bowie,153
Simpson,Public Service Commissioner,,Dane Maxwell,Republican,Bowie,145
Simpson,Public Service Commissioner,,Connie Moran,Democrat,Bowie,81
Simpson,Transportation Commissioner,,Tom King,Republican,Bowie,185
Simpson,District Attorney,13,Matt Sullivan,Democrat,Bowie,180
Simpson,State Senate,35,Chris caughman,Republican,Bowie,191
Simpson,State House,90,Noah L Sanford,Republican,Bowie,188
Simpson,Chancery Clerk,,Tommy Joe Harvey,Republican,Bowie,161
Simpson,Chancery Clerk,,Willie Ree McDonald,Democrat,Bowie,60
Simpson,Chancery Clerk,,William J 'Bill' Jerrolds,Independent,Bowie,6
Simpson,Circuit Clerk,,Witt Fortenberry,Republican,Bowie,131
Simpson,Circuit Clerk,,Terrence Norwood,Democrat,Bowie,97
Simpson,Coroner,,Terry Keys Tutor,Republican,Bowie,193
Simpson,Sheriff,,Paul A Mullins,Republican,Bowie,157
Simpson,Sheriff,,Darell Walker,Democrat,Bowie,74
Simpson,Tax Assessor,,Jamie Reed Brewer,Republican,Bowie,190
Simpson,Supervisor,2,Danny Craft,Republican,Bowie,193
Simpson,Justice Court Judge,,Charles A Savell,Republican,Bowie,192
Simpson,Constable,,Christopher Jones,Republican,Bowie,191
Simpson,Measure 4,,For,,Bowie,120
Simpson,Measure 4,,Against,,Bowie,100
Simpson,Measure 4,,Over Vote,,Bowie,0
Simpson,Measure 4,,Under Vote,,Bowie,0
Simpson,Governor,,Jim Hood,Democrat,Braxton,77
Simpson,Governor,,Tate Reeves,Repubilcan,Braxton,472
Simpson,Governor,,Bob Hickingbottom,Constitution,Braxton,4
Simpson,Governor,,David R. Singletary,Independent,Braxton,5
Simpson,Lieutenant Governor,,Delbert Hoseman,Republican,Braxton,507
Simpson,Lieutenant Governor,,Jay Hugues,Democrat,Braxton,42
Simpson,Secretary of State,,Johny DuPree,Republican,Braxton,48
Simpson,Secretary of State,,Michael Watson,Democrat,Braxton,495
Simpson,Attorney General,,Jennifer Riley Collins,Democrat,Braxton,56
Simpson,Attorney General,,Lynn Fitch,Republican,Braxton,497
Simpson,State Auditor,,Shad White,Republican,Braxton,525
Simpson,State Treasurer,,Ardle Lee Green,Democrat,Braxton,31
Simpson,State Treasurer,,David McRae,Republican,Braxton,519
Simpson,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Braxton,37
Simpson,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Braxton,518
Simpson,Commissioner of Insurance,,Robert E. Amos,Democrat,Braxton,35
Simpson,Commissioner of Insurance,,Mike Chaney,Republican,Braxton,515
Simpson,Public Service Commissioner,,Dane Maxwell,Republican,Braxton,489
Simpson,Public Service Commissioner,,Connie Moran,Democrat,Braxton,54
Simpson,Transportation Commissioner,,Tom King,Republican,Braxton,524
Simpson,District Attorney,13,Matt Sullivan,Democrat,Braxton,374
Simpson,State Senate,35,Chris caughman,Republican,Braxton,524
Simpson,State House,77,Price Wallace,Republican,Braxton,521
Simpson,Chancery Clerk,,Tommy Joe Harvey,Republican,Braxton,491
Simpson,Chancery Clerk,,Willie Ree McDonald,Democrat,Braxton,28
Simpson,Chancery Clerk,,William J 'Bill' Jerrolds,Independent,Braxton,30
Simpson,Circuit Clerk,,Witt Fortenberry,Republican,Braxton,498
Simpson,Circuit Clerk,,Terrence Norwood,Democrat,Braxton,52
Simpson,Coroner,,Terry Keys Tutor,Republican,Braxton,522
Simpson,Sheriff,,Paul A Mullins,Republican,Braxton,530
Simpson,Sheriff,,Darell Walker,Democrat,Braxton,24
Simpson,Tax Assessor,,Jamie Reed Brewer,Republican,Braxton,527
Simpson,Supervisor,5,Larry Barnes,Democrat,Braxton,127
Simpson,Supervisor,5,Randy Moore,Republican,Braxton,415
Simpson,Justice Court Judge,,Ted Blackeney,Republican,Braxton,530
Simpson,Constable,,Randall Coleman,Republican,Braxton,528
Simpson,Measure 4,,For,,Braxton,317
Simpson,Measure 4,,Against,,Braxton,218
Simpson,Measure 4,,Over Vote,,Braxton,0
Simpson,Measure 4,,Under Vote,,Braxton,0
Simpson,Governor,,Jim Hood,Democrat,Bridgeport,187
Simpson,Governor,,Tate Reeves,Repubilcan,Bridgeport,78
Simpson,Governor,,Bob Hickingbottom,Constitution,Bridgeport,0
