candidate,office,district,party,county,precinct,votes
Jim Hood,Governor,,D,Itawamba,American Legion,195
Tate Reeves,Governor,,R,Itawamba,American Legion,570
Bob Hickingbottom,Governor,,C,Itawamba,American Legion,6
David R Singletary,Governor,,IND,Itawamba,American Legion,7
Delbert Hosemann,Lieutenant Governor,,R,Itawamba,American Legion,665
Jay Hughes,Lieutenant Governor,,D,Itawamba,American Legion,114
Johnny DuPree,Secretary of State,,D,Itawamba,American Legion,119
Michael Watson,Secretary of State,,R,Itawamba,American Legion,645
Jennifer Riley Collins,Attorney General,,D,Itawamba,American Legion,132
Lynn Fitch,Attorney General,,R,Itawamba,American Legion,649
Shad White,State Auditor,,R,Itawamba,American Legion,719
Addie Lee Green,State Treasurer,,D,Itawamba,American Legion,97
David McRae,State Treasurer,,R,Itawamba,American Legion,677
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Itawamba,American Legion,128
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Itawamba,American Legion,643
Steve Eaton,State Senate,5,D,Itawamba,American Legion,116
Daniel H Sparks,State Senate,5,R,Itawamba,American Legion,659
Chad McMahan,State Senate,6,R,Itawamba,American Legion,x
Hob Bryan,State Senate,7,D,Itawamba,American Legion,x
Randy P Boyd,State House,19,R,Itawamba,American Legion,x
Chris Brown,State House,20,R,Itawamba,American Legion,x
Donnie Bell,State House,21,R,Itawamba,American Legion,728
Jim Hood,Governor,,D,Itawamba,Armory,76
Tate Reeves,Governor,,R,Itawamba,Armory,274
Bob Hickingbottom,Governor,,C,Itawamba,Armory,0
David R Singletary,Governor,,IND,Itawamba,Armory,2
Delbert Hosemann,Lieutenant Governor,,R,Itawamba,Armory,307
Jay Hughes,Lieutenant Governor,,D,Itawamba,Armory,38
Johnny DuPree,Secretary of State,,D,Itawamba,Armory,48
Michael Watson,Secretary of State,,R,Itawamba,Armory,291
Jennifer Riley Collins,Attorney General,,D,Itawamba,Armory,58
Lynn Fitch,Attorney General,,R,Itawamba,Armory,289
Shad White,State Auditor,,R,Itawamba,Armory,325
Addie Lee Green,State Treasurer,,D,Itawamba,Armory,50
David McRae,State Treasurer,,R,Itawamba,Armory,295
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Itawamba,Armory,71
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Itawamba,Armory,271
Steve Eaton,State Senate,5,D,Itawamba,Armory,61
Daniel H Sparks,State Senate,5,R,Itawamba,Armory,286
Chad McMahan,State Senate,6,R,Itawamba,Armory,x
Hob Bryan,State Senate,7,D,Itawamba,Armory,x
Randy P Boyd,State House,19,R,Itawamba,Armory,x
Chris Brown,State House,20,R,Itawamba,Armory,x
Donnie Bell,State House,21,R,Itawamba,Armory,329
Jim Hood,Governor,,D,Itawamba,Banner-Pineville,66
Tate Reeves,Governor,,R,Itawamba,Banner-Pineville,365
Bob Hickingbottom,Governor,,C,Itawamba,Banner-Pineville,1
David R Singletary,Governor,,IND,Itawamba,Banner-Pineville,3
Delbert Hosemann,Lieutenant Governor,,R,Itawamba,Banner-Pineville,390
Jay Hughes,Lieutenant Governor,,D,Itawamba,Banner-Pineville,35
Johnny DuPree,Secretary of State,,D,Itawamba,Banner-Pineville,42
Michael Watson,Secretary of State,,R,Itawamba,Banner-Pineville,374
Jennifer Riley Collins,Attorney General,,D,Itawamba,Banner-Pineville,55
Lynn Fitch,Attorney General,,R,Itawamba,Banner-Pineville,368
Shad White,State Auditor,,R,Itawamba,Banner-Pineville,387
Addie Lee Green,State Treasurer,,D,Itawamba,Banner-Pineville,36
David McRae,State Treasurer,,R,Itawamba,Banner-Pineville,388
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Itawamba,Banner-Pineville,44
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Itawamba,Banner-Pineville,371
Steve Eaton,State Senate,5,D,Itawamba,Banner-Pineville,38
Daniel H Sparks,State Senate,5,R,Itawamba,Banner-Pineville,386
Chad McMahan,State Senate,6,R,Itawamba,Banner-Pineville,x
Hob Bryan,State Senate,7,D,Itawamba,Banner-Pineville,x
Randy P Boyd,State House,19,R,Itawamba,Banner-Pineville,x
Chris Brown,State House,20,R,Itawamba,Banner-Pineville,x
Donnie Bell,State House,21,R,Itawamba,Banner-Pineville,398
Jim Hood,Governor,,D,Itawamba,Bounds,29
Tate Reeves,Governor,,R,Itawamba,Bounds,87
Bob Hickingbottom,Governor,,C,Itawamba,Bounds,0
David R Singletary,Governor,,IND,Itawamba,Bounds,0
Delbert Hosemann,Lieutenant Governor,,R,Itawamba,Bounds,104
Jay Hughes,Lieutenant Governor,,D,Itawamba,Bounds,13
Johnny DuPree,Secretary of State,,D,Itawamba,Bounds,11
Michael Watson,Secretary of State,,R,Itawamba,Bounds,106
Jennifer Riley Collins,Attorney General,,D,Itawamba,Bounds,13
Lynn Fitch,Attorney General,,R,Itawamba,Bounds,105
Shad White,State Auditor,,R,Itawamba,Bounds,112
Addie Lee Green,State Treasurer,,D,Itawamba,Bounds,9
David McRae,State Treasurer,,R,Itawamba,Bounds,109
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Itawamba,Bounds,17
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Itawamba,Bounds,101
Steve Eaton,State Senate,5,D,Itawamba,Bounds,9
Daniel H Sparks,State Senate,5,R,Itawamba,Bounds,109
Chad McMahan,State Senate,6,R,Itawamba,Bounds,x
Hob Bryan,State Senate,7,D,Itawamba,Bounds,x
Randy P Boyd,State House,19,R,Itawamba,Bounds,x
