page,candidate,office,district,party,county,precinct,votes
2,Tate Reeves,Governor ,,R,Leake,Conway,42
2,Bill Waller Jr.,Governor ,,R,Leake,Conway,53
2,Tate Reeves,Governor ,,R,Leake,East Carthage,144
2,Bill Waller Jr.,Governor ,,R,Leake,East Carthage,240
2,Tate Reeves,Governor ,,R,Leake,Edinburg,159
2,Bill Waller Jr.,Governor ,,R,Leake,Edinburg,105
2,Tate Reeves,Governor ,,R,Leake,Freeny,145
2,Bill Waller Jr.,Governor ,,R,Leake,Freeny,163
2,Tate Reeves,Governor ,,R,Leake,Good Hope,167
2,Bill Waller Jr.,Governor ,,R,Leake,Good Hope,102
2,Tate Reeves,Governor ,,R,Leake,Harmony,31
2,Bill Waller Jr.,Governor ,,R,Leake,Harmony,29
2,Tate Reeves,Governor ,,R,Leake,Lena,60
2,Bill Waller Jr.,Governor ,,R,Leake,Lena,65
2,Tate Reeves,Governor ,,R,Leake,Madden,110
2,Bill Waller Jr.,Governor ,,R,Leake,Madden,132
2,Tate Reeves,Governor ,,R,Leake,North Carthage,133
2,Bill Waller Jr.,Governor ,,R,Leake,North Carthage,156
2,Tate Reeves,Governor ,,R,Leake,Ofahoma,13
2,Bill Waller Jr.,Governor ,,R,Leake,Ofahoma,11
2,Tate Reeves,Governor ,,R,Leake,Renfroe,104
2,Bill Waller Jr.,Governor ,,R,Leake,Renfroe,110
3,Tate Reeves,Governor ,,R,Leake,Salem,98
3,Bill Waller Jr.,Governor ,,R,Leake,Salem,59
3,Tate Reeves,Governor ,,R,Leake,Singleton,193
3,Bill Waller Jr.,Governor ,,R,Leake,Singleton,129
3,Tate Reeves,Governor ,,R,Leake,South Carthage,96
3,Bill Waller Jr.,Governor ,,R,Leake,South Carthage,58
3,Tate Reeves,Governor ,,R,Leake,Sunrise,118
3,Bill Waller Jr.,Governor ,,R,Leake,Sunrise,112
3,Tate Reeves,Governor ,,R,Leake,Thomastown,69
3,Bill Waller Jr.,Governor ,,R,Leake,Thomastown,37
3,Tate Reeves,Governor ,,R,Leake,Walnut Grove,60
3,Bill Waller Jr.,Governor ,,R,Leake,Walnut Grove,36
3,Tate Reeves,Governor ,,R,Leake,West Carthage,39
3,Bill Waller Jr.,Governor ,,R,Leake,West Carthage,50
3,Tate Reeves,Governor ,,R,Leake,Wiggins,47
3,Bill Waller Jr.,Governor ,,R,Leake,Wiggins,42
3,Tate Reeves,Governor ,,R,Leake,TOTAL ,1828
3,Bill Waller Jr.,Governor ,,R,Leake,TOTAL ,1689
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
